id_command,input_origin,input_extrapolation,output,lenght,pred,total-tokens,prompt-tokens,completion-tokens
0,Repeat 5 times hello world,Repeat 4 times hello world,hello world hello world hello world hello world,4,Output: hello world hello world hello world hello world,10,59,69
0,Repeat 5 times hello world,Repeat 6 times hello world,hello world hello world hello world hello world hello world hello world,6,Output: hello world hello world hello world hello world hello world hello world,14,59,73
0,Repeat 5 times hello world,Repeat 8 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world,8,Output: hello world hello world hello world hello world hello world hello world hello world hello world,18,59,77
0,Repeat 5 times hello world,Repeat 10 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,10,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,22,59,81
0,Repeat 5 times hello world,Repeat 12 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,12,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,24,59,83
0,Repeat 5 times hello world,Repeat 14 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,14,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,28,59,87
0,Repeat 5 times hello world,Repeat 16 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,16,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,32,59,91
0,Repeat 5 times hello world,Repeat 18 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,18,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,36,59,95
0,Repeat 5 times hello world,Repeat 20 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,20,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,42,59,101
0,Repeat 5 times hello world,Repeat 22 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,22,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,44,59,103
0,Repeat 5 times hello world,Repeat 24 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,24,Output: hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,50,59,109
