input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Ethan Amelia Alexander Layla Samuel Amelia Elias Isabella Joseph Mia Naomi Isabella Ellie Zoe Ethan,n a r a l a s a h a i a e e n,15,15~22,Output: n a r a l a s a h a i a e e n,206,189,17
Noah Michael Hazel Evelyn Scarlett Ivy John Aria Samuel David Ella Alexander Harper Emilia Ezra Michael Theodore Owen Isaac Amelia,h l l n t y n a l d a r r a a l e n c a,20,15~22,Output: h l l n t y n a l d a r r a a l e n c a,215,193,22
Thomas Santiago Mia Hazel Elijah Thomas Eleanor Grayson Aurora Santiago Luna Matthew Isaac Ella Elias Daniel,s o a l h s r n a o a w c a s l,16,15~22,Output: s o a l h s r n a o a w c a s l,206,188,18
Isaac Riley Liam Thomas Hudson Mila Joseph Matthew Aria Mateo Harper Ellie Jack John Nora Grayson Sebastian,c y m s n a h w a o r e k n a n n,17,15~22,Output: c y m s n a h w a o r e k n a n,210,192,18
Alexander Lucy Grayson Ellie Ezra Levi Ellie Nora Isla Grayson Thomas Owen Aria Avery Elias,r y n e a i e a a n s n a y s,15,15~22,Output: r y n e a i e a a n s n a y s,207,190,17
Avery Abigail Grayson James Jack Willow Ava David Emma Penelope Jacob Ava Julian Charlotte Grayson,y l n s k w a d a e b a n e n,15,15~22,Output: y l n s k w a d a e b a n e n,207,190,17
Eliana Zoe Sophia William Aria Logan Evelyn Layla John Penelope Isaac Grayson Abigail Naomi Julian Matthew Hazel Joseph Riley,a e a m a n n a n e c n l i n w l h y,19,15~22,Output: a e a m a n n a n e c n l i n w l h h y,218,196,22
Michael Asher Emily Luca David Evelyn Lucy Santiago Benjamin Thomas Lucy Chloe Liam Sofia Lucy Lily,l r y a d n y o n s y e m a y y,16,15~22,Output: l r y a d n y o n s y e m a y y,206,188,18
Henry Benjamin Avery Benjamin Daniel Nova Harper Hudson Asher Theodore Chloe Elizabeth Daniel Elizabeth Gabriel Riley Sofia,y n y n l a r n r e e h l h l y a,17,15~22,Output: y n y n l a r n r e e l h y a,206,189,17
Emily Ellie Luca Henry Willow Owen Charlotte Aurora Logan Willow Eleanor Levi Santiago Abigail Jack Hazel Sophia Charlotte,y e a y w n e a n w r i o l k l a e,18,15~22,Output: y e a y w n e a n w r i o l k l a e e,211,190,21
Mateo Grace Alexander Isla Avery Eliana Owen William Isaac Abigail Lucas Luca Ethan John Zoe Levi Lucy Gianna,o e r a y a n m c l s a n n e i y a,18,15~22,Output: o e r a y a n m c l s a n n e i y a,214,194,20
Camila Ava Mason Ezra Olivia Victoria Abigail Amelia Willow Leo Jackson Sophia Maverick Maverick Alexander Benjamin Charlotte Noah Mateo Julian,a a n a a a l a w o n a k k r n e h o n,20,15~22,Output: a a n a a a l a w o n a k k r n e o h n,218,196,22
Madison William Miles Camila Henry Penelope Alexander Ivy Emily Jackson Madison Evelyn Grace Oliver Violet Jacob,n m s a y e r y y n n n e r t b,16,15~22,Output: n m s a y e r y y n n e e r t b,207,189,18
Levi Emily Hazel Samuel Benjamin Naomi Aurora Lucy Daniel Samuel David Levi Nora Leo Luna,i y l l n i a y l l d i a o a,15,15~22,Output: i y l l n i a y l l d i a o a,203,186,17
Michael Willow Charlotte Benjamin Thomas Asher Ivy Charlotte Jackson Victoria Gabriel Lucy Abigail Jackson Henry,l w e n s r y e n a l y l n y,15,15~22,Output: l w e n s r y e n a l y n y,204,188,16
Grayson Violet Evelyn Matthew Chloe Sofia Santiago Benjamin Isla Willow Camila Ezra William Victoria Emily,n t n w e a o n a w a a m a y,15,15~22,Output: n t n w e a o n a w a a m a y,206,189,17
Aurora Henry Maverick Grayson Lily Sebastian Nova Grace James Camila John Chloe Chloe Maverick Gianna Gianna Lucas Elias Elizabeth,a y k n y n a e s a n e e k a a s s h,19,15~22,Output: a y k n y n a e s a n e e k a a s s h,217,196,21
Layla Alexander Emily Evelyn Ella Logan Gabriel William Zoe Hazel Elijah Oliver David Riley Sophia Lucy Olivia Zoe Lily Victoria Nova,a r y n a n l m e l h r d y a y a e y a a,21,15~22,Output: a r y n a n l m e l h r d y a y a e y a a,216,193,23
Harper James Sophia Nora Samuel Lily Gianna Gianna Thomas Charlotte Ivy Eleanor Emily Abigail Logan Mia Ezra Lily,r s a a l y a a s e y r y l n a a y,18,15~22,Output: r s a a l y a a s e y r y l n a a y,212,192,20
Layla Daniel Lily Eleanor Avery Riley Avery Evelyn Benjamin Naomi James Evelyn Aiden Henry Levi Ellie Ethan Liam Lucy Nora Isaac,a l y r y y y n n i s n n y i e n m y a c,21,15~22,Output: a l y r y y n n i s n n y i,210,194,16
Avery Santiago Riley Layla Aurora Ella Emma Benjamin Riley Olivia Evelyn Ezra Thomas Zoe Noah Gabriel Ezra Elijah Aiden Willow,y o y a a a a n y a n a s e h l a h n w,20,15~22,Output: y o y a a a a n y a n a s e h l a h n,214,193,21
Luca Emily Isla Abigail Isabella Lucas Violet Elias Hudson Madison Lily Maverick Aiden Oliver Chloe Sebastian Julian Santiago,a y a l a s t s n n y k n r e n n o,18,15~22,Output: a y a l a s t s n n y k n r e n n o,214,194,20
Logan Nova Abigail Olivia Abigail Emma Aurora Michael Ella Isla Benjamin Joseph Eleanor Theodore Michael Aria Layla Luca,n a l a l a a l a a n h r e l a a a,18,15~22,Output: n a l a l a a l a a n h r e l a a u,214,194,20
Owen Jacob Emilia Naomi Penelope Levi Sebastian Ethan Lucas Emily Chloe Eleanor Eleanor Amelia Oliver,n b a i e i n n s y e r r a r,15,15~22,Output: n b a i e i n n s y e r a r,204,188,16
Theodore Chloe Alexander Asher Michael Elizabeth Hazel Ellie Maverick Hazel Benjamin Lucas Chloe Aiden Abigail Elias Naomi Aiden Grayson Aria,e e r r l h l e k l n s e n l s i n n a,20,15~22,Output: e e r r l h l e k l n s e n l s i n n n a,221,198,23
Levi Hazel Elias Noah Violet Emily Abigail Zoe Isla Theodore Thomas Elizabeth Gianna Alexander Noah Mason Matthew Elijah Levi,i l s h t y l e a e s h a r h n w h i,19,15~22,Output: i l s h t y l e a e s h a r h n w h i,214,193,21
Aria Harper William Layla Layla Elias William Olivia Luna Michael Grayson Nora David Sophia Alexander Gabriel,a r m a a s m a a l n a d a r l,16,15~22,Output: a r m a a s m a a l n a a r,207,191,16
Emma Benjamin Zoe Jacob Sophia Isaac Victoria Violet Luke Isaac Lily Dylan Mila Asher Aurora Alexander Noah Logan William Jackson Scarlett,a n e b a c a t e c y n a r a r h n m n t,21,15~22,Output: a n e b a c a t e c y n a r a r h n m n t,217,194,23
Ethan Asher Michael Evelyn Isla Nora Willow Joseph Olivia Samuel Victoria Sebastian Aurora Aria Lucas Benjamin Lily Elizabeth,n r l n a a w h a l a n a a s n y h,18,15~22,Output: n r l n a a w h a l a n a a s n y h,212,192,20
Jacob Samuel Dylan Julian Sofia Lucas John Amelia Gabriel Ella Elizabeth Ezra James Santiago Naomi Elias Henry David Abigail Daniel,b l n n a s n a l a h a s o i s y d l l,20,15~22,Output: b l n n a s n a l a h a s o i s y d l n,214,192,22
William Aurora Ezra Scarlett Luna Miles Jackson Sebastian Riley Avery Daniel Isaac Luca Isla Mia Miles,m a a t a s n n y y l c a a a s,16,15~22,Output: m a a t a s n n y l l c a a s,205,188,17
Lucas David Madison Matthew Grayson Hazel Aria Harper Gabriel Camila Joseph Amelia Gabriel Isaac Lucy Isabella Jacob Mila Aiden,s d n w n l a r l a h a l c y a b a n,19,15~22,Output: s d n w n l a r l a h a l c a a b a n,217,196,21
