input,output,len_sequence,bins
U U I E O O I I U A I I U E I U A A A A,"UU,UI,IE,EO,OO,OI,II,IU,UA,AI,II,IU,UE,EI,IU,UA,AA,AA,AA",20,1~23
E E E O E U U U,"EE,EE,EO,OE,EU,UU,UU",8,1~23
U I E I E E A U O I U A O I O O E E,"UI,IE,EI,IE,EE,EA,AU,UO,OI,IU,UA,AO,OI,IO,OO,OE,EE",18,1~23
I U U I E A O U I A E E I O U,"IU,UU,UI,IE,EA,AO,OU,UI,IA,AE,EE,EI,IO,OU",15,1~23
E U I E E E O E E A A I A,"EU,UI,IE,EE,EE,EO,OE,EE,EA,AA,AI,IA",13,1~23
U O A A E A I E O I A E A,"UO,OA,AA,AE,EA,AI,IE,EO,OI,IA,AE,EA",13,1~23
A U O A I O U I U A E E A E E I U I A A,"AU,UO,OA,AI,IO,OU,UI,IU,UA,AE,EE,EA,AE,EE,EI,IU,UI,IA,AA",20,1~23
A E I I,"AE,EI,II",4,1~23
O E E A O I U U I O E A A U,"OE,EE,EA,AO,OI,IU,UU,UI,IO,OE,EA,AA,AU",14,1~23
E A I E A,"EA,AI,IE,EA",5,1~23
A U I E U I U O U I U U E A A O A U,"AU,UI,IE,EU,UI,IU,UO,OU,UI,IU,UU,UE,EA,AA,AO,OA,AU",18,1~23
E A I A A U A U O O E I A U I I O I I A O,"EA,AI,IA,AA,AU,UA,AU,UO,OO,OE,EI,IA,AU,UI,II,IO,OI,II,IA,AO",21,1~23
A I A E I E A I O O O O U,"AI,IA,AE,EI,IE,EA,AI,IO,OO,OO,OO,OU",13,1~23
O E E I U A,"OE,EE,EI,IU,UA",6,1~23
I E I U I O U E O I A E I I U I I O,"IE,EI,IU,UI,IO,OU,UE,EO,OI,IA,AE,EI,II,IU,UI,II,IO",18,1~23
E U A O I O,"EU,UA,AO,OI,IO",6,1~23
O E I I U A O O A I U I,"OE,EI,II,IU,UA,AO,OO,OA,AI,IU,UI",12,1~23
A O E E I U A U A I A E O U U O U,"AO,OE,EE,EI,IU,UA,AU,UA,AI,IA,AE,EO,OU,UU,UO,OU",17,1~23
E A E O O I I U U U E E E O,"EA,AE,EO,OO,OI,II,IU,UU,UU,UE,EE,EE,EO",14,1~23
I A U U I O I,"IA,AU,UU,UI,IO,OI",7,1~23
U A U I U,"UA,AU,UI,IU",5,1~23
E O A E I I O E U A A U O A E O U A O I A,"EO,OA,AE,EI,II,IO,OE,EU,UA,AA,AU,UO,OA,AE,EO,OU,UA,AO,OI,IA",21,1~23
A U I O U I I E U A I U U A E U I U O U O,"AU,UI,IO,OU,UI,II,IE,EU,UA,AI,IU,UU,UA,AE,EU,UI,IU,UO,OU,UO",21,1~23
I E U,"IE,EU",3,1~23
A E U A O I I O U E E,"AE,EU,UA,AO,OI,II,IO,OU,UE,EE",11,1~23
A O U I E,"AO,OU,UI,IE",5,1~23
U A E U U I O E A U O O O I A E U,"UA,AE,EU,UU,UI,IO,OE,EA,AU,UO,OO,OO,OI,IA,AE,EU",17,1~23
A U E O I E E U E A A U A E A U E A,"AU,UE,EO,OI,IE,EE,EU,UE,EA,AA,AU,UA,AE,EA,AU,UE,EA",18,1~23
