word,freq
bien,2045290
aquí,1625090
ahora,1088174
así,1050332
vamos,1049315
bueno,1012700
cómo,862349
ser,819688
puedo,806048
quiero,798831
hacer,794408
gracias,779503
vez,767227
sólo,741588
creo,651433
voy,639418
sabes,636739
puede,631326
usted,618844
entonces,609938
hola,601523
solo,590343
verdad,589565
casa,587832
tan,573916
quién,566465
tiempo,556996
dos,556427
nunca,549997
dónde,539643
favor,527629
quieres,515465
siento,512907
señor,507728
mejor,500478
hace,495352
decir,492098
dios,476939
puedes,463318
ver,462775
hombre,460084
vida,453649
alguien,447141
cosas,424801
siempre,424363
ahí,422871
años,408547
día,395131
noche,391078
hecho,391011
acuerdo,367329
trabajo,363747
parece,355615
gente,354586
padre,351051
mira,349779
mismo,347834
dijo,342900
nadie,339772
quiere,332148
podría,329332
hablar,327201
vas,327127
tal,317926
pasa,315529
después,311500
dinero,300518
mundo,298208
claro,296584
momento,294559
tener,292932
mañana,283391
madre,281646
vale,280447
lugar,280315
haciendo,278317
seguro,277231
sabe,273895
podemos,272425
espera,270741
nuevo,269895
sido,269505
cosa,269054
hijo,267856
allí,267215
menos,263837
tipo,262340
amigo,258356
gran,257648
mujer,249627
mamá,247700
luego,245811
papá,243251
días,243003
dice,240795
hoy,240395
tres,239782
buena,238330
necesito,237654
dije,235936
oye,234324
gusta,233367
quería,230602
haber,229602
parte,229038
todas,227146
crees,225748
buen,224802
conmigo,224527
nombre,222406
mierda,221567
mal,220024
debe,218223
realmente,217847
aún,215129
toda,211746
hacerlo,209901
cada,209674
visto,206949
importa,203118
contigo,202208
razón,198832
alguna,198263
saber,196610
hizo,196192
veces,195756
serio,194846
ven,193452
idea,193369
tarde,191883
problema,189963
hora,189851
cierto,189653
dicho,187895
demasiado,182668
amor,182326
pasado,178763
familia,177748
policía,175471
debería,175394
ustedes,174241
chica,173210
chicos,170008
cuenta,169714
haces,166985
todavía,166624
salir,165591
algún,163790
vaya,162833
veo,162326
amigos,160684
hermano,159678
pensé,159438
sabía,156439
cabeza,156069
cariño,153353
digo,153149
van,153024
hombres,151647
buenas,151571
cualquier,150946
forma,150750
mientras,150383
lado,149162
debo,148975
caso,148273
pueden,148183
pasó,145810
primera,145110
genial,145028
chico,145009
supuesto,144428
hice,144174
pues,143870
adiós,143677
muchas,143007
personas,141945
señora,141893
volver,141009
quizá,140794
camino,140092
hablando,139007
manera,137722
muerto,137301
persona,136985
rápido,136953
cuál,136406
ayuda,136155
historia,135924
iba,135256
supongo,134885
nueva,134490
entiendo,134138
dentro,133954
casi,133614
puerta,133533
ves,133094
pasar,131693
primero,131298
significa,130774
semana,130555
hacia,130000
quizás,129544
espero,129454
juntos,129353
año,128910
niños,128856
pronto,128135
tío,127895
suerte,127246
ciudad,126710
siquiera,126506
feliz,125692
venir,124376
hija,124289
gustaría,124196
minutos,123912
cuánto,123138
hey,122432
muerte,122057
dejar,121779
realidad,121027
deja,120259
problemas,120138
importante,119177
dijiste,119038
corazón,118685
miedo,118624
jefe,118458
agua,117654
haré,117579
justo,117044
horas,116873
poder,115246
buenos,115064
esposa,114925
manos,114921
debes,114812
viene,114395
venga,114109
ojos,113772
adelante,113192
encontrar,113028
mano,112665
cinco,112532
niño,112512
ninguna,112227
cara,111953
cuidado,111524
bajo,111241
cerca,110690
viejo,110403
déjame,109679
noches,109592
bastante,109431
fin,109402
tomar,109183
único,108435
misma,108033
escucha,107286
ningún,107193
suficiente,107106
punto,106940
cuándo,106920
sigue,106764
equipo,106584
grande,106057
necesita,105889
llegar,105719
