input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Сінан Лео Христина Еліна Лукас Лукас Соломія Олівія Владислав Сарра Гордій Заріна Еліна Вероніка Анна Еней Ельдар,н о а а с с я я в а й а а а а й р,17,15~22,Output: н о а а с с я я в а й а а а а й р,373,352,21
Анісія Артем Барбара Ельдар Денис Мія Єфрем Стефанія Георгій Дмитро Олександра Рахіль Суламіта Естер Лука Веремій Суламіта Олександр Ярослав,я м а р с я м я й о а ь а р а й а р в,19,15~22,Output: я м а р с я м я й о а л а р й а р д в,391,368,23
Веремій Аделіна Стефанія Веремій Тиміш Ярослав Марк Ян Марк Мартін Олександр Олександра Нестор Тім Ярослав,й а я й ш в к н к н р а р м в,15,15~22,Output: й а я й ш в к н к н р а р м в,359,340,19
Марк Олівія Артем Олександра Анісія Есмі Алан Лео Дарина Агата Амір Еліс Ангеліна Мілана Вікторія Анісія Анастасія Сарра,к я м а я і н о а а р с а а я я я а,18,15~22,Output: к а м а я і н о а а р с а а я я а я а,381,360,21
Назар Рахіль Олександра Захар Аделіна Олександра Тім Тімур Суламіта Міран Меланія Анна Арсен Еліс Ангеліна Наомі Емілія Христина Еліна Давид,р ь а р а а м р а н я а н с а і я а а д,20,15~22,Output: р л а р а а м р а н я а н с а а і я а а д,388,365,23
Сінан Дмитро Давид Тім Дмитро Алан Самуїл Сінан Ангеліна Єфрем Арсен Гордій Єремія Алан Дарина,н о д м о н л н а м н й я н а,15,15~22,Output: н о д м о н л н а м н й я н а,360,342,18
Тальха Суламіта Роман Алім Олівія Лео Максим Олівія Стефанія Уляна Ілай Макар Аскольд Тиміш Соломія Матвій Максим,а а н м я о м я я а й р д ш я й м,17,15~22,Output: а а н м я о м я я а й р д ш я й м,373,352,21
Сарра Даниїл Меланія Веремій Ян Олександра Заріна Магдалина Лея Орися Ярема Яків Матвій Ярема Яна Аскольд Аліна,а л я й н а а а я я а в й а а д а,17,15~22,Output: а л я й н а а а я я а в й а а д а,372,351,21
Ангеліна Алім Христина Емма Рувим Леонард Наомі Тальха Єва Гордій Сарра Гордій Анастасія Вікторія Соломія Самуїл Діана Рахіль Квітослава,а м а а м д і а а й а й я я я л а ь а,19,15~22,Output: а м а а м д і а а й а й я я я л а л а,393,370,23
Гордій Суламіта Розалія Тімур Анастасія Аделіна Вікторія Естер Леві Тальха Даниїл Тиміш Денис Злата Ян Аріна Лєтті Данило Тиміш,й а я р я а я р і а л ш с а н а і о ш,19,15~22,Output: й а я р я а я р і а л ш с а н а і о ш,384,362,22
