input,out,len,bins,pred
Paula Fernando Alejandro Alvaro Isabel Antonio Angel Carmen Alvaro Antonia Jorge Carmen Fernando Josefa Jose Alberto Javier Antonio Lucia,a o o o l o l n o a e n o a e o r o a,19,15~22,Output: a o o o l o o n a a a a
Francisco Miguel Sergio Jesus Javier Alberto Carmen Javier Fernando Manuel Alejandro Jose Fernando Josefa Angel Lucia Jose Sergio Jose,o l o s r o n r o l o e o a l a e o e,19,15~22,Output: o l o s s r o n a o n o a l a o
Maria Angel Fernando Josefa Fernando Alberto Francisco Fernando Miguel Dolores Jose Carlos Manuel Isabel Carlos Manuel Alberto,a l o a o o o o l s e s l l s l o,17,15~22,Output: a l o a a o c o s l o l o
Alejandro Alvaro Isabel Isabel Lucia Alvaro Dolores Juan Josefa Jose Alvaro Miguel Javier Josefa Josefa Angel Lucia Alvaro,o o l l a o s n a e o l r a a l a o,18,15~22,Output: o o l l a o o e a o a o l a o
Alvaro Manuel Manuel Manuel Carmen Jesus Josefa Jose Carlos Pablo Francisco Jose Javier Manuel Javier Antonio Javier Carmen Antonia Marta,o l l l n s a e s o o e r l r o r n a a,20,15~22,Output: o l l l n s a e a o c o o a o a a a
Jorge Manuel Javier Miguel Miguel Lucia Fernando Alvaro Manuel Pablo Miguel Dolores Alvaro Miguel Jorge,e l r l l a o o l o l s o l e,15,15~22,Output: e l r l a o o o l e s o l
Jorge Fernando Antonia Josefa Miguel Jesus Alejandro Jesus Alvaro Juan Carlos Isabel Fernando Alberto Antonio Antonio Javier Carlos,e o a a l s o s o n s l o o o o r s,18,15~22,Output: e o a a e l s o o n o o
Dolores Jesus Alvaro Lucia Miguel Francisco Javier Fernando Alvaro Marta Marta Pablo Javier Alvaro Carmen Sergio Alvaro,s s o a l o r o o a a o r o n o o,17,15~22,Output: s s o a a o o o a o a o o
Fernando Pablo Carlos Jorge Pablo Juan Lucia Josefa Carmen Lucia Dolores Fernando Jose Fernando Pablo Antonia Marta Alejandro,o o s e o n a a n a s o e o o a a o,18,15~22,Output: o o s e e n a a a a a a
Manuel Jose Jose Isabel Jorge Pablo Manuel Lucia Jesus Jorge Carmen Maria Jose Isabel Carlos Miguel Miguel Alvaro,l e e l e o l a s e n a e l s l l o,18,15~22,Output: l e e l e o l a a a l o l a o
Josefa Jose Jose Alejandro Lucia Sergio Jose Jose Dolores Antonia Jesus Sergio Miguel Fernando Francisco Maria Isabel Francisco Antonio Paula Juan,a e e o a o e e s a s o l o o a l o o a n,21,15~22,Output: a e e o a a s s a a a a a a a
Josefa Sergio Miguel Alvaro Jorge Jose Alejandro Miguel Jose Juan Miguel Jesus Carlos Pablo Maria Jesus Antonio Angel Alvaro Alejandro,a o l o e e o l e n l s s o a s o l o o,20,15~22,Output: a o l o e e o e s u s a o l
Alejandro Carlos Manuel Alberto Carmen Dolores Carlos Alvaro Paula Alejandro Dolores Fernando Alejandro Jorge Juan Fernando,o s l o n s s o a o s o o e n o,16,15~22,Output: o s l o s n s o l o s o n o
Angel Juan Miguel Jose Francisco Manuel Jose Antonio Manuel Miguel Jesus Marta Dolores Jesus Fernando Miguel,l n l e o l e o l l s a s s o l,16,15~22,Output: l n l e o l o n l s s
Jose Jose Jesus Antonio Carmen Josefa Jesus Francisco Juan Alvaro Jesus Javier Marta Jose Pablo Marta,e e s o n a s o n o s r a e o a,16,15~22,Output: e e s o n a a a o n o a o a
Alberto Josefa Fernando Paula Alvaro Maria Manuel Javier Carmen Carmen Maria Carmen Angel Javier Juan Carmen Francisco Jose,o a o a o a l r n n a n l r n n o e,18,15~22,Output: o a o a a o a n l n a n a l r o e
Jose Jesus Maria Carlos Javier Pablo Isabel Jose Dolores Sergio Miguel Miguel Carlos Jose Jose Fernando Jose Josefa,e s a s r o l e s o l l s e e o e a,18,15~22,Output: e s a s r o l s o s o a a
Marta Alvaro Dolores Isabel Jorge Carmen Josefa Alejandro Miguel Isabel Manuel Fernando Miguel Jesus Lucia Antonia Juan Paula,a o s l e n a o l l l o l s a a n a,18,15~22,Output: a o s s l n a a l a a l a a
Jose Javier Jose Alberto Fernando Juan Alejandro Jose Alvaro Angel Antonia Isabel Juan Carlos Carlos Antonio Manuel Alvaro Antonia Alejandro,e r e o o n o e o l a l n s s o l o a o,20,15~22,Output: e r o o n n o l a a o n a o a o
