input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Stefan Joachim Monika Uwe Bernd Dirk Philipp Angelika Hans Anja Jürgen Jürgen Anna Markus Birgit Jan Sabine Ralph,n m a e d k p a s a n n a s t n e h,18,15~22,Output: n m a e d k p a s a n n a s t n e h,227,207,20
Sabine Kerstin Heike Birgit Petra Brigitte Martina Anja Rainer Ute Bärbel Wolfgang Heike Hans Hans Wolfgang Susanne Jutta,e n e t a e a a r e l g e s s g e a,18,15~22,Output: e n e t a e a r e l g e s s g e e a,227,207,20
Stefanie Monika Wolfgang Jörg Martina Stefan Thomas Uwe Martina Bernd Manfred Bernd Sven Katharina Kerstin Philipp Ralph Angelika Dirk,e a g g a n s e a d d d n a n p h a k,19,15~22,Output: e a g g a n s e a d d d n a n p h a k,229,208,21
Thomas Heike Bettina Uwe Jens Stefan Jens Jörg Klaus Heike Stefan Markus Heike Angelika Sabine Martina Kerstin Ivonne Markus Bernd,s e a e s n s g s e n s e a e a n e s d,20,15~22,Output: s e a e s n s g s e n s e a e a a n e s d,230,207,23
Bernd Manfred Hans Brigitte Katharina Jan Sven Anja Birgit Karin Philipp Matthias Katharina Jutta Martina Anja Stefanie Ralph Jörg,d d s e a n n a t n p s a a a a e h g,19,15~22,Output: d d s e a n n a t n p s a a a a e h g,232,211,21
Markus Bärbel Ivonne Philipp Sabine Stefanie Petra Jörg Bettina Ute Ulrike Heike Markus Joachim Dirk Ralph Susanne Sabine Uwe Markus Thorsten,s l e p e e a g a e e e s m k h e e e s n,21,15~22,Output: s l e p e e a g a e e e s m k h e e e n,234,212,22
Stefan Monika Anja Bärbel Karin Markus Jörg Birgit Sabine Brigitte Martina Thomas Jörg Philipp Birgit Uwe Jan Bettina Anja Heike,n a a l n s g t e e a s g p t e n a a e,20,15~22,Output: n a a l n s g t e e a s g p t e n a e,234,213,21
Jan Bettina Katharina Angelika Katharina Petra Manfred Uwe Jörg Jürgen Sven Stefan Ralph Stefanie Sabine Klaus Susanne Uwe Stefanie Bernd Klaus,n a a a a a d e g n n n h e e s e e e d s,21,15~22,Output: n a a a a a d e g n n n h e e s e e e d s,238,215,23
Ulrike Dirk Philipp Jürgen Sven Rainer Klaus Anna Brigitte Stefanie Hans Anja Jörg Monika Bettina Matthias Monika Dirk Philipp Ralph,e k p n n r s a e e s a g a a s a k p h,20,15~22,Output: e k p n n r s a e e s a g a a s a k p h,231,209,22
Manfred Wolfgang Angelika Martina Stefan Joachim Brigitte Manfred Ivonne Angelika Katharina Stefanie Hans Anja Jan Petra,d g a a n m e d e a a e s a n a,16,15~22,Output: d g a a n m e d e a a e s a n a,222,204,18
