Unnamed: 0,input,target,bins,input_ru,pred
0,"I have a cauliflower, a potato, a cabbage, a garlic, a yam, a lettuce head, a carrot, two stalks of celery, four heads of broccoli, and an onion.",14,13~18,"У меня есть цветная капуста, картофель, кочанная капуста, чеснок, батат, кочан салата, морковь, два стебля сельдерея, четыре головки брокколи и лук.",Output: 11
1,"I have a cabbage, a clarinet, a carrot, an onion, a lettuce head, a garlic, a yam, four cauliflowers, a potato, and a head of broccoli.",13,13~18,"У меня есть капуста, кларнет, морковь, лук, кочан салата, чеснок, батат, четыре цветной капусты, картофель и кочан брокколи.",Output: 11
2,"I have a lamp, two cars, a table, a chair, a fridge, two couches, an oven, a toaster, a microwave, and four stoves.",15,13~18,"У меня есть лампа, две машины, стол, стул, холодильник, два дивана, духовка, тостер, микроволновая печь и четыре плиты.",Output: 12
3,"I have two plums, a raspberry, a blackberry, four peaches, an orange, four strawberries, a grape, two nectarines, and an apple.",17,13~18,"У меня есть две сливы, малина, ежевика, четыре персика, апельсин, четыре клубники, виноград, два нектарина и яблоко.",Output: 15
4,"I have three lettuce heads, four stalks of celery, a yam, a garlic, a flute, two carrots, and a cabbage.",13,13~18,"У меня есть три кочана салата, четыре стебля сельдерея, батат, чеснок, флейта, две моркови и капуста.",Output: 10
5,"I have a toaster, a lamp, a fridge, two microwaves, a car, a table, five couches, a chair, and an oven.",14,13~18,"У меня есть тостер, лампа, холодильник, две микроволновые печи, машина, стол, пять диванов, стул и духовка.",Output: 12
6,"I have a lamp, two toasters, four beds, an oven, a stove, a table, a chair, a fridge, and two cars.",14,13~18,"У меня есть лампа, два тостера, четыре кровати, духовка, плита, стол, стул, холодильник и две машины.",Output: 11
7,"I have a plum, two strawberries, two oranges, a blackberry, two grapes, three nectarines, a banana, an apple, and a peach.",14,13~18,"У меня есть слива, две клубники, два апельсина, ежевика, две виноградины, три нектарина, банан, яблоко и персик.",Output: 12
8,"I have a trombone, three clarinets, three rabbits, a trumpet, a flute, a piano, an accordion, a violin, and a drum.",13,13~18,"У меня есть тромбон, три кларнета, три кролика, труба, флейта, фортепиано, аккордеон, скрипка и барабан.",Output: 10
9,"I have four apples, a banana, a nectarine, four peaches, an orange, a raspberry, a drum, and four flutes.",17,13~18,"У меня есть четыре яблока, банан, нектарин, четыре персика, апельсин, малина, барабан и четыре флейты.",Output: 13
10,"I have three pianos, a flute, a trumpet, a trombone, a violin, a clarinet, four drums, and two accordions.",14,13~18,"У меня есть три фортепиано, флейта, труба, тромбон, скрипка, кларнет, четыре барабана и два аккордеона.",Output: 12
11,"I have four dogs, a rabbit, two bears, a fish, a cat, a frog, a duck, a donkey, a cow, and a goat.",14,13~18,"У меня четыре собаки, кролик, два медведя, рыба, кошка, лягушка, утка, осел, корова и коза.",Output: 11
12,"I have a garlic, a cabbage, a cauliflower, a donkey, four potatoes, a stalk of celery, two mice, a snail, and three onions.",15,13~18,"У меня есть чеснок, капуста, цветная капуста, осел, четыре картофелины, стебель сельдерея, две мыши, улитка и три луковицы.",Output: 11
13,"I have two stoves, a couch, a toaster, a chair, a fridge, two microwaves, an oven, two lamps, a table, and a bed.",13,13~18,"У меня есть две плиты, диван, тостер, стул, холодильник, две микроволновые печи, духовка, две лампы, стол и кровать.",Output: 11
14,"I have a dog, a cow, a snake, a mouse, a rabbit, three cats, a bear, four goats, and two chickens.",15,13~18,"У меня есть собака, корова, змея, мышь, кролик, три кошки, медведь, четыре козы и две курицы.",Output: 13
15,"I have a nectarine, a banana, a blackberry, two raspberries, an apple, five grapes, a peach, and a strawberry.",13,13~18,"У меня есть нектарин, банан, ежевика, две малины, яблоко, пять виноградин, персик и клубника.",Output: 12
16,"I have a frog, a dog, four goats, two fish, a duck, a cow, a chicken, a cat, and a mouse.",13,13~18,"У меня есть лягушка, собака, четыре козы, две рыбы, утка, корова, курица, кошка и мышь.",Output: 10
17,"I have a nectarine, five blackberries, a plum, a peach, a strawberry, a raspberry, an apple, four bananas, an orange, and a grape.",17,13~18,"У меня есть нектарин, пять ежевики, слива, персик, клубника, малина, яблоко, четыре банана, апельсин и виноград.",Output: 12
18,"I have a raspberry, a blackberry, a plum, two peaches, two strawberries, an apple, a grape, five bananas, an orange, and a nectarine.",16,13~18,"У меня есть малина, ежевика, слива, два персика, две клубники, яблоко, виноград, пять бананов, апельсин и нектарин.",Output: 12
19,"I have four cars, a lamp, a table, three fridges, a chair, two stoves, a couch, a microwave, and a toaster.",15,13~18,"У меня четыре машины, лампа, стол, три холодильника, стул, две плиты, диван, микроволновая печь и тостер.",Output: 12
20,"I have a mouse, three snails, two dogs, a snake, two ducks, a donkey, a bear, a cow, and a frog.",13,13~18,"У меня есть мышь, три улитки, две собаки, змея, две утки, осел, медведь, корова и лягушка.",Output: 11
21,"I have a peach, a cauliflower, a garlic, three bananas, a nectarine, an orange, a plum, a grape, a raspberry, a head of broccoli, and a strawberry.",13,13~18,"У меня есть персик, цветная капуста, чеснок, три банана, нектарин, апельсин, слива, виноград, малина, головка брокколи и клубника.",Output: 11
22,"I have two strawberries, a raspberry, a plum, four oranges, an apple, two blackberries, two grapes, and two nectarines.",15,13~18,"У меня есть две клубники, малина, слива, четыре апельсина, яблоко, две ежевики, два винограда и два нектарина.",Output: 13
23,"I have a yam, three heads of broccoli, an onion, three cauliflowers, a carrot, a garlic, a potato, and three stalks of celery.",14,13~18,"У меня есть батат, три головки брокколи, луковица, три цветной капусты, морковь, чеснок, картофель и три стебля сельдерея.",Output: 10
24,"I have a peach, a blackberry, two apples, a raspberry, a strawberry, a nectarine, a grape, a plum, three oranges, and a banana.",13,13~18,"У меня есть персик, ежевика, два яблока, малина, клубника, нектарин, виноград, слива, три апельсина и банан.",Output: 11
25,"I have a carrot, a garlic, a potato, a couch, two lettuce heads, a stalk of celery, a cabbage, a cauliflower, a lamp, a yam, a car, and a head of broccoli.",13,13~18,"У меня есть морковь, чеснок, картошка, диван, два кочана салата, стебель сельдерея, капуста, цветная капуста, лампа, батат, машина и кочан брокколи.",Output: 12
26,"I have a fridge, a car, a lamp, a couch, two ovens, two stoves, three microwaves, a toaster, and a chair.",13,13~18,"У меня есть холодильник, машина, лампа, диван, две духовки, две плиты, три микроволновки, тостер и стул.",Output: 11
27,"I have four chairs, an orange, a blackberry, four strawberries, a grape, three raspberries, and a banana.",15,13~18,"У меня четыре стула: апельсин, ежевика, четыре клубники, виноград, три малины и банан.",Output: 11
28,"I have four raspberries, a banana, a nectarine, a peach, three apples, an orange, a strawberry, and a blackberry.",13,13~18,"У меня есть четыре малины, банан, нектарин, персик, три яблока, апельсин, клубника и ежевика.",Output: 11
