input_origin,input_extrapolation,output,len,bins,pred
Sagen Sie 2 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,Sagen Sie 22 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,python python python python python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python python python python python daten,22,17~25,Output: Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
Wiederholen Sie „Katze“ 5 mal. Sagen Sie nach jedem Mal auch „Maus“,Wiederholen Sie „Katze“ 19 mal. Sagen Sie nach jedem Mal auch „Maus“,katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus,19,17~25,Output: Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus
"Sagen Sie 3 mal „hungrig“, dann zweimal „Hippo“ und dann viermal „Füttere mich“.","Sagen Sie 23 mal „hungrig“, dann zweimal „Hippo“ und dann viermal „Füttere mich“.",hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hippo hippo füttere mich füttere mich füttere mich füttere mich,23,17~25,"Output: hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig, Hippo Hippo, Füttere mich Füttere mich Füttere mich Füttere mich."
"Wochentage anzeigen, aber nur Wochenenden, 2 Mal","Wochentage anzeigen, aber nur Wochenenden, 22 Mal",samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag,22,17~25,Output: Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag Sonntag Samstag
"Sagen Sie 5 mal „Hallo Welt“, aber sagen Sie nicht jedes Mal „Welt“.","Sagen Sie 24 mal „Hallo Welt“, aber sagen Sie nicht jedes Mal „Welt“.",hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo,24,17~25,"Output: Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo Welt, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo, Hallo Welt."
Wiederhole „Hallo Welt“ 5 Mal.,Wiederhole „Hallo Welt“ 22 Mal.,hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt,22,17~25,Output: Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt Hallo Welt
Sagen Sie 2 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,Sagen Sie 18 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python daten,18,17~25,Output: Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
"Wiederholen Sie das Wort „Hund“ 4 Mal, sagen Sie aber auch zwischendurch „Wauwau“.","Wiederholen Sie das Wort „Hund“ 21 Mal, sagen Sie aber auch zwischendurch „Wauwau“.",hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund,21,17~25,Output: Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund
Eine Wassermelone enthält 7 Samen. Wiederholen Sie „Sie sind köstlich“ einmal für jeden Samen.,Eine Wassermelone enthält 19 Samen. Wiederholen Sie „Sie sind köstlich“ einmal für jeden Samen.,sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich,19,17~25,Output: Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich
"Wochentage anzeigen, aber nur Wochenenden, 2 Mal","Wochentage anzeigen, aber nur Wochenenden, 18 Mal",samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag,18,17~25,"Output: Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag."
"Wochentage anzeigen, aber nur Wochenenden, 2 Mal","Wochentage anzeigen, aber nur Wochenenden, 19 Mal",samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag,19,17~25,"Output: Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag, Samstag, Sonntag."
Wiederholen Sie „Katze“ 5 mal. Sagen Sie nach jedem Mal auch „Maus“,Wiederholen Sie „Katze“ 24 mal. Sagen Sie nach jedem Mal auch „Maus“,katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus,24,17~25,Output: Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze
"Wiederholen Sie „Ganze Note, Viertelnote, Viertelnote“ 2 mal","Wiederholen Sie „Ganze Note, Viertelnote, Viertelnote“ 23 mal","ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote ganze note, viertelnote, viertelnote",23,17~25,"Output: Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote Ganze Note, Viertelnote, Viertelnote"
Sagen Sie 2 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,Sagen Sie 20 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,python python python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python python python daten,20,17~25,Output: Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
Wiederholen Sie „Katze“ 5 mal. Sagen Sie nach jedem Mal auch „Maus“,Wiederholen Sie „Katze“ 20 mal. Sagen Sie nach jedem Mal auch „Maus“,katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus,20,17~25,Output: Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus
"Sagen Sie 3 mal „hungrig“, dann zweimal „Hippo“ und dann viermal „Füttere mich“.","Sagen Sie 19 mal „hungrig“, dann zweimal „Hippo“ und dann viermal „Füttere mich“.",hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hippo hippo füttere mich füttere mich füttere mich füttere mich,19,17~25,"Output: hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig, Hippo Hippo, Füttere mich Füttere mich Füttere mich Füttere mich."
