input_origin,input_extrapolation,output,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Repita 'gato' 5 vezes. Depois de cada vez diga também 'rato',Repita 'gato' 20 vezes. Depois de cada vez diga também 'rato',gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato,20,17~25,"Output: 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato",107,85,192
"exibir dias da semana, mas apenas fins de semana, 2 vezes","exibir dias da semana, mas apenas fins de semana, 18 vezes",sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo sábado domingo,18,17~25,"Output: 
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Domingo Domingo
Sábado Sábado
Sábado Sábado
Sábado Sábado
Sábado Sábado
Sábado Sábado
Sábado Sábado
Sábado Sábado
Sábado Sábado",102,78,180
"Diga 'com fome' 3 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","Diga 'com fome' 20 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me, alimente-me, alimente-me, alimente-me",20,17~25,Output: com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me alimente-me alimente-me alimente-me,76,95,171
"Diga 'olá mundo' 5 vezes, mas não diga 'mundo' todas as vezes pares","Diga 'olá mundo' 22 vezes, mas não diga 'mundo' todas as vezes pares",olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá olá mundo olá,22,17~25,"Here it goes:

1. olá mundo
2. olá
3. olá mundo
4. olá
5. olá mundo
6. olá
7. olá mundo
8. olá
9. olá mundo
10. olá
11. olá mundo
12. olá
13. olá mundo
14. olá
15. olá mundo
16. olá
17. olá mundo
18. olá
19. olá mundo
20. olá
21. olá mundo
22. olá",124,87,211
Repita 'gato' 5 vezes. Depois de cada vez diga também 'rato',Repita 'gato' 23 vezes. Depois de cada vez diga também 'rato',gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato gato rato,23,17~25,"Output: 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato 
gato rato",127,85,212
Existem 7 sementes em uma melancia. Repita 'eles são deliciosos' uma vez para cada semente.,Existem 20 sementes em uma melancia. Repita 'eles são deliciosos' uma vez para cada semente.,eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos,20,17~25,Output: eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos,102,92,194
Existem 7 sementes em uma melancia. Repita 'eles são deliciosos' uma vez para cada semente.,Existem 18 sementes em uma melancia. Repita 'eles são deliciosos' uma vez para cada semente.,eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos,18,17~25,Output: eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos eles são deliciosos,92,92,184
"Diga 'com fome' 3 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","Diga 'com fome' 22 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me, alimente-me, alimente-me, alimente-me",22,17~25,Output: com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me alimente-me alimente-me alimente-me,82,95,177
Repita 'o mundo inteiro' 7 vezes e a cada segunda vez adicione 'é um palco',Repita 'o mundo inteiro' 20 vezes e a cada segunda vez adicione 'é um palco',o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco o mundo inteiro o mundo inteiro é um palco,20,17~25,"Output: 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco 
o mundo inteiro 
o mundo inteiro é um palco",156,88,244
"Diga 'com fome' 3 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","Diga 'com fome' 23 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me, alimente-me, alimente-me, alimente-me",23,17~25,Output: com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me alimente-me alimente-me alimente-me,85,95,180
"Diga 'com fome' 3 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","Diga 'com fome' 21 vezes, depois 'hipopótamo' duas vezes e depois 'alimente-me' quatro vezes.","com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me, alimente-me, alimente-me, alimente-me",21,17~25,Output: com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome com fome hipopótamo hipopótamo alimente-me alimente-me alimente-me alimente-me,79,95,174
