word,freq
я,168773
не,143925
в,69533
на,56164
что,49617
у,45592
і,45530
ты,42364
и,37965
это,35690
а,34876
тебе,23019
за,22255
с,21017
мене,19752
он,17964
мені,17545
ні,17516
мы,16048
мне,15647
как,15440
просто,14273
меня,14222
нет,14185
тут,14160
його,14047
п,13794
о,13494
вы,13253
но,13136
то,12804
ну,12729
знаю,12673
нас,12195
тебя,10749
она,10584
тобі,10481
ж,10340
его,10134
там,9865
якщо,9647
ще,9345
добре,9187
щоб,9173
по,8645
хочу,8378
если,8227
бы,8168
же,7545
вже,7346
они,6748
може,6708
чтобы,6505
дуже,6421
хорошо,6199
чому,6197
буде,6079
хто,6071
есть,6042
всё,5923
тому,5847
здесь,5747
треба,5701
думаю,5553
к,5517
когда,5501
из,5433
того,5388
щось,5320
гаразд,5268
был,5266
цього,5209
только,5174
зараз,5044
было,4986
может,4930
нічого,4902
моя,4879
тільки,4799
один,4615
уже,4600
можу,4565
тепер,4546
мій,4509
быть,4504
ось,4490
почему,4425
дякую,4416
раз,4351
знаєш,4343
вот,4294
могу,4270
через,4188
нужно,4137
всі,4093
бо,4059
кто,4023
будет,3999
правда,3998
себе,3897
більше,3842
тоді,3816
час,3765
день,3726
ладно,3698
сейчас,3686
можна,3684
их,3670
боже,3642
еще,3632
спасибо,3626
или,3557
будь,3538
йому,3531
где,3515
лише,3476
очень,3421
была,3416
ним,3403
привіт,3401
них,3361
чем,3357
ніколи,3343
знаешь,3337
этого,3321
буду,3318
би,3312
её,3296
зі,3228
ее,3216
мой,3214
немає,3212
ничего,3207
хочеш,3203
нього,3202
життя,3067
этом,3039
теж,3029
люди,3029
твоя,3017
со,2934
потому,2933
сказав,2908
i,2878
больше,2876
теперь,2856
ещё,2852
людей,2851
або,2803
свою,2760
привет,2712
сюди,2698
таке,2692
даже,2667
об,2649
тобою,2641
два,2635
краще,2614
пока,2596
ему,2582
хочешь,2571
должен,2569
багато,2559
you,2555
сьогодні,2553
ей,2552
точно,2542
ласка,2507
время,2498
эй,2498
той,2474
себя,2463
надо,2460
сам,2441
мною,2419
тоже,2413
этот,2394
має,2388
