input,out,len_list,total_inter,bins
"A: selinda rontasia kotryna quetzaly zyquarius aftab emlee troi xoi joephine standard dvonta elladee kizi kimeko jadus tylesha joselito deylon haskell yuvonda
B:joephine tylesha deland danyiah genora yuvonda troi boots quetzaly urooj kimeko lenya recil rontasia cevera elladee azelya kizi donamarie kotryna nevalyn",rontasia kotryna yuvonda quetzaly troi elladee joephine kimeko kizi tylesha,21,10,1~24
"A: kazue ajiya briar aubrea rihansh yena assia dyondre taegen shion iskander tamitra ashunte kimberla orest alyzza
B:shion iskander seiki alyzza kimberla briar taegen yena orest ashunte assia rihansh dyondre kazue joaopaulo ajiya",alyzza taegen orest ashunte yena iskander briar assia dyondre kimberla rihansh kazue ajiya shion,16,14,1~24
"A: rowan nakaylee rolisha kathir kail trupti silvia haitham colisha maileen blease cindya qualee luay sotheary tramell yazhini keliana ondreya kimbra kalima yasiris
B:jaisen maileen jostyn treisa jillane enfinity vinesha felipa edwardd rienhold urbin ieishia denaija sandip jabrayah kail aletha tomeeka cande haldon jayleene tramell",tramell kail maileen,22,3,1~24
"A: jaliesa azilda kevona kyeson tane zyari kshon dhruvan sherezade lucyann kalib pamilyn columba zeonna ayianna gaynor lavan lamon mondrell mikyle zimora
B:sherezade kshon lucyann jaliesa davaunte aprillynn pamilyn ayianna zyari columba orr destinee manolo kyeson joseenrique lamon marliss zimora gaynor laynah zeonna",gaynor columba lamon jaliesa kshon zeonna zimora zyari ayianna sherezade lucyann pamilyn kyeson,21,13,1~24
"A: cyro lucresia dodd markera erla cairo yodahe
B:srinitya tiffani erla yodahe cyro darlean dodd",yodahe erla dodd cyro,7,4,1~24
"A: shebra drishya srithan xelha zahria doc aisla aldred kayelee mondo undray joan lanaijah silvester
B:doc mondo millisa stancel aldred shebra katharine joan aisla silvester dandi orlandrea brelen kaylis",shebra aisla doc silvester joan mondo aldred,14,7,1~24
"A: rauljr tareka nellda
B:jerison airyanna yasiah",None,3,0,1~24
"A: kylayah kinesha marijon morgana jaimz amino zynae adara earman keton
B:earman krysti zynae adara keton hadya amino deene marijon morgana",adara keton earman marijon zynae morgana amino,10,7,1~24
"A: trayse raenae
B:seidon novea",None,2,0,1~24
"A: birdella brixtyn tiante rebe khadijiah lyndal leata katybeth boen markesia rean heven matheu meerub
B:leata tiante matheu markesia meerub mallisa heven khadijiah boen emmette andis lyndal birdella katybeth",leata lyndal meerub markesia khadijiah katybeth tiante birdella matheu heven boen,14,11,1~24
"A: milik welmer daishanae heiko shigetoshi johaniel gamble ekrem jessicia timyah alik mychele denyah midred darielis javyon clo cyndee yasel riloh
B:rouchelle morag xiyan milik riloh welmer clo alik mychele shekeita timyah midred heiko ekrem yasel leycester daishanae deshia enemencio avnoor",daishanae yasel milik heiko alik riloh clo midred timyah mychele ekrem welmer,20,12,1~24
"A: lindwood joycelyn channie rebbecca alexaundria archibald rosbel cyrell chavonda
B:lindwood joycelyn channie rebbecca alexaundria archibald rosbel cyrell chavonda",lindwood joycelyn channie rebbecca alexaundria archibald rosbel cyrell chavonda,9,9,1~24
"A: vikranth ayush
B:vikranth ayush",vikranth ayush,2,2,1~24
"A: lovel rosamarie conni kaizlei mytia efstathia pomposa luie arieyana viansh rabekka osheana ekhlas winslee dakaria edwina selestina krishaan aneira lushonda
B:lovel arvene luie almyra destinee jeran edwina jeylan kaizlei malu lynnex conni avneet rosamarie pascal cubert kayto yareliz becki anan",luie rosamarie lovel conni edwina kaizlei,20,6,1~24
"A: yandy perris kazeem saffire
B:semico crishawn robbey alecsandra",None,4,0,1~24
"A: alsion jarade shiley deshuan personna lelend dorthella shaurice solmari kirin ladawna zuleimy
B:alsion jarade shiley deshuan personna lelend dorthella shaurice solmari kirin ladawna zuleimy",alsion jarade shiley deshuan personna lelend dorthella shaurice solmari kirin ladawna zuleimy,12,12,1~24
"A: declan cyniyah ho rackel antiono fort alieen nelvin renauld kalonie clema fatehveer mickeal aayah coryion kelston idanell yelani
B:declan cyniyah ho rackel antiono fort alieen nelvin renauld kalonie clema fatehveer mickeal aayah coryion kelston idanell yelani",declan cyniyah ho rackel antiono fort alieen nelvin renauld kalonie clema fatehveer mickeal aayah coryion kelston idanell yelani,18,18,1~24
"A: jurian ameliajane monteze daveed vanesha marsalis berniece taylani beasia beach rosalei sarahjean chaisson katheriene mariola elaisa desery tomoko ewalt ranyiah
B:kadenn taylani tejuan nahome ameliajane berniece jyren johnatha katheriene rosalei daveed jurian ewalt sarahjean aceson rashard chaunci juliamae vanesha monteze",taylani sarahjean berniece daveed monteze jurian ewalt katheriene ameliajane rosalei vanesha,20,11,1~24
"A: jarman nashalie emryk shenoa eyana titania junella vahagn chrstopher wadie vesper
B:shenoa emryk wadie junella jarman vahagn chrstopher nashalie titania eyana kirstopher",eyana emryk wadie chrstopher nashalie junella vahagn jarman titania shenoa,11,10,1~24
"A: patricia onice ardith jauier
B:onice patricia chaskel ardith",patricia onice ardith,4,3,1~24
"A: khady wrett tayden jacop aleida toribia jakela kieleigh sumiko dorry morion chinedu romonica
B:aleida morion jakela tayden jermiyah chinedu khady luie laurenne jasin jacop khaos delfinia",jacop aleida chinedu khady morion jakela tayden,13,7,1~24
"A: remeka glendola barnell medena tarrick giannarose berina magaly arvene booth
B:berina tarrick elliotte arvene booth magaly barnell remeka chalice medena",barnell tarrick berina medena remeka booth magaly arvene,10,8,1~24
"A: angeles theodia arhant taymon livie muntas dailynne londrea collen
B:angeles theodia arhant taymon livie muntas dailynne londrea collen",angeles theodia arhant taymon livie muntas dailynne londrea collen,9,9,1~24
"A: diasia keiauna zoejane cramer dovber jahred abdiwahab trevun rebie maverie montico tasanee casmira vahagn jennicka markcus rosenell stephan dixy thomos jerralyn
B:haniff rebie axen abdiwahab trevun jerralyn light tasanee lannon pamlia rosenell wali maverie jahred temecka nyree traeshawn zoejane vahagn dovber dixy",jerralyn rebie tasanee jahred maverie vahagn rosenell trevun dovber zoejane dixy abdiwahab,21,12,1~24
"A: tibisay kealie algeria adarion
B:dainna akira chandal zyien",None,4,0,1~24
"A: velerie crmen aysel raymont signora jind kiabeth zier davany makeshia presiliano aaryiah analeece nicolene nyemia madux aiven
B:jind zier aysel signora makeshia raymont shariya kiabeth aiven davany crmen densie presiliano jaiah nicolene truxton madux",crmen aiven madux makeshia kiabeth davany raymont signora presiliano aysel nicolene zier jind,17,13,1~24
"A: sheral utsav mor vernan helmer zaxai stefhanie sahm marylou zhoe lynnen havengrace meeya tranika zacharee charlianne kinya blenda
B:davarion mayreni kinya haslyn isac yeshia selecia chyrstal janasha havengrace blaze cheslie blenda lakeeya yeiko vernan lynnen meeya",havengrace vernan meeya kinya lynnen blenda,18,6,1~24
"A: sharran garo rayshad adalicia areg briyona yarimar marlayah esmerai ladie markaylah shigeyuki jamespaul chandler buren jaseon geronima kazarion
B:aeris adalicia rowan nyaijah hazaiah daeyonna dore shigeyuki sylvin alshon hayse brianalee briyona eelis issabelle turron esmerai zabelle",esmerai shigeyuki adalicia briyona,18,4,1~24
"A: genendy felicie shydia hermoine norretta treyon eyoas aveayah kandon
B:kandon felicie zackari treyon hermoine shydia norretta aveayah eyoas",aveayah kandon eyoas hermoine norretta felicie treyon shydia,9,8,1~24
"A: miichael tysyn artin jayshaun lindzey burnett micel oaklyn laroderick calizza stevi jondriel keevan gurbani decan axtin tadajah ayomide
B:micel bettyann kimbella tadajah shammie thoams mariaesther nishant keyuna decan allida auretta nachele kearstan antonne kalirose greogory salamon",decan tadajah micel,18,3,1~24
"A: kaitylyn abimael rocklin
B:kaitylyn abimael rocklin",kaitylyn abimael rocklin,3,3,1~24
