Unnamed: 0,input,target,bins,input_ru,pred
0,"I have a cauliflower, a potato, a cabbage, a garlic, a yam, a lettuce head, a carrot, two stalks of celery, four heads of broccoli, and an onion.",14,13~18,"Ich habe einen Blumenkohl, eine Kartoffel, einen Kohl, einen Knoblauch, eine Yamswurzel, einen Salatkopf, eine Karotte, zwei Stangen Sellerie, vier Brokkoliköpfe und eine Zwiebel.",Output: 14
1,"I have a cabbage, a clarinet, a carrot, an onion, a lettuce head, a garlic, a yam, four cauliflowers, a potato, and a head of broccoli.",13,13~18,"Ich habe einen Kohl, eine Klarinette, eine Karotte, eine Zwiebel, einen Salatkopf, einen Knoblauch, eine Yamswurzel, vier Blumenkohl, eine Kartoffel und einen Brokkolikopf.",Output: 12
2,"I have a lamp, two cars, a table, a chair, a fridge, two couches, an oven, a toaster, a microwave, and four stoves.",15,13~18,"Ich habe eine Lampe, zwei Autos, einen Tisch, einen Stuhl, einen Kühlschrank, zwei Sofas, einen Ofen, einen Toaster, eine Mikrowelle und vier Herde.",Output: 15
3,"I have two plums, a raspberry, a blackberry, four peaches, an orange, four strawberries, a grape, two nectarines, and an apple.",17,13~18,"Ich habe zwei Pflaumen, eine Himbeere, eine Brombeere, vier Pfirsiche, eine Orange, vier Erdbeeren, eine Traube, zwei Nektarinen und einen Apfel.",Output: 16
4,"I have three lettuce heads, four stalks of celery, a yam, a garlic, a flute, two carrots, and a cabbage.",13,13~18,"Ich habe drei Salatköpfe, vier Stangen Sellerie, eine Yamswurzel, einen Knoblauch, eine Flöte, zwei Karotten und einen Kohl.",Output: 12
5,"I have a toaster, a lamp, a fridge, two microwaves, a car, a table, five couches, a chair, and an oven.",14,13~18,"Ich habe einen Toaster, eine Lampe, einen Kühlschrank, zwei Mikrowellen, ein Auto, einen Tisch, fünf Sofas, einen Stuhl und einen Ofen.",Output: 13
6,"I have a lamp, two toasters, four beds, an oven, a stove, a table, a chair, a fridge, and two cars.",14,13~18,"Ich habe eine Lampe, zwei Toaster, vier Betten, einen Ofen, einen Herd, einen Tisch, einen Stuhl, einen Kühlschrank und zwei Autos.",Output: 13
7,"I have a plum, two strawberries, two oranges, a blackberry, two grapes, three nectarines, a banana, an apple, and a peach.",14,13~18,"Ich habe eine Pflaume, zwei Erdbeeren, zwei Orangen, eine Brombeere, zwei Weintrauben, drei Nektarinen, eine Banane, einen Apfel und einen Pfirsich.",Output: 15
8,"I have a trombone, three clarinets, three rabbits, a trumpet, a flute, a piano, an accordion, a violin, and a drum.",13,13~18,"Ich habe eine Posaune, drei Klarinetten, drei Hasen, eine Trompete, eine Flöte, ein Klavier, ein Akkordeon, eine Geige und eine Trommel.",Output: 14
9,"I have four apples, a banana, a nectarine, four peaches, an orange, a raspberry, a drum, and four flutes.",17,13~18,"Ich habe vier Äpfel, eine Banane, eine Nektarine, vier Pfirsiche, eine Orange, eine Himbeere, eine Trommel und vier Flöten.",Output: 13
10,"I have three pianos, a flute, a trumpet, a trombone, a violin, a clarinet, four drums, and two accordions.",14,13~18,"Ich habe drei Klaviere, eine Flöte, eine Trompete, eine Posaune, eine Geige, eine Klarinette, vier Trommeln und zwei Akkordeons.",Output: 13
11,"I have four dogs, a rabbit, two bears, a fish, a cat, a frog, a duck, a donkey, a cow, and a goat.",14,13~18,"Ich habe vier Hunde, einen Hasen, zwei Bären, einen Fisch, eine Katze, einen Frosch, eine Ente, einen Esel, eine Kuh und eine Ziege.",Output: 14
12,"I have a garlic, a cabbage, a cauliflower, a donkey, four potatoes, a stalk of celery, two mice, a snail, and three onions.",15,13~18,"Ich habe einen Knoblauch, einen Kohl, einen Blumenkohl, einen Esel, vier Kartoffeln, eine Stange Sellerie, zwei Mäuse, eine Schnecke und drei Zwiebeln.",Output: 14
13,"I have two stoves, a couch, a toaster, a chair, a fridge, two microwaves, an oven, two lamps, a table, and a bed.",13,13~18,"Ich habe zwei Herde, eine Couch, einen Toaster, einen Stuhl, einen Kühlschrank, zwei Mikrowellen, einen Backofen, zwei Lampen, einen Tisch und ein Bett.",Output: 12
14,"I have a dog, a cow, a snake, a mouse, a rabbit, three cats, a bear, four goats, and two chickens.",15,13~18,"Ich habe einen Hund, eine Kuh, eine Schlange, eine Maus, ein Kaninchen, drei Katzen, einen Bären, vier Ziegen und zwei Hühner.",Output: 14
15,"I have a nectarine, a banana, a blackberry, two raspberries, an apple, five grapes, a peach, and a strawberry.",13,13~18,"Ich habe eine Nektarine, eine Banane, eine Brombeere, zwei Himbeeren, einen Apfel, fünf Weintrauben, einen Pfirsich und eine Erdbeere.",Output: 13
16,"I have a frog, a dog, four goats, two fish, a duck, a cow, a chicken, a cat, and a mouse.",13,13~18,"Ich habe einen Frosch, einen Hund, vier Ziegen, zwei Fische, eine Ente, eine Kuh, ein Huhn, eine Katze und eine Maus.",Output: 13
17,"I have a nectarine, five blackberries, a plum, a peach, a strawberry, a raspberry, an apple, four bananas, an orange, and a grape.",17,13~18,"Ich habe eine Nektarine, fünf Brombeeren, eine Pflaume, einen Pfirsich, eine Erdbeere, eine Himbeere, einen Apfel, vier Bananen, eine Orange und eine Traube.",Output: 16
18,"I have a raspberry, a blackberry, a plum, two peaches, two strawberries, an apple, a grape, five bananas, an orange, and a nectarine.",16,13~18,"Ich habe eine Himbeere, eine Brombeere, eine Pflaume, zwei Pfirsiche, zwei Erdbeeren, einen Apfel, eine Traube, fünf Bananen, eine Orange und eine Nektarine.",Output: 16
19,"I have four cars, a lamp, a table, three fridges, a chair, two stoves, a couch, a microwave, and a toaster.",15,13~18,"Ich habe vier Autos, eine Lampe, einen Tisch, drei Kühlschränke, einen Stuhl, zwei Herde, eine Couch, eine Mikrowelle und einen Toaster.",Output: 14
