input,target,bins
"I have a cauliflower, a potato, a cabbage, a garlic, a yam, a lettuce head, a carrot, two stalks of celery, four heads of broccoli, and an onion.",14,13~18
"I have a cabbage, a clarinet, a carrot, an onion, a lettuce head, a garlic, a yam, four cauliflowers, a potato, and a head of broccoli.",13,13~18
"I have a lamp, two cars, a table, a chair, a fridge, two couches, an oven, a toaster, a microwave, and four stoves.",15,13~18
"I have two plums, a raspberry, a blackberry, four peaches, an orange, four strawberries, a grape, two nectarines, and an apple.",17,13~18
"I have three lettuce heads, four stalks of celery, a yam, a garlic, a flute, two carrots, and a cabbage.",13,13~18
"I have a toaster, a lamp, a fridge, two microwaves, a car, a table, five couches, a chair, and an oven.",14,13~18
"I have a lamp, two toasters, four beds, an oven, a stove, a table, a chair, a fridge, and two cars.",14,13~18
"I have a plum, two strawberries, two oranges, a blackberry, two grapes, three nectarines, a banana, an apple, and a peach.",14,13~18
"I have a trombone, three clarinets, three rabbits, a trumpet, a flute, a piano, an accordion, a violin, and a drum.",13,13~18
"I have four apples, a banana, a nectarine, four peaches, an orange, a raspberry, a drum, and four flutes.",17,13~18
"I have three pianos, a flute, a trumpet, a trombone, a violin, a clarinet, four drums, and two accordions.",14,13~18
"I have four dogs, a rabbit, two bears, a fish, a cat, a frog, a duck, a donkey, a cow, and a goat.",14,13~18
"I have a garlic, a cabbage, a cauliflower, a donkey, four potatoes, a stalk of celery, two mice, a snail, and three onions.",15,13~18
"I have two stoves, a couch, a toaster, a chair, a fridge, two microwaves, an oven, two lamps, a table, and a bed.",13,13~18
"I have a dog, a cow, a snake, a mouse, a rabbit, three cats, a bear, four goats, and two chickens.",15,13~18
"I have a nectarine, a banana, a blackberry, two raspberries, an apple, five grapes, a peach, and a strawberry.",13,13~18
"I have a frog, a dog, four goats, two fish, a duck, a cow, a chicken, a cat, and a mouse.",13,13~18
"I have a nectarine, five blackberries, a plum, a peach, a strawberry, a raspberry, an apple, four bananas, an orange, and a grape.",17,13~18
"I have a raspberry, a blackberry, a plum, two peaches, two strawberries, an apple, a grape, five bananas, an orange, and a nectarine.",16,13~18
"I have four cars, a lamp, a table, three fridges, a chair, two stoves, a couch, a microwave, and a toaster.",15,13~18
"I have a mouse, three snails, two dogs, a snake, two ducks, a donkey, a bear, a cow, and a frog.",13,13~18
"I have a peach, a cauliflower, a garlic, three bananas, a nectarine, an orange, a plum, a grape, a raspberry, a head of broccoli, and a strawberry.",13,13~18
"I have two strawberries, a raspberry, a plum, four oranges, an apple, two blackberries, two grapes, and two nectarines.",15,13~18
"I have a yam, three heads of broccoli, an onion, three cauliflowers, a carrot, a garlic, a potato, and three stalks of celery.",14,13~18
