input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Daniel Camila Sandra Marcia Francisco Julia Mariana Luis Fernanda Maria Aline Bruno Patricia Carlos Fernanda Antonio Julia Lucas Fernanda Julia,l a a a o a a s a a e o a s a o a s a a,20,15~22,Output: l a a a a a a s a a a o a a a o a,211,192,19
Ana Patricia Julia Patricia Aline Marcelo Sandra Carlos Daniel Luciana Antonia Aline Francisco Paulo Julia,a a a a e o a s l a a e o o a,15,15~22,Output: a a a a e o a s o a a a o,200,185,15
Vanessa Marcelo Mariana Marcos Carlos Aline Joao Eduardo Luis Rafael Francisca Marcelo Pedro Leticia Jessica Sandra Julia,a o a s s e o o s l a o o a a a a,17,15~22,Output: a o a a s s a o o a a a a a,206,190,16
Aline Luciana Jose Luiz Adriana Lucas Aline Jose Joao Vanessa Mariana Aline Marcelo Ana Bruna Aline Adriana Jose Camila Gabriel,e a e z a s e e o a a e o a a e a e a l,20,15~22,Output: e a e z a a s s a a a a a a a a a a,218,198,20
Aline Rafael Julia Aline Francisco Francisca Jose Antonia Paulo Vanessa Marcos Luis Juliana Lucas Joao Juliana,e l a e o a e a o a s s a s o a,16,15~22,Output: e l a e o a a a o a o s s a o,205,188,17
Francisco Lucas Daniel Ana Camila Ana Joao Vanessa Leticia Paulo Marcelo Antonia Lucas Marcos Camila Amanda,o s l a a a o a a o o a s s a a,16,15~22,Output: o s l a a a a a a o o a a,203,188,15
Francisco Luciana Francisco Adriana Pedro Camila Julia Francisca Carlos Adriana Aline Aline Marcos Pedro Rafael Lucas Bruno Luis Daniel,o a o a o a a a s a e e s o l s o s l,19,15~22,Output: o a o a a o a a a a a o s l o s,209,191,18
Paulo Marcos Lucas Eduardo Marcia Julia Eduardo Adriana Julia Fernanda Marcia Luiz Antonia Antonia Antonio Camila Patricia,o s s o a a o a a a a z a a o a a,17,15~22,Output: o s s o a a a a a a a a,204,190,14
Adriana Gabriel Fernanda Fernanda Antonio Pedro Bruna Gabriel Marcos Juliana Rafael Maria Francisca Luciana Rafael Bruna Antonio,a l a a o o a l s a l a a a l a o,17,15~22,Output: a L a a o o o a a a a a a,205,190,15
Ana Bruno Leticia Marcelo Francisco Pedro Francisca Rafael Patricia Bruno Adriana Francisco Leticia Luis Adriana Vanessa,a o a o o o a l a o a o a s a a,16,15~22,Output: a o a o o o o a a a a a,203,189,14
Carlos Leticia Marcos Jose Marcos Ana Luiz Francisca Leticia Eduardo Antonio Julia Ana Adriana Pedro Antonio Rafael Antonia Fernanda Carlos,s a s e s a z a a o o a a a o o l a a s,20,15~22,Output: s a s s e a a a o a a a a a a o a,213,194,19
Jose Luis Rafael Amanda Antonio Antonia Adriana Gabriel Aline Leticia Ana Carlos Luciana Leticia Jose Amanda Jose Maria Antonio,e s l a o a a l e a a s a a e a e a o,19,15~22,Output: e s l a o a a a a a a a a o a a,210,192,18
Lucas Adriana Adriana Bruna Julia Luis Patricia Gabriel Marcos Joao Marcos Bruna Marcia Luiz Patricia Vanessa Paulo Camila Sandra Joao Patricia,s a a a a s a l s o s a a z a a o a a o a,21,15~22,Output: s a a a a a s a a s o o a a a a a,214,195,19
Ana Vanessa Jose Bruno Patricia Aline Julia Rafael Carlos Antonio Rafael Julia Lucas Maria Camila Luciana Eduardo,a a e o a e a l s o l a s a a a o,17,15~22,Output: a a e o o a a a l o a a a o,201,185,16
Adriana Leticia Pedro Marcos Antonia Bruno Carlos Jessica Luciana Marcelo Mariana Joao Francisca Luciana Joao Aline Marcelo Antonia Bruno Patricia,a a o s a o s a a o a o a a o e o a o a,20,15~22,Output: a a o s a a o s a a a o a a a a a a,219,199,20
Marcia Marcelo Antonia Marcos Adriana Ana Antonia Francisca Paulo Antonio Eduardo Sandra Rafael Lucas Luciana Jessica,a o a s a a a a o o o a l s a a,16,15~22,Output: a o a a a a a a o o a a a a,204,188,16
Mariana Eduardo Paulo Lucas Maria Julia Eduardo Julia Luiz Paulo Adriana Francisca Marcia Francisca Patricia Lucas Eduardo Marcia Joao,a o o s a a o a z o a a a a a s o a o,19,15~22,Output: a o o s a a a u a a a a a o a a a o,212,192,20
Amanda Marcia Jessica Julia Eduardo Mariana Luciana Francisco Joao Marcos Lucas Paulo Gabriel Aline Carlos Antonia,a a a a o a a o o s s o l e s a,16,15~22,Output: a a a a o a a o o s s o l,202,187,15
Luiz Marcelo Adriana Camila Amanda Gabriel Jose Lucas Marcos Mariana Bruna Lucas Jose Bruna Antonia Daniel,z o a a a l e s s a a s e a a l,16,15~22,Output: z o a a a a l s s s a l s a l,206,189,17
Leticia Vanessa Juliana Paulo Paulo Eduardo Amanda Adriana Julia Luiz Paulo Luciana Sandra Marcelo Maria Francisca Juliana Antonio Mariana,a a a o o o a a a z o a a o a a a o a,19,15~22,Output: a a a o o o o a a a a a a a a a,212,194,18
Marcelo Bruno Lucas Camila Eduardo Marcia Maria Julia Mariana Luiz Luciana Leticia Fernanda Julia Maria Marcia Amanda Jose Gabriel,o o s a o a a a a z a a a a a a a e l,19,15~22,Output: o o s a o a a a a a a a a a,210,194,16
