input,out,len,bins
()[<>][{}][<>{<,>}],15,0~25
[<>]([][](([],))),13,0~25
(())(<<>()>)<{}[]{,}>,18,0~25
(()[[]])(<>)<>[<>](){{,}},22,0~25
<()<><[{<{}<>>}()]><,>>,20,0~25
<{[],}>,4,0~25
<([])(),>,7,0~25
({}){}{<>{}}<,>,13,0~25
(<()><>)[,],9,0~25
[<[]>[]()](<>)<<[]>{<>,}>,22,0~25
<(<>[]{<>[<>]}),>,15,0~25
<(<[]<>>)[{}],>,13,0~25
()(){[[]],},9,0~25
()<[]<>([])[{,}]>,13,0~25
[]()<{[]},>,9,0~25
[{{}}]{}{}{}[<>,],15,0~25
[]{<()[]>}[{}<,>],14,0~25
{}{<>,},5,0~25
()[{}()]{[]}()[,],15,0~25
[<{}>[]{{}}{{()()}}[],],21,0~25
{}[{}[]()<(,)>],11,0~25
{{}[(,)]},5,0~25
[({<()>})<>,],11,0~25
<[],>,3,0~25
[()][(),],7,0~25
<>{{}(),},7,0~25
([])<[]>[,],9,0~25
{{}}{{},},7,0~25
(<><[]>(,)),8,0~25
<>{{}}<[]{[]}><<>[()<,>]>,21,0~25
<>()[](){(()),},13,0~25
[{(,)}],3,0~25
()<{},>,5,0~25
({}){<>[]<><>{}<()>[][,]},22,0~25
()[,],3,0~25
[][<()><[()],>],12,0~25
()({},),5,0~25
()<[]<{}><><<>>{{<>,}}>,19,0~25
[()[],],5,0~25
<<{<<>>[<>][][]}>[],>,19,0~25
<>()<{()}>(){}([,]),16,0~25
(([]))()({{}({},)}),15,0~25
{{}()}(()){}[{}(<>)]<,>,21,0~25
<([[<()>]])<><>{[]}<{}><,>>,24,0~25
<[[{}{<>[]}[]]()]<,>>,18,0~25
<{}[]{}<<>>{}{}{}{}(,)>,20,0~25
{{()[][][]},},11,0~25
[()](,),5,0~25
<[]>{,},5,0~25
{}[{}<{}>({}{}<>[][],)],20,0~25
<><({,})>,5,0~25
{[<>[]]{}}[{}<,>],14,0~25
(<(){}(<><>)[{}][],>),18,0~25
[{<>}{{}}][<>[()[]],],19,0~25
<>[]()<()<><,>>,12,0~25
()<,>,3,0~25
([]{{[]<>}[]}[()<(),>]),19,0~25
[()]<>{}<>[(,)],12,0~25
[<>[{[]}<>{}<>]<()>[,]],20,0~25
<(<>{}[])(){[{}((()))],}>,22,0~25
[()<>[(){()}<<>>,]],16,0~25
(,),1,0~25
[<[<>{}]>{}(<>[]{},)],18,0~25
[[[][]<[]><<>><>[{}[()]],]],24,0~25
<>{}<[]>(,),9,0~25
()<>[[]{}[]]<>{}{}(([])[,]),24,0~25
{}{}<(<>)>([]){,},15,0~25
{<><>{}}{((<>),)},14,0~25
[[][]()]{,},9,0~25
[]()[({}{})][,],13,0~25
{[]{},},5,0~25
<<>(),>,5,0~25
[()]<[<>][]><>[]{,},17,0~25
<{}>[{[]}{()()}]{}[<><,>],22,0~25
{}[{}(){}()[],],13,0~25
()(){}{{{}()}[]<><>()<>{}{},},27,25~50
{{}}()[()<>][{[]([{}])()()}{}{}]<>[<>][][<>,],43,25~50
(<>{}<>)({{}}([[]]{<[]<>>})<,>),28,25~50
{}[][][<>{([]<>[]())({}){}((){}){}}[]{}[]{<>[],}],46,25~50
[]()()[{}][]()<<>{}><[]<>()([]){}<>[]<[()],>>,42,25~50
()<><<()>{<>[]}<>>{{()<>}<>()[[]]<><{}[,]>},39,25~50
{{}}{[]()}[{}()<>][()][](,),25,25~50
([<<><>()[]>][]{}{})(([](){}{})<,>),32,25~50
<{}>{}{<[[]]<{[]()}>[]((())[]<>)()>(){[]<>},},43,25~50
<>[]{<>[]()()}{}(){}{}(){}<{}[],>,31,25~50
<>(()<<>><>[[{<>}[]]]()(){[<()>]}[()])[][,],41,25~50
([][<>[{}]{[][{}]}]){{}}<[]<>{}<{{}}>((,))>,39,25~50
<[{(()()<>({}[][][<>]))(()[]){}<<>><>}{,}]>,39,25~50
