input_origin,input_extrapolation,output,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Di 'python' 2 veces y 'datos' una vez y repite todo tres veces,Di 'python' 17 veces y 'datos' una vez y repite todo tres veces,python python python python python python python python python python python python python python python python python datos python python python python python python python python python python python python python python python python python datos python python python python python python python python python python python python python python python python python datos,17,17~25,"Output: 
python python python python python python python python python python python python python python python python python datos
python python python python python python python python python python python python python python python python datos
python python python python python python python python python python python python python python python python datos",57,85,142
Repite 'hola mundo' 5 veces,Repite 'hola mundo' 17 veces,hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo,17,17~25,Output: hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo,50,76,126
Repita 'el mundo entero' 7 veces y cada segunda vez agregue 'es un escenario',Repita 'el mundo entero' 21 veces y cada segunda vez agregue 'es un escenario',el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero,21,17~25,"Output: 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero",161,89,250
"Repita 'gato' 5 veces. Después de cada vez, diga también 'ratón'.","Repita 'gato' 21 veces. Después de cada vez, diga también 'ratón'.",gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón,21,17~25,Output: gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón gato ratón,82,89,171
Repita 'el mundo entero' 7 veces y cada segunda vez agregue 'es un escenario',Repita 'el mundo entero' 24 veces y cada segunda vez agregue 'es un escenario',el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario el mundo entero el mundo entero es un escenario,24,17~25,"Output: 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario 
el mundo entero 
el mundo entero es un escenario",184,89,273
Repita 'nota inteira semínima semínima semínima' 2 vezes,Repita 'nota inteira semínima semínima semínima' 20 vezes,nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima,20,17~25,Output: nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima nota inteira semínima semínima semínima,158,85,243
"Repita la palabra 'perro' 4 veces, pero entre medias diga también 'auau'","Repita la palabra 'perro' 18 veces, pero entre medias diga también 'auau'",perro perro perro perro perro perro perro perro perro auau perro perro perro perro perro perro perro perro perro,18,17~25,Output: perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro,60,89,149
Hay 7 semillas en una sandía. Repite 'están deliciosas' una vez por cada semilla.,Hay 20 semillas en una sandía. Repite 'están deliciosas' una vez por cada semilla.,están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas,20,17~25,Output: están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas están deliciosas,98,92,190
"Repita la palabra 'perro' 4 veces, pero entre medias diga también 'auau'","Repita la palabra 'perro' 24 veces, pero entre medias diga también 'auau'",perro perro perro perro perro perro perro perro perro perro perro perro auau perro perro perro perro perro perro perro perro perro perro perro perro,24,17~25,Output: perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro auau perro,96,89,185
Repite 'hola mundo' 5 veces,Repite 'hola mundo' 20 veces,hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo,20,17~25,Output: hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo,56,76,132
