input_origin,input_extrapolation,output,len,bins,pred
"Скажіть «привіт світ» 5 разів, але не кажіть «світ» кожного разу","Скажіть «привіт світ» 24 разів, але не кажіть «світ» кожного разу",привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт,24,17~25,Output: привіт світ привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт
"Скажіть «привіт світ» 5 разів, але не кажіть «світ» кожного разу","Скажіть «привіт світ» 17 разів, але не кажіть «світ» кожного разу",привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ,17,17~25,Output: привіт світ привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт
Повторіть фразу «адміністративний район» 3 рази і після другого разу скажіть фразу «привіт світ»,Повторіть фразу «адміністративний район» 18 рази і після другого разу скажіть фразу «привіт світ»,адміністративний район адміністративний район привіт світ адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район,18,17~25,Output: адміністративний район адміністративний район привіт світ адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район
Повторіть «весь світ» 7 разів і кожного другого разу додайте «це етап»,Повторіть «весь світ» 22 разів і кожного другого разу додайте «це етап»,весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап,22,17~25,Output: весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь св
Повторіть «вся нота чверть нота чверть» 2 рази,Повторіть «вся нота чверть нота чверть» 17 рази,вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,17,17~25,Output: вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота ч
Повторіть «вся нота чверть нота чверть» 2 рази,Повторіть «вся нота чверть нота чверть» 19 рази,вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,19,17~25,Output: вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота ч
Скажіть «python» 2 рази і «дата» один раз і повторіть все тричі,Скажіть «python» 19 рази і «дата» один раз і повторіть все тричі,python python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python python дата,19,17~25,Output: python python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python
"відображати будні, але тільки вихідні, 2 рази","відображати будні, але тільки вихідні, 23 рази",субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя,23,17~25,Output: вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихідні вихід
Повторіть «Привіт Світ» 5 разів,Повторіть «Привіт Світ» 23 разів,привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ,23,17~25,Output: Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт
Повторіть фразу «адміністративний район» 3 рази і після другого разу скажіть фразу «привіт світ»,Повторіть фразу «адміністративний район» 19 рази і після другого разу скажіть фразу «привіт світ»,адміністративний район адміністративний район привіт світ адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район,19,17~25,Output: адміністративний район адміністративний район привіт світ адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район
