input,out,len,bins,pred
Daniel Camila Sandra Marcia Francisco Julia Mariana Luis Fernanda Maria Aline Bruno Patricia Carlos Fernanda Antonio Julia Lucas Fernanda Julia,l a a a o a a s a a e o a s a o a s a a,20,15~22,Output: l a a a o a a s a a e o a s a o a s a a
Ana Patricia Julia Patricia Aline Marcelo Sandra Carlos Daniel Luciana Antonia Aline Francisco Paulo Julia,a a a a e o a s l a a e o o a,15,15~22,Output: a a a a e o a s l a a e o a a
Vanessa Marcelo Mariana Marcos Carlos Aline Joao Eduardo Luis Rafael Francisca Marcelo Pedro Leticia Jessica Sandra Julia,a o a s s e o o s l a o o a a a a,17,15~22,Output: a o a s s e o o s l a o o a a a a
Aline Luciana Jose Luiz Adriana Lucas Aline Jose Joao Vanessa Mariana Aline Marcelo Ana Bruna Aline Adriana Jose Camila Gabriel,e a e z a s e e o a a e o a a e a e a l,20,15~22,Output: e a e z a s e e o a a e o a a e a e a l
Aline Rafael Julia Aline Francisco Francisca Jose Antonia Paulo Vanessa Marcos Luis Juliana Lucas Joao Juliana,e l a e o a e a o a s s a s o a,16,15~22,Output: e l a e o a e a o a s s a s o a
Francisco Lucas Daniel Ana Camila Ana Joao Vanessa Leticia Paulo Marcelo Antonia Lucas Marcos Camila Amanda,o s l a a a o a a o o a s s a a,16,15~22,Output: o s l a a a o a a o o a s s a a
Francisco Luciana Francisco Adriana Pedro Camila Julia Francisca Carlos Adriana Aline Aline Marcos Pedro Rafael Lucas Bruno Luis Daniel,o a o a o a a a s a e e s o l s o s l,19,15~22,Output: o a o a o a a a s a e e s o l s o s l
Paulo Marcos Lucas Eduardo Marcia Julia Eduardo Adriana Julia Fernanda Marcia Luiz Antonia Antonia Antonio Camila Patricia,o s s o a a o a a a a z a a o a a,17,15~22,Output: o s s o a a o a a a a z a a o a a
Adriana Gabriel Fernanda Fernanda Antonio Pedro Bruna Gabriel Marcos Juliana Rafael Maria Francisca Luciana Rafael Bruna Antonio,a l a a o o a l s a l a a a l a o,17,15~22,Output: a l a a o o a l s a l a a a l a o
Ana Bruno Leticia Marcelo Francisco Pedro Francisca Rafael Patricia Bruno Adriana Francisco Leticia Luis Adriana Vanessa,a o a o o o a l a o a o a s a a,16,15~22,Output: a o a o o o a l a o a o a s a a
Carlos Leticia Marcos Jose Marcos Ana Luiz Francisca Leticia Eduardo Antonio Julia Ana Adriana Pedro Antonio Rafael Antonia Fernanda Carlos,s a s e s a z a a o o a a a o o l a a s,20,15~22,Output: s a s e s a z a a o o a a a o o l a a s
Jose Luis Rafael Amanda Antonio Antonia Adriana Gabriel Aline Leticia Ana Carlos Luciana Leticia Jose Amanda Jose Maria Antonio,e s l a o a a l e a a s a a e a e a o,19,15~22,Output: e s l a o a a l e a a s a a e a e a o
Lucas Adriana Adriana Bruna Julia Luis Patricia Gabriel Marcos Joao Marcos Bruna Marcia Luiz Patricia Vanessa Paulo Camila Sandra Joao Patricia,s a a a a s a l s o s a a z a a o a a o a,21,15~22,Output: s a a a a s a l s o s a a z a a o a a a o a
Ana Vanessa Jose Bruno Patricia Aline Julia Rafael Carlos Antonio Rafael Julia Lucas Maria Camila Luciana Eduardo,a a e o a e a l s o l a s a a a o,17,15~22,Output: a a e o a e a l s o l a s a a a o
Adriana Leticia Pedro Marcos Antonia Bruno Carlos Jessica Luciana Marcelo Mariana Joao Francisca Luciana Joao Aline Marcelo Antonia Bruno Patricia,a a o s a o s a a o a o a a o e o a o a,20,15~22,Output: a a o s a o s a a o a o a a o e o a o a
Marcia Marcelo Antonia Marcos Adriana Ana Antonia Francisca Paulo Antonio Eduardo Sandra Rafael Lucas Luciana Jessica,a o a s a a a a o o o a l s a a,16,15~22,Output: a o a s a a a a o o o a l s a a
Mariana Eduardo Paulo Lucas Maria Julia Eduardo Julia Luiz Paulo Adriana Francisca Marcia Francisca Patricia Lucas Eduardo Marcia Joao,a o o s a a o a z o a a a a a s o a o,19,15~22,Output: a o o s a a o a z o a a a a a s o a o
Amanda Marcia Jessica Julia Eduardo Mariana Luciana Francisco Joao Marcos Lucas Paulo Gabriel Aline Carlos Antonia,a a a a o a a o o s s o l e s a,16,15~22,Output: a a a a o a a o o s s o l e s a
Luiz Marcelo Adriana Camila Amanda Gabriel Jose Lucas Marcos Mariana Bruna Lucas Jose Bruna Antonia Daniel,z o a a a l e s s a a s e a a l,16,15~22,Output: z o a a a l e s s a a s e a a l
Leticia Vanessa Juliana Paulo Paulo Eduardo Amanda Adriana Julia Luiz Paulo Luciana Sandra Marcelo Maria Francisca Juliana Antonio Mariana,a a a o o o a a a z o a a o a a a o a,19,15~22,Output: a a a o o o a a a z o a a o a a a o a a
Marcelo Bruno Lucas Camila Eduardo Marcia Maria Julia Mariana Luiz Luciana Leticia Fernanda Julia Maria Marcia Amanda Jose Gabriel,o o s a o a a a a z a a a a a a a e l,19,15~22,Output: o o s a o a a a a z a a a a a a a e l
Antonio Vanessa Gabriel Amanda Luiz Rafael Sandra Vanessa Francisca Jessica Eduardo Lucas Luis Pedro Daniel,o a l a z l a a a a o s s o l,15,15~22,Output: o a l a z l a a a a o s s o l
Patricia Adriana Jose Luiz Camila Camila Bruna Bruno Pedro Jessica Adriana Ana Patricia Marcia Joao Paulo Leticia Leticia Marcos Fernanda,a a e z a a a o o a a a a a o o a a s a,20,15~22,Output: a a e z a a a o o a a a a a o o a a s a
Leticia Bruna Maria Marcos Lucas Marcos Julia Luis Paulo Luis Carlos Marcelo Lucas Bruno Ana Bruno Rafael Rafael Bruno Paulo,a a a s s s a s o s s o s o a o l l o o,20,15~22,Output: a a a s s s a s o s s o s o a o l l o o
Antonio Jessica Camila Mariana Jose Adriana Leticia Maria Antonio Julia Fernanda Francisco Daniel Bruna Pedro Marcelo Marcia Aline Fernanda Gabriel,o a a a e a a a o a a o l a o o a e a l,20,15~22,Output: o a a a e a a a o a a o l a o o a e a l
Leticia Marcia Luciana Paulo Daniel Paulo Francisca Francisco Lucas Pedro Carlos Daniel Bruno Lucas Pedro Amanda Camila Maria Camila Lucas,a a a o l o a o s o s l o s o a a a a s,20,15~22,Output: a a a o l o a o s o s l o s o a a a a s
Julia Camila Adriana Vanessa Luciana Marcia Sandra Marcelo Maria Mariana Vanessa Pedro Antonia Lucas Lucas Antonio Juliana Antonio Vanessa,a a a a a a a o a a a o a s s o a o a,19,15~22,Output: a a a a a a a o a a a o a s s o a o a
Luciana Bruno Amanda Luciana Camila Jessica Leticia Carlos Adriana Adriana Carlos Antonio Patricia Leticia Jessica Francisca Gabriel,a o a a a a a s a a s o a a a a l,17,15~22,Output: a o a a a a a s a a s o a a a a l
Ana Aline Joao Marcos Pedro Camila Marcia Pedro Jose Patricia Juliana Eduardo Eduardo Gabriel Vanessa Joao Adriana Leticia Joao,a e o s o a a o e a a o o l a o a a o,19,15~22,Output: a e o s o a a o e a a o o l a o a a o
Adriana Luiz Adriana Marcia Marcelo Francisco Vanessa Jose Gabriel Pedro Ana Marcia Luis Julia Lucas Luciana,a z a a o o a e l o a a s a s a,16,15~22,Output: a z a a o o a e l o a a s a s a
Antonia Aline Marcia Sandra Maria Juliana Antonia Paulo Antonio Bruna Juliana Aline Ana Aline Francisco Lucas Marcia Bruno,a e a a a a a o o a a e a e o s a o,18,15~22,Output: a e a a a a a o o a a e a e o s a o
Marcos Francisco Gabriel Bruno Mariana Francisco Ana Camila Carlos Camila Joao Amanda Marcelo Marcelo Aline Amanda Marcia Juliana,s o l o a o a a s a o a o o e a a a,18,15~22,Output: s o l o a o a a s a o a o o e a a a
Bruna Fernanda Luiz Eduardo Lucas Rafael Sandra Bruna Francisca Carlos Patricia Jessica Antonio Marcos Luiz Marcia Fernanda Julia Bruno Julia Marcia,a a z o s l a a a s a a o s z a a a o a a,21,15~22,Output: a a z o s l a a a o a a o s z a a a o a a
Julia Carlos Luis Sandra Daniel Julia Jessica Francisco Gabriel Adriana Antonio Adriana Aline Joao Daniel Eduardo Gabriel Luis Amanda Bruna Lucas,a s s a l a a o l a o a e o l o l s a a s,21,15~22,Output: a s s a l a a o l a o a e o l o l s a a s
Gabriel Francisca Marcelo Carlos Gabriel Adriana Francisco Pedro Bruno Joao Paulo Marcelo Amanda Marcia Pedro Mariana Julia Francisca Fernanda Ana,l a o s l a o o o o o o a a o a a a a a,20,15~22,Output: l a o s l a o o o o o o a a o a a a a a
Luis Lucas Leticia Fernanda Julia Eduardo Rafael Francisco Daniel Jose Julia Camila Jessica Antonia Jose Marcos Bruno Daniel Eduardo Maria,s s a a a o l o l e a a a a e s o l o a,20,15~22,Output: s s a a a o l o l e a a a a e s o l o a
Antonio Adriana Lucas Luciana Rafael Ana Fernanda Ana Jessica Maria Francisca Joao Lucas Carlos Vanessa Vanessa Francisca Sandra Fernanda,o a s a l a a a a a a o s s a a a a a,19,15~22,Output: o a s a l a a a a a a o s s a a a a a a
Camila Fernanda Luiz Luciana Eduardo Vanessa Adriana Leticia Camila Juliana Bruno Patricia Leticia Gabriel Juliana Marcelo Amanda,a a z a o a a a a a o a a l a o a,17,15~22,Output: a a z a o a a a a a o a a l a o a
Adriana Daniel Marcos Daniel Marcos Marcelo Marcia Eduardo Bruna Gabriel Leticia Camila Eduardo Francisco Antonio Luiz Gabriel Rafael,a l s l s o a o a l a a o o o z l l,18,15~22,Output: a l s l s o a o a l a a o o o z l l
Bruna Bruno Mariana Sandra Bruna Pedro Julia Paulo Adriana Gabriel Juliana Camila Antonio Juliana Marcelo Leticia Leticia Daniel Amanda,a o a a a o a o a l a a o a o a a l a,19,15~22,Output: a o a a a o a o a l a a o a o a a l a
Luis Camila Mariana Amanda Eduardo Luis Jose Francisco Francisco Mariana Francisca Marcos Pedro Daniel Francisco Jessica Patricia Jose Antonia Marcia,s a a a o s e o o a a s o l o a a e a a,20,15~22,Output: s a a a o s e o o a a s o l o a e a a
Luiz Eduardo Mariana Luis Maria Marcos Ana Pedro Patricia Joao Carlos Aline Mariana Jose Adriana Amanda Amanda Daniel,z o a s a s a o a o s e a e a a a l,18,15~22,Output: z o a s a s a o a o s e a e a a l
Bruna Mariana Francisco Mariana Mariana Pedro Luis Marcia Jose Gabriel Patricia Antonia Leticia Luciana Jessica Marcia Antonio Fernanda Jessica,a a o a a o s a e l a a a a a a o a a,19,15~22,Output: a a o a a o s a e l a a a a a o a a
Rafael Luiz Jessica Rafael Mariana Jose Bruno Jessica Carlos Patricia Amanda Mariana Bruno Ana Bruna Bruno Amanda,l z a l a e o a s a a a o a a o a,17,15~22,Output: l z a l a e o a s a a a o a a a a
Lucas Luiz Marcelo Francisco Camila Jose Patricia Francisca Antonio Julia Bruna Marcos Jessica Lucas Antonio Camila Julia Luis Jose Bruno Lucas,s z o o a e a a o a a s a s o a a s e o s,21,15~22,Output: s z o o a e a a o a a s a s o a a s e o s
Joao Ana Juliana Joao Mariana Jose Luis Aline Pedro Bruno Maria Camila Adriana Joao Jose Pedro Aline Aline,o a a o a e s e o o a a a o e o e e,18,15~22,Output: o a a o a e s e o o a a a o e o e e
Leticia Patricia Jose Bruna Bruno Marcia Ana Pedro Carlos Rafael Adriana Juliana Camila Amanda Julia Vanessa Rafael,a a e a o a a o s l a a a a a a l,17,15~22,Output: a a e a o a a o s l a a a a a a l
Daniel Bruna Bruno Sandra Francisco Maria Patricia Luiz Rafael Maria Francisca Daniel Pedro Pedro Jose Camila Maria Leticia,l a o a o a a z l a a l o o e a a a,18,15~22,Output: l a o a o a a z l a a l o o e a a a
Marcelo Antonia Luiz Rafael Mariana Marcelo Patricia Rafael Carlos Bruna Patricia Bruna Leticia Marcelo Pedro Francisco Luiz,o a z l a o a l s a a a a o o o z,17,15~22,Output: o a z l a o a l s a a a a o o o z
Francisca Luciana Marcos Patricia Antonia Pedro Francisco Luis Joao Luciana Amanda Jose Fernanda Francisco Carlos Bruna Vanessa Paulo Ana Joao Fernanda,a a s a a o o s o a a e a o s a a o a o a,21,15~22,Output: a a s a a o o s o a a e a o s a a o a o a
Leticia Luciana Antonia Bruno Sandra Fernanda Adriana Luiz Joao Joao Ana Eduardo Carlos Pedro Fernanda Juliana Francisco Maria Luiz Antonio,a a a o a a a z o o a o s o a a o a z o,20,15~22,Output: a a a o a a a z o o a o s o a a o a z o
Julia Julia Carlos Leticia Lucas Antonia Camila Adriana Leticia Adriana Camila Pedro Sandra Aline Pedro Bruno Leticia,a a s a s a a a a a a o a e o o a,17,15~22,Output: a a s a s a a a a a o a e o o a
Amanda Mariana Gabriel Mariana Rafael Sandra Jose Eduardo Amanda Mariana Bruno Marcia Ana Amanda Jessica Francisco Sandra,a a l a l a e o a a o a a a a o a,17,15~22,Output: a a l a l a e o a a o a a a a o a
Rafael Francisco Maria Adriana Daniel Leticia Adriana Adriana Jose Patricia Francisca Aline Luiz Bruno Luis Bruno Marcos Francisca,l o a a l a a a e a a e z o s o s a,18,15~22,Output: l o a a l a a a e a a e z o s o s a
Patricia Marcelo Antonia Jessica Vanessa Francisco Carlos Bruno Pedro Jose Fernanda Carlos Bruna Juliana Vanessa Julia,a o a a a o s o o e a s a a a a,16,15~22,Output: a o a a a o s o o e a s a a a a
Antonio Jessica Marcos Jessica Luis Camila Marcos Joao Sandra Gabriel Maria Francisco Marcos Eduardo Vanessa Gabriel Luis Francisca Daniel Luciana,o a s a s a s o a l a o s o a l s a l a,20,15~22,Output: o a s a s a s o a l a o s o a l a l a
Marcelo Aline Luiz Amanda Marcos Carlos Patricia Marcos Marcelo Luiz Marcos Fernanda Marcelo Joao Juliana Marcelo Antonia Fernanda Bruna,o e z a s s a s o z s a o o a o a a a,19,15~22,Output: o e z a s s a s o z s a o o a o a a a
Daniel Marcia Adriana Julia Jose Marcos Francisca Francisca Antonia Luiz Francisco Antonia Jose Fernanda Lucas Adriana Luis Adriana Vanessa,l a a a e s a a a z o a e a s a s a a,19,15~22,Output: l a a a e s a a a z o a e a s a s a a
