input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
оьлга анна сергейъ александръ сeргей олга кузнецова сергей оьлга иванова кузнецова иванова смирнова оьлга алексей александръ еленаъ кузнецова смирнов андрей,а а ъ ъ й а а й а а а а а а й ъ ъ а в й,20,15~22,Выход: а а ъ ръ й а а в а а а а й а а а й а а,329,305,24
иванова андрей александръ ъирина анастасия анна дмитьрий еленаъ анастасия сeргей сeргей элена петрова ирина дмитьрий алексей элена,а й ъ а я а й ъ я й й а а а й й а,17,15~22,Выход: а й ръ а а й а а й а а й а а,307,289,18
александръ елена алексей александр еленаъ ольга сергейъ еленаъ олга иванов дмитьрий элена сeргей кузнецова сергей еленаъ кузнецов,ъ а й р ъ а ъ ъ а в й а й а й ъ в,17,15~22,Выход: ъ а й ръ а а й а й а в й а й а в,309,288,21
сергейъ попов оьлга алексей ъирина алексей анна сергейъ кузнецов олга александр петров серьгей попов сергейъ ъирина елена ирина анна васильева серьгей,ъ в а й а й а ъ в а р в й в ъ а а а а а й,21,15~22,Выход: ъ в а а й а в а й в а а й а а а а,317,296,21
васильева александр анастасия элена андрей серьгей дмиьтрий сергейъ смирнов ирина еленаъ анна андрей смирнов андрей элена сeргей петров еленаъ,а р я а й й й ъ в а ъ а й в й а й в ъ,19,15~22,Выход: а р а а й й ъ в а а й а а й а а а,312,291,21
анна ирина иванов дмиьтрий александр сергей ольга элена кузнецова сергейъ алексей андрей кузнецов олга смирнов оьлга смирнов еленаъ,а а в й р й а а а ъ й й в а в а в ъ,18,15~22,Выход: а а в и й р й а в а й й а в а а а,309,289,20
иванов елена оьлга смирнов элена сергей иванов еленаъ сергейъ иванова элена петров кузнецова еленаъ ирина иванов сергей,в а а в а й в ъ ъ а а в а ъ а в й,17,15~22,Выход: а а а в а й а а в а а в а й а,297,279,18
александр элена ирина анастасия иванова дмиьтрий александръ смирнов еленаъ александръ сергейъ дмиьтрий дмиьтрий иванов сергей попов олга еленаъ александръ иванова,р а а я а й ъ в ъ ъ ъ й й в й в а ъ ъ а,20,15~22,Выход: р а а а а й ръ й й в а а ръ й й в а а ръ,328,303,25
еленаъ ольга оьлга кузнецова серьгей кузнецов анна элена анна олга анна оьлга ольга петрова александръ смирнова александръ кузнецов петрова смирнов петров,ъ а а а й в а а а а а а а а ъ а ъ в а в в,21,15~22,Выход: а а а й й а а а а ръ в а а в а в а ръ в а,325,300,25
анна серьгей смирнов александръ александръ ольга александръ петров кузнецова сергей смирнова иванова смирнова сергейъ смирнова еленаъ еленаъ,а й в ъ ъ а ъ в а й а а а ъ а ъ ъ,17,15~22,Выход: а й въ ръ а в а а й а а а а а,309,290,19
элена ольга анна дмитьрий александр сергей ъирина попов иванова андрей елена попов дмитьрий смирнова александр,а а а й р й а в а й а в й а р,15,15~22,Выход: а а а й р й а в а а й р а а,293,276,17
иванова попов смирнов алексей сергейъ иванова сергей васильева елена сергейъ элена элена анна васильева ирина,а в в й ъ а й а а ъ а а а а а,15,15~22,Выход: а в в й ъ а й а а а а а,288,272,16
ъирина дмиьтрий алексей иванов олга элена иванов петрова сергей анна анна андрей ирина олга кузнецова александр сeргей андрей елена александр дмитьрий,а й й в а а в а й а а й а а а р й й а р й,21,15~22,Выход: а й й в а а а й а а й й а а а й й а а,318,296,22
ольга елена кузнецов оьлга иванов серьгей елена кузнецова элена сeргей кузнецов олга ирина смирнов смирнова,а а в а в й а а а й в а а в а,15,15~22,Выход: а а в а й а а в а а а а,292,277,15
ирина дмитьрий олга смирнов дмитьрий дмитьрий серьгей смирнова элена сергейъ сергейъ еленаъ анастасия анна васильева васильева элена ирина кузнецова александр петров,а й а в й й й а а ъ ъ ъ я а а а а а а р в,21,15~22,Выход: а й а в а й й а а а а а в а а а а,319,299,20
еленаъ петрова олга смирнова александр иванова иванова ирина кузнецов дмиьтрий ирина ъирина андрей анна андрей васильева ольга еленаъ сергейъ,ъ а а а р а а а в й а а й а й а а ъ ъ,19,15~22,Выход: а а а а в а а й а а й а а а а а,310,291,19
ирина серьгей оьлга васильева андрей дмитьрий смирнов кузнецов кузнецов сергейъ петров смирнова ъирина анастасия кузнецова ольга попов анна андрей кузнецов,а й а а й й в в в ъ в а а я а а в а й в,20,15~22,Выход: а й а а в в й ъ а в а а а а а а,319,299,20
иванова смирнова петрова смирнова кузнецова дмиьтрий кузнецов серьгей еленаъ александръ андрей смирнов васильева серьгей анастасия кузнецова анна александръ ирина анна,а а а а а й в й ъ ъ й в а й я а а ъ а а,20,15~22,Выход: а а а в й й а й а а в а а а а а а,321,301,20
андрей петров кузнецов андрей сeргей анна сергейъ кузнецова олга александръ попов алексей дмитьрий иванов серьгей,й в в й й а ъ а а ъ в й й в й,15,15~22,Выход: й в в й ъ а в а й й в й,297,281,16
дмитьрий васильева андрей оьлга элена кузнецова смирнов петрова смирнова сeргей петров иванов алексей смирнова елена петров смирнова элена кузнецова иванов,й а й а а а в а а й в в й а а в а а а в,20,15~22,Выход: й а й а а в а а й в а а й а а й а а,314,293,21
елена андрей ъирина ъирина элена анна петрова дмиьтрий кузнецов дмитьрий дмитьрий александр смирнов оьлга кузнецов александръ,а й а а а а а й в й й р в а в ъ,16,15~22,Выход: а й а а а а в й й р а а р,304,288,16
анна попов сeргей еленаъ алексей смирнова смирнова смирнов сергей анастасия александръ петров еленаъ сeргей сeргей кузнецова еленаъ андрей елена анастасия дмитьрий,а в й ъ й а а в й я ъ в ъ й й а ъ й а я й,21,15~22,Выход: а в й а а а в а а а а й а а а а а а а,325,303,22
дмиьтрий петрова ъирина сергейъ сeргей дмиьтрий попов элена сергей иванов смирнова васильева алексей александръ елена ъирина,й а а ъ й й в а й в а а й ъ а а,16,15~22,Выход: й а в а й й й в а а а й а,301,285,16
еленаъ ольга алексей дмиьтрий ирина смирнова иванов смирнов еленаъ смирнова петрова кузнецова ольга алексей александръ алексей иванова ольга ирина,ъ а й й а а в в ъ а а а а й ъ й а а а,19,15~22,Выход: а а й й а в а а а в а а й р а а а а,312,291,21
олга ирина еленаъ петров васильева дмитьрий ирина смирнова анна кузнецов иванов кузнецов еленаъ еленаъ анастасия дмитьрий анна сергейъ оьлга,а а ъ в а й а а а в в в ъ ъ я й а ъ а,19,15~22,Выход: а аъ а в а в а а а а а а а а а а,311,291,20
