input_origin,input_extrapolation,output,len,bins
"Repeat cat five times. After each time, also say mouse","Repeat cat 19 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,19,17~25
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 19 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,19,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 21 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,21,17~25
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 21 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,21,17~25
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 24 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,24,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 17 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,17,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 19 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,19,17~25
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 18 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,18,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 24 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,24,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 23 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,23,17~25
Repeat 5 times hello world,Repeat 24 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,24,17~25
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 23 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,23,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 21 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,21,17~25
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 23 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog,23,17~25
Repeat 5 times hello world,Repeat 20 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,20,17~25
Repeat 5 times hello world,Repeat 18 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,18,17~25
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 23 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,23,17~25
Repeat 5 times hello world,Repeat 22 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,22,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 19 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python data,19,17~25
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 18 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,18,17~25
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 17,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,17,17~25
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 18 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,18,17~25
Repeat 5 times hello world,Repeat 17 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,17,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 22 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,22,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 23 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,23,17~25
