input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Stefan Joachim Monika Uwe Bernd Dirk Philipp Angelika Hans Anja Jürgen Jürgen Anna Markus Birgit Jan Sabine Ralph,n m a e d k p a s a n n a s t n e h,18,15~22,Output: n m a e d k p a s a n n a s t n e h,245,225,20
Sabine Kerstin Heike Birgit Petra Brigitte Martina Anja Rainer Ute Bärbel Wolfgang Heike Hans Hans Wolfgang Susanne Jutta,e n e t a e a a r e l g e s s g e a,18,15~22,Output: e n e t a e a a r e l g e s s g e a,245,225,20
Stefanie Monika Wolfgang Jörg Martina Stefan Thomas Uwe Martina Bernd Manfred Bernd Sven Katharina Kerstin Philipp Ralph Angelika Dirk,e a g g a n s e a d d d n a n p h a k,19,15~22,Output: e a g g a n s e a d d d n a n p h a k,247,226,21
Thomas Heike Bettina Uwe Jens Stefan Jens Jörg Klaus Heike Stefan Markus Heike Angelika Sabine Martina Kerstin Ivonne Markus Bernd,s e a e s n s g s e n s e a e a n e s d,20,15~22,Output: s e a e s n s g s e n s e a e a n e s d,247,225,22
Bernd Manfred Hans Brigitte Katharina Jan Sven Anja Birgit Karin Philipp Matthias Katharina Jutta Martina Anja Stefanie Ralph Jörg,d d s e a n n a t n p s a a a a e h g,19,15~22,Output: d d s e a n n a t n p s a a a a e h g,250,229,21
Markus Bärbel Ivonne Philipp Sabine Stefanie Petra Jörg Bettina Ute Ulrike Heike Markus Joachim Dirk Ralph Susanne Sabine Uwe Markus Thorsten,s l e p e e a g a e e e s m k h e e e s n,21,15~22,Output: s l e p e e a g a e e e s m k h e e e s n,253,230,23
Stefan Monika Anja Bärbel Karin Markus Jörg Birgit Sabine Brigitte Martina Thomas Jörg Philipp Birgit Uwe Jan Bettina Anja Heike,n a a l n s g t e e a s g p t e n a a e,20,15~22,Output: n a a l n s g t e e a s g p t e n a e,252,231,21
Jan Bettina Katharina Angelika Katharina Petra Manfred Uwe Jörg Jürgen Sven Stefan Ralph Stefanie Sabine Klaus Susanne Uwe Stefanie Bernd Klaus,n a a a a a d e g n n n h e e s e e e d s,21,15~22,Output: n a a a a a d e g n n n h e e s e e e d s,256,233,23
Ulrike Dirk Philipp Jürgen Sven Rainer Klaus Anna Brigitte Stefanie Hans Anja Jörg Monika Bettina Matthias Monika Dirk Philipp Ralph,e k p n n r s a e e s a g a a s a k p h,20,15~22,Output: e k p n n r s a e e s a g a a s a k p h,249,227,22
Manfred Wolfgang Angelika Martina Stefan Joachim Brigitte Manfred Ivonne Angelika Katharina Stefanie Hans Anja Jan Petra,d g a a n m e d e a a e s a n a,16,15~22,Output: d g a a n m e d e a a e s a n a,240,222,18
Wolfgang Anja Monika Katharina Birgit Klaus Rainer Anna Susanne Katharina Jens Anja Heike Birgit Ulrike,g a a a t s r a e a s a e t e,15,15~22,Output: g a a a t s r a e a s a e t e,237,220,17
Jan Brigitte Manfred Matthias Heike Jutta Jürgen Bärbel Karin Susanne Dirk Bernd Anja Jörg Katharina Jutta Joachim Birgit Philipp Bernd Ralph,n e d s e a n l n e k d a g a a m t p d h,21,15~22,Output: n e d s e a n l n e k d a g a a m t p d h,259,236,23
Anna Philipp Petra Jörg Jens Brigitte Angelika Jörg Karin Bärbel Rainer Joachim Bettina Hans Jörg Matthias Ralph Birgit,a p a g s e a g n l r m a s g s h t,18,15~22,Output: a p a g s e a g n l r m a s g s h t,247,227,20
Wolfgang Heike Hans Jens Martina Anna Matthias Susanne Anja Jens Jutta Petra Monika Stefan Monika Angelika Bernd Heike Jörg Uwe Bettina,g e s s a a s e a s a a a n a a d e g e a,21,15~22,Output: g e s s a a s e a s a a a n a a d e g e a a,251,227,24
Ute Stefan Ute Monika Susanne Thorsten Birgit Bettina Jens Brigitte Heike Jörg Thorsten Hans Ralph Susanne Philipp Katharina Brigitte Ralph,e n e a e n t a s e e g n s h e p a e h,20,15~22,Output: e n e a e n t a s e e g n s h e p a e h,252,230,22
Ute Karin Wolfgang Dirk Stefan Anna Jürgen Hans Bettina Monika Jan Katharina Markus Ivonne Ute Bettina Hans Sven Thorsten,e n g k n a n s a a n a s e e a s n n,19,15~22,Output: e n g k n a n s a a n a s e e a s n n,246,225,21
Stefan Rainer Jan Bärbel Anna Dirk Sven Jürgen Sven Klaus Heike Bernd Bernd Stefanie Klaus Stefan Markus Monika Karin Thomas Anna,n r n l a k n n n s e d d e s n s a n s a,21,15~22,Output: n r n l a k n n n s e d d e s n s a n s a,250,227,23
Ralph Karin Uwe Hans Manfred Thomas Karin Sven Rainer Jürgen Stefan Thorsten Anja Manfred Ulrike Heike,h n e s d s n n r n n n a d e e,16,15~22,Output: h n e s d s n n r n n n a d e e,240,222,18
Ivonne Sabine Philipp Dirk Katharina Uwe Katharina Jörg Klaus Ivonne Kerstin Jörg Stefan Heike Thorsten Katharina,e e p k a e a g s e n g n e n a,16,15~22,Output: e e p k a e a g s e n g n e n a,243,225,18
Jan Bärbel Karin Hans Hans Sabine Sven Anja Jürgen Heike Ulrike Heike Bettina Heike Jörg Bettina Ivonne Jan Kerstin Dirk Karin,n l n s s e n a n e e e a e g a e n n k n,21,15~22,Output: n l n s s e n a n e e e a e g a e n n n k n,257,233,24
Jutta Klaus Dirk Heike Bärbel Hans Jan Wolfgang Stefanie Hans Jutta Jan Joachim Birgit Sven Birgit Hans Karin,a s k e l s n g e s a n m t n t s n,18,15~22,Output: a s k e l s n g e s a n m t n t s n,242,222,20
Monika Kerstin Bärbel Angelika Philipp Ute Joachim Sabine Rainer Ivonne Anja Dirk Stefan Uwe Bernd Hans Susanne,a n l a p e m e r e a k n e d s e,17,15~22,Output: a n l a p e m e r e a k n e d s e,243,224,19
Uwe Jörg Monika Susanne Susanne Jan Birgit Katharina Joachim Birgit Angelika Rainer Philipp Brigitte Stefan Ivonne Karin Markus Jens Jörg,e g a e e n t a m t a r p e n e n s s g,20,15~22,Output: e g a e e n t a m t a r p e n e n s s g,254,232,22
Philipp Bettina Susanne Bernd Brigitte Bärbel Kerstin Monika Jörg Petra Thomas Sabine Dirk Anna Stefan,p a e d e l n a g a s e k a n,15,15~22,Output: p a e d e l n a g a s e k a n,236,219,17
