input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Stefan Joachim Monika Uwe Bernd Dirk Philipp Angelika Hans Anja Jürgen Jürgen Anna Markus Birgit Jan Sabine Ralph,n m a e d k p a s a n n a s t n e h,18,15~22,Output: n m a e d k p a n a n k t,234,219,15
Sabine Kerstin Heike Birgit Petra Brigitte Martina Anja Rainer Ute Bärbel Wolfgang Heike Hans Hans Wolfgang Susanne Jutta,e n e t a e a a r e l g e s s g e a,18,15~22,Output: e n e e t e e r e e e a e,234,219,15
Stefanie Monika Wolfgang Jörg Martina Stefan Thomas Uwe Martina Bernd Manfred Bernd Sven Katharina Kerstin Philipp Ralph Angelika Dirk,e a g g a n s e a d d d n a n p h a k,19,15~22,Output: e a g g n s h s n a d a n d r a a,239,220,19
Thomas Heike Bettina Uwe Jens Stefan Jens Jörg Klaus Heike Stefan Markus Heike Angelika Sabine Martina Kerstin Ivonne Markus Bernd,s e a e s n s g s e n s e a e a n e s d,20,15~22,Output: s e a e e s g e k e n a e n a,236,219,17
Bernd Manfred Hans Brigitte Katharina Jan Sven Anja Birgit Karin Philipp Matthias Katharina Jutta Martina Anja Stefanie Ralph Jörg,d d s e a n n a t n p s a a a a e h g,19,15~22,Output: d d s e e n a t a a a h a a e g,241,223,18
Markus Bärbel Ivonne Philipp Sabine Stefanie Petra Jörg Bettina Ute Ulrike Heike Markus Joachim Dirk Ralph Susanne Sabine Uwe Markus Thorsten,s l e p e e a g a e e e s m k h e e e s n,21,15~22,Output: s l e n e e i e e k e e e h e n,242,224,18
Stefan Monika Anja Bärbel Karin Markus Jörg Birgit Sabine Brigitte Martina Thomas Jörg Philipp Birgit Uwe Jan Bettina Anja Heike,n a a l n s g t e e a s g p t e n a a e,20,15~22,Output: n a a l n g t e g e t e n a e e k e,245,225,20
Jan Bettina Katharina Angelika Katharina Petra Manfred Uwe Jörg Jürgen Sven Stefan Ralph Stefanie Sabine Klaus Susanne Uwe Stefanie Bernd Klaus,n a a a a a d e g n n n h e e s e e e d s,21,15~22,Output: n a a a a a d f g n e n e e e,244,227,17
Ulrike Dirk Philipp Jürgen Sven Rainer Klaus Anna Brigitte Stefanie Hans Anja Jörg Monika Bettina Matthias Monika Dirk Philipp Ralph,e k p n n r s a e e s a g a a s a k p h,20,15~22,Output: e k p n r s s e t e n a e g a k a,240,221,19
Manfred Wolfgang Angelika Martina Stefan Joachim Brigitte Manfred Ivonne Angelika Katharina Stefanie Hans Anja Jan Petra,d g a a n m e d e a a e s a n a,16,15~22,Output: d g a a n m h e e a a a e,231,216,15
Wolfgang Anja Monika Katharina Birgit Klaus Rainer Anna Susanne Katharina Jens Anja Heike Birgit Ulrike,g a a a t s r a e a s a e t e,15,15~22,Output: g a a a t s s e n a e e k e,230,214,16
Jan Brigitte Manfred Matthias Heike Jutta Jürgen Bärbel Karin Susanne Dirk Bernd Anja Jörg Katharina Jutta Joachim Birgit Philipp Bernd Ralph,n e d s e a n l n e k d a g a a m t p d h,21,15~22,Output: n e d s e k e n a n g e n a n d t h,250,230,20
Anna Philipp Petra Jörg Jens Brigitte Angelika Jörg Karin Bärbel Rainer Joachim Bettina Hans Jörg Matthias Ralph Birgit,a p a g s e a g n l r m a s g s h t,18,15~22,Output: a p a g n e k a n l e n a h t i n a h t,243,221,22
Wolfgang Heike Hans Jens Martina Anna Matthias Susanne Anja Jens Jutta Petra Monika Stefan Monika Angelika Bernd Heike Jörg Uwe Bettina,g e s s a a s e a s a a a n a a d e g e a,21,15~22,Output: g e s s a a h n e s s a n k a a n k a,242,221,21
Ute Stefan Ute Monika Susanne Thorsten Birgit Bettina Jens Brigitte Heike Jörg Thorsten Hans Ralph Susanne Philipp Katharina Brigitte Ralph,e n e a e n t a s e e g n s h e p a e h,20,15~22,Output: e n e e e n t t e k e e e h e e,242,224,18
Ute Karin Wolfgang Dirk Stefan Anna Jürgen Hans Bettina Monika Jan Katharina Markus Ivonne Ute Bettina Hans Sven Thorsten,e n g k n a n s a a n a s e e a s n n,19,15~22,Output: e n g k r a n j n a a n k e e n a,238,219,19
Stefan Rainer Jan Bärbel Anna Dirk Sven Jürgen Sven Klaus Heike Bernd Bernd Stefanie Klaus Stefan Markus Monika Karin Thomas Anna,n r n l a k n n n s e d d e s n s a n s a,21,15~22,Output: n r n l e k s n g e k s n a n k a h e k s n,245,221,24
Ralph Karin Uwe Hans Manfred Thomas Karin Sven Rainer Jürgen Stefan Thorsten Anja Manfred Ulrike Heike,h n e s d s n n r n n n a d e e,16,15~22,Output: h n e e s s n r n n e e k e,232,216,16
Ivonne Sabine Philipp Dirk Katharina Uwe Katharina Jörg Klaus Ivonne Kerstin Jörg Stefan Heike Thorsten Katharina,e e p k a e a g s e n g n e n a,16,15~22,Output: e e p k a e g n e n e k,233,219,14
Jan Bärbel Karin Hans Hans Sabine Sven Anja Jürgen Heike Ulrike Heike Bettina Heike Jörg Bettina Ivonne Jan Kerstin Dirk Karin,n l n s s e n a n e e e a e g a e n n k n,21,15~22,Output: n l n s s n a n e e e k a n n,244,227,17
Jutta Klaus Dirk Heike Bärbel Hans Jan Wolfgang Stefanie Hans Jutta Jan Joachim Birgit Sven Birgit Hans Karin,a s k e l s n g e s a n m t n t s n,18,15~22,Output: a s k e e l s n e n a n t g t,233,216,17
Monika Kerstin Bärbel Angelika Philipp Ute Joachim Sabine Rainer Ivonne Anja Dirk Stefan Uwe Bernd Hans Susanne,a n l a p e m e r e a k n e d s e,17,15~22,Output: a n l a a h m e n e i e r n a,235,218,17
Uwe Jörg Monika Susanne Susanne Jan Birgit Katharina Joachim Birgit Angelika Rainer Philipp Brigitte Stefan Ivonne Karin Markus Jens Jörg,e g a e e n t a m t a r p e n e n s s g,20,15~22,Output: e g a e e n t m h e t e r n e e t e,246,226,20
Philipp Bettina Susanne Bernd Brigitte Bärbel Kerstin Monika Jörg Petra Thomas Sabine Dirk Anna Stefan,p a e d e l n a g a s e k a n,15,15~22,Output: p a e d t e n a g e t a n,228,213,15
Katharina Katharina Uwe Philipp Anja Petra Joachim Jürgen Jörg Heike Stefanie Heike Anna Stefanie Rainer,a a e p a a m n g e e e a e r,15,15~22,Output: a a e p a a m n e e e a e r,235,219,16
Bettina Susanne Kerstin Sven Manfred Angelika Ivonne Angelika Stefanie Thomas Klaus Sabine Bettina Anja Anna Jutta Dirk Ute Susanne,a e n n d a e a e s s e a a a a k e e,19,15~22,Output: a e n n d a a e e a e e a a e,237,220,17
Brigitte Ute Sabine Susanne Bettina Ulrike Martina Ute Anja Markus Karin Stefanie Jens Thorsten Kerstin Karin Ralph Bärbel Philipp Jan,e e e e a e a e a s n e s n n n h l p n,20,15~22,Output: e e e e a a a e n e e n h l e,240,223,17
Jürgen Kerstin Anja Klaus Katharina Jan Manfred Joachim Petra Philipp Angelika Ute Stefanie Joachim Katharina Brigitte,n n a s a n d m a p a e e m a e,16,15~22,Output: n n a s s n m m h a e e e,236,221,15
Ulrike Petra Ivonne Jens Joachim Katharina Hans Thorsten Kerstin Heike Ivonne Joachim Rainer Thomas Bärbel Petra Ulrike Matthias Karin Sabine Jürgen,e a e s m a s n n e e m r s l a e s n e n,21,15~22,Output: e a e s m n a e k e e n r s e,245,228,17
Manfred Katharina Thorsten Bettina Wolfgang Heike Anna Jan Jens Ivonne Thomas Bärbel Monika Jan Hans Brigitte Anna Ulrike Martina Jörg,d a n a g e a n s e s l a n s e a e a g,20,15~22,Output: d a n n a e k e n n a s s e n a e e e,243,222,21
Anna Ralph Martina Anna Markus Angelika Kerstin Heike Katharina Klaus Brigitte Brigitte Sabine Wolfgang Petra Jürgen Dirk,a h a a s a n e a s e e e g a n k,17,15~22,Output: a h a a s a a e e e t e,231,217,14
Jan Bettina Martina Ivonne Ivonne Bärbel Monika Jens Heike Hans Bernd Ute Jan Martina Anja Birgit Kerstin Rainer Brigitte,n a a e e l a s e s d e n a a t n r e,19,15~22,Output: n a a e e l e n k e e e t e n a,240,222,18
Sven Jürgen Markus Ute Stefan Monika Ulrike Uwe Stefan Joachim Manfred Ivonne Birgit Klaus Jens Ralph,n n s e n a e e n m d e t s s h,16,15~22,Output: n n s e n a e m d e t,228,215,13
Joachim Sabine Bernd Katharina Stefanie Stefan Jens Bärbel Anna Angelika Jan Sabine Martina Ivonne Sabine Petra Stefan Kerstin,m e d a e n s l a a n e a e e a n n,18,15~22,Output: m e d n a e n s a a a e e n a,236,219,17
Joachim Uwe Jens Heike Ute Sabine Ralph Ulrike Stefan Bernd Jens Uwe Sven Thomas Philipp Sabine Jens Thorsten Ralph Petra,m e s e e e h e n d s e n s p e s n h a,20,15~22,Output: m e s e e e n e n d n a n e n,235,218,17
Matthias Ulrike Ralph Katharina Karin Anna Manfred Katharina Katharina Birgit Rainer Thomas Sven Susanne Jutta,s e h a n a d a a t r s n e a,15,15~22,Output: s e h a n a d a a t n e r,230,215,15
Ralph Monika Sabine Bärbel Thomas Bärbel Manfred Rainer Jens Stefan Anja Heike Kerstin Jörg Jan Joachim Jan Bettina,h a e l s l d r s n a e n g n m n a,18,15~22,Output: h a e l b s h d r n a e k j m j m,239,220,19
Jan Sabine Katharina Ulrike Angelika Stefan Bettina Katharina Kerstin Manfred Bettina Ivonne Brigitte Jens Heike Bärbel Bärbel Stefan Rainer Thorsten Brigitte,n e a e a n a a n d a e e s e l l n r n e,21,15~22,Output: n e a e a k a n a n e e e e e,247,230,17
Katharina Thomas Klaus Dirk Bernd Stefanie Markus Angelika Klaus Uwe Bettina Stefanie Ralph Monika Markus Jörg Philipp Klaus Markus Anna,a s s k d e s a s e a e h a s g p s s a,20,15~22,Output: a s s k d e e a k s a e e a k a,235,217,18
Joachim Angelika Anja Ulrike Jörg Markus Ulrike Petra Jürgen Dirk Ulrike Bettina Jan Ulrike Markus,m a a e g s e a n k e a n e s,15,15~22,Output: m a a e g k e e n a n k a,230,215,15
Sabine Markus Jan Jens Wolfgang Klaus Rainer Philipp Jutta Jutta Karin Jürgen Klaus Jens Jutta Hans Karin Wolfgang Birgit,e s n s g s r p a a n n s s a s n g t,19,15~22,Output: e s n s g l r p a n n a n k n g t,235,216,19
Angelika Rainer Ute Birgit Hans Hans Bernd Jörg Anna Susanne Angelika Petra Martina Stefanie Birgit,a r e t s s d g a e a a a e t,15,15~22,Output: a r e t s h s d a a e e,227,213,14
Joachim Jutta Matthias Stefan Stefan Rainer Klaus Bernd Thomas Bärbel Monika Manfred Karin Stefan Karin Jens Sabine,m a s n n r s d s l a d n n n s e,17,15~22,Output: m a s n r s s n k l b l a n k s e,234,215,19
Sabine Ulrike Ute Brigitte Ivonne Bettina Jörg Stefan Manfred Jürgen Anna Jörg Stefan Karin Angelika Ivonne Stefanie Sven Jan Thorsten,e e e e e a g n d n a g n n a e e n n n,20,15~22,Output: e e e e e n n d a n n a a e e e n,246,227,19
Sabine Martina Birgit Ulrike Angelika Jutta Ralph Ulrike Anna Thorsten Susanne Jens Ivonne Heike Brigitte Angelika Ulrike Jürgen Birgit Rainer,e a t e a a h e a n e s e e e a e n t r,20,15~22,Output: e a t e k a h e a e n e e e e n,244,226,18
Brigitte Stefan Katharina Susanne Anna Joachim Wolfgang Jan Birgit Anja Susanne Joachim Bettina Heike Ralph,e n a e a m g n t a e m a e h,15,15~22,Output: e n a e n m h a n a m n a e h e,233,215,18
Karin Bärbel Bärbel Philipp Stefanie Manfred Wolfgang Joachim Rainer Manfred Katharina Stefanie Ulrike Joachim Ulrike,n l l p e d g m r d a e e m e,15,15~22,Output: n l l p e d g m h n a e e e,235,219,16
Jörg Manfred Anna Philipp Angelika Heike Wolfgang Jutta Karin Monika Martina Susanne Brigitte Ute Susanne Jörg Markus,g d a p a e g a n a a e e e e g s,17,15~22,Output: g d a h k a e g a a n a e e,235,219,16
Monika Jan Matthias Sabine Jutta Jan Markus Uwe Bettina Monika Ralph Joachim Bettina Anna Anja Uwe Bettina Birgit,a n s e a n s e a a h m a a a e a t,18,15~22,Output: a n s e a n k a n a a a t i n a,235,217,18
Heike Jürgen Rainer Birgit Ralph Sven Rainer Martina Jürgen Ulrike Jürgen Katharina Monika Jens Bernd,e n r t h n r a n e n a a s d,15,15~22,Output: e n r t h g n r a e n e n a k a,239,221,18
