Unnamed: 0,input,target,bins,input_ru,pred
0,"I have a cauliflower, a potato, a cabbage, a garlic, a yam, a lettuce head, a carrot, two stalks of celery, four heads of broccoli, and an onion.",14,13~18,"Tengo una coliflor, una papa, un repollo, un ajo, un ñame, una lechuga, una zanahoria, dos tallos de apio, cuatro cabezas de brócoli y una cebolla.",Output: 11
1,"I have a cabbage, a clarinet, a carrot, an onion, a lettuce head, a garlic, a yam, four cauliflowers, a potato, and a head of broccoli.",13,13~18,"Tengo un repollo, un clarinete, una zanahoria, una cebolla, una lechuga, un ajo, un ñame, cuatro coliflores, una papa y una cabeza de brócoli.",Output: 11
2,"I have a lamp, two cars, a table, a chair, a fridge, two couches, an oven, a toaster, a microwave, and four stoves.",15,13~18,"Tengo una lámpara, dos autos, una mesa, una silla, una heladera, dos sofás, un horno, una tostadora, un microondas y cuatro estufas.",Output: 12
3,"I have two plums, a raspberry, a blackberry, four peaches, an orange, four strawberries, a grape, two nectarines, and an apple.",17,13~18,"Tengo dos ciruelas, una frambuesa, una mora, cuatro melocotones, una naranja, cuatro fresas, una uva, dos nectarinas y una manzana.",Output: 15
4,"I have three lettuce heads, four stalks of celery, a yam, a garlic, a flute, two carrots, and a cabbage.",13,13~18,"Tengo tres lechugas, cuatro tallos de apio, un ñame, un ajo, una flauta, dos zanahorias y un repollo.",Output: 11
5,"I have a toaster, a lamp, a fridge, two microwaves, a car, a table, five couches, a chair, and an oven.",14,13~18,"Tengo una tostadora, una lámpara, una nevera, dos microondas, un auto, una mesa, cinco sofás, una silla y un horno.",Output: 12
6,"I have a lamp, two toasters, four beds, an oven, a stove, a table, a chair, a fridge, and two cars.",14,13~18,"Tengo una lámpara, dos tostadoras, cuatro camas, un horno, una estufa, una mesa, una silla, una heladera y dos autos.",Output: 11
7,"I have a plum, two strawberries, two oranges, a blackberry, two grapes, three nectarines, a banana, an apple, and a peach.",14,13~18,"Tengo una ciruela, dos fresas, dos naranjas, una mora, dos uvas, tres nectarinas, un plátano, una manzana y un melocotón.",Output: 12
8,"I have a trombone, three clarinets, three rabbits, a trumpet, a flute, a piano, an accordion, a violin, and a drum.",13,13~18,"Tengo un trombón, tres clarinetes, tres conejos, una trompeta, una flauta, un piano, un acordeón, un violín y un tambor.",Output: 10
9,"I have four apples, a banana, a nectarine, four peaches, an orange, a raspberry, a drum, and four flutes.",17,13~18,"Tengo cuatro manzanas, un plátano, una nectarina, cuatro melocotones, una naranja, una frambuesa, un tambor y cuatro flautas.",Output: 13
