input,out,len,bins,pred
оьлга анна сергейъ александръ сeргей олга кузнецова сергей оьлга иванова кузнецова иванова смирнова оьлга алексей александръ еленаъ кузнецова смирнов андрей,а а ъ ъ й а а й а а а а а а й ъ ъ а в й,20,15~22,Выход: а а ъ р ъ а а й а а а а а а й й а а в й
иванова андрей александръ ъирина анастасия анна дмитьрий еленаъ анастасия сeргей сeргей элена петрова ирина дмитьрий алексей элена,а й ъ а я а й ъ я й й а а а й й а,17,15~22,Выход: а й ъ а я а й а я й й а а а й й а
александръ елена алексей александр еленаъ ольга сергейъ еленаъ олга иванов дмитьрий элена сeргей кузнецова сергей еленаъ кузнецов,ъ а й р ъ а ъ ъ а в й а й а й ъ в,17,15~22,Выход: ъ а й р а а й а а в й а й а й в
сергейъ попов оьлга алексей ъирина алексей анна сергейъ кузнецов олга александр петров серьгей попов сергейъ ъирина елена ирина анна васильева серьгей,ъ в а й а й а ъ в а р в й в ъ а а а а а й,21,15~22,Выход: ъ в а й а й а ъ в а р в й в ъ а а а а а й
васильева александр анастасия элена андрей серьгей дмиьтрий сергейъ смирнов ирина еленаъ анна андрей смирнов андрей элена сeргей петров еленаъ,а р я а й й й ъ в а ъ а й в й а й в ъ,19,15~22,Выход: а р я а й й й ъ в а а а й в й а й в а ъ
анна ирина иванов дмиьтрий александр сергей ольга элена кузнецова сергейъ алексей андрей кузнецов олга смирнов оьлга смирнов еленаъ,а а в й р й а а а ъ й й в а в а в ъ,18,15~22,Выход: а а в й р й а а а ъ й й в а в а в а
иванов елена оьлга смирнов элена сергей иванов еленаъ сергейъ иванова элена петров кузнецова еленаъ ирина иванов сергей,в а а в а й в ъ ъ а а в а ъ а в й,17,15~22,Выход: в а а в а й в а ъ ъ а а в а ъ а в й
александр элена ирина анастасия иванова дмиьтрий александръ смирнов еленаъ александръ сергейъ дмиьтрий дмиьтрий иванов сергей попов олга еленаъ александръ иванова,р а а я а й ъ в ъ ъ ъ й й в й в а ъ ъ а,20,15~22,Выход: р а а я а й р в а р й й й в й в а а р а
еленаъ ольга оьлга кузнецова серьгей кузнецов анна элена анна олга анна оьлга ольга петрова александръ смирнова александръ кузнецов петрова смирнов петров,ъ а а а й в а а а а а а а а ъ а ъ в а в в,21,15~22,Выход: ъ а а а й в а а а а а а а а а р ъ а р в а в в
анна серьгей смирнов александръ александръ ольга александръ петров кузнецова сергей смирнова иванова смирнова сергейъ смирнова еленаъ еленаъ,а й в ъ ъ а ъ в а й а а а ъ а ъ ъ,17,15~22,Выход: а й в р р а р в а й а а а ъ а а ъ ъ
элена ольга анна дмитьрий александр сергей ъирина попов иванова андрей елена попов дмитьрий смирнова александр,а а а й р й а в а й а в й а р,15,15~22,Выход: а а а й р й а в а й а в й а р
иванова попов смирнов алексей сергейъ иванова сергей васильева елена сергейъ элена элена анна васильева ирина,а в в й ъ а й а а ъ а а а а а,15,15~22,Выход: а в в й ъ а й а а ъ а а а а а
ъирина дмиьтрий алексей иванов олга элена иванов петрова сергей анна анна андрей ирина олга кузнецова александр сeргей андрей елена александр дмитьрий,а й й в а а в а й а а й а а а р й й а р й,21,15~22,Выход: а й й в а а в а й а а й а а а р й й а р й
ольга елена кузнецов оьлга иванов серьгей елена кузнецова элена сeргей кузнецов олга ирина смирнов смирнова,а а в а в й а а а й в а а в а,15,15~22,Выход: а а в а в й а а а й в а а в а
ирина дмитьрий олга смирнов дмитьрий дмитьрий серьгей смирнова элена сергейъ сергейъ еленаъ анастасия анна васильева васильева элена ирина кузнецова александр петров,а й а в й й й а а ъ ъ ъ я а а а а а а р в,21,15~22,Выход: а й а в й й й а а ъ ъ а я а а а а а а р в
еленаъ петрова олга смирнова александр иванова иванова ирина кузнецов дмиьтрий ирина ъирина андрей анна андрей васильева ольга еленаъ сергейъ,ъ а а а р а а а в й а а й а й а а ъ ъ,19,15~22,Выход: ъ а а а р а а а в й а ъ й а й а а ъ й
ирина серьгей оьлга васильева андрей дмитьрий смирнов кузнецов кузнецов сергейъ петров смирнова ъирина анастасия кузнецова ольга попов анна андрей кузнецов,а й а а й й в в в ъ в а а я а а в а й в,20,15~22,Выход: а й а а й й в в в ъ в а а я а а в а й в
