input_origin,input_extrapolation,output,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Sagen Sie 2 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,Sagen Sie 22 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,python python python python python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python python python python python daten,22,17~25,"Output: 
Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten",72,95,167
Wiederholen Sie „Katze“ 5 mal. Sagen Sie nach jedem Mal auch „Maus“,Wiederholen Sie „Katze“ 19 mal. Sagen Sie nach jedem Mal auch „Maus“,katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus katze maus,19,17~25,Output: Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus Katze Maus,70,96,166
"Sagen Sie 3 mal „hungrig“, dann zweimal „Hippo“ und dann viermal „Füttere mich“.","Sagen Sie 23 mal „hungrig“, dann zweimal „Hippo“ und dann viermal „Füttere mich“.",hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hippo hippo füttere mich füttere mich füttere mich füttere mich,23,17~25,Output: hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hungrig hun,741,101,842
"Wochentage anzeigen, aber nur Wochenenden, 2 Mal","Wochentage anzeigen, aber nur Wochenenden, 22 Mal",samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag,22,17~25,"Output: 
Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag",51,86,137
"Sagen Sie 5 mal „Hallo Welt“, aber sagen Sie nicht jedes Mal „Welt“.","Sagen Sie 24 mal „Hallo Welt“, aber sagen Sie nicht jedes Mal „Welt“.",hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo hallo welt hallo,24,17~25,"Eine interessante Anforderung!

Hier ist die Ausgabe:

Hallo Universum
Hallo Erde
Hallo Menschen
Hallo Leben
Hallo Sonne
Hallo Mond
Hallo Sterne
Hallo Raum
Hallo Zeit
Hallo Raumfahrt
Hallo Computer
Hallo Internet
Hallo Netzwerk
Hallo Server
Hallo Daten
Hallo Informationen
Hallo Wissen
Hallo Lernen
Hallo Entdecken
Hallo Abenteuer
Hallo Fantasie
Hallo Kreativität
Hallo Phantasie
Hallo Zukunft
Hallo Welt",108,93,201
Wiederhole „Hallo Welt“ 5 Mal.,Wiederhole „Hallo Welt“ 22 Mal.,hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt hallo welt,22,17~25,"Output: 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt 
Hallo Welt",71,83,154
Sagen Sie 2 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,Sagen Sie 18 mal „Python“ und einmal „Daten“ und wiederholen Sie alles dreimal,python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python daten python python python python python python python python python python python python python python python python python python daten,18,17~25,"Output: 
Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten
Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Python Daten",60,95,155
"Wiederholen Sie das Wort „Hund“ 4 Mal, sagen Sie aber auch zwischendurch „Wauwau“.","Wiederholen Sie das Wort „Hund“ 21 Mal, sagen Sie aber auch zwischendurch „Wauwau“.",hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund hund,21,17~25,Output: Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund Hund Hund Wauwau Hund,37,101,138
Eine Wassermelone enthält 7 Samen. Wiederholen Sie „Sie sind köstlich“ einmal für jeden Samen.,Eine Wassermelone enthält 19 Samen. Wiederholen Sie „Sie sind köstlich“ einmal für jeden Samen.,sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich sie sind köstlich,19,17~25,Output: Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich Sie sind köstlich,102,102,204
"Wochentage anzeigen, aber nur Wochenenden, 2 Mal","Wochentage anzeigen, aber nur Wochenenden, 18 Mal",samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag samstag sonntag,18,17~25,"Output: 
Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag Samstag Samstag Sonntag",45,86,131
