Unnamed: 0,input,target,bins,input_ru,pred
0,"I have a cauliflower, a potato, a cabbage, a garlic, a yam, a lettuce head, a carrot, two stalks of celery, four heads of broccoli, and an onion.",14,13~18,"У мене є цвітна капуста, картопля, капуста, часник, батат, головка салату, морква, два стебла селери, чотири головки брокколі та цибуля.",Output: 14
1,"I have a cabbage, a clarinet, a carrot, an onion, a lettuce head, a garlic, a yam, four cauliflowers, a potato, and a head of broccoli.",13,13~18,"У мене є капуста, кларнет, морква, цибуля, качан салату, часник, ямс, чотири цвітні капусти, картопля та качан брокколі.",Output: 11
2,"I have a lamp, two cars, a table, a chair, a fridge, two couches, an oven, a toaster, a microwave, and four stoves.",15,13~18,"У мене є лампа, дві машини, стіл, стілець, холодильник, дві кушетки, духовка, тостер, мікрохвильова піч і чотири плити.",Output: 15
3,"I have two plums, a raspberry, a blackberry, four peaches, an orange, four strawberries, a grape, two nectarines, and an apple.",17,13~18,"У мене є дві сливи, малина, ожина, чотири персики, апельсин, чотири полуниці, виноград, два нектарини і яблуко.",Output: 16
4,"I have three lettuce heads, four stalks of celery, a yam, a garlic, a flute, two carrots, and a cabbage.",13,13~18,"У мене є три головки салату, чотири стебла селери, ямс, часник, флейта, дві моркви та капуста.",Output: 13
5,"I have a toaster, a lamp, a fridge, two microwaves, a car, a table, five couches, a chair, and an oven.",14,13~18,"У мене є тостер, лампа, холодильник, дві мікрохвильовки, машина, стіл, п'ять диванів, стілець і духовка.",Output: 13
6,"I have a lamp, two toasters, four beds, an oven, a stove, a table, a chair, a fridge, and two cars.",14,13~18,"У мене є лампа, два тостери, чотири ліжка, духовка, плита, стіл, стілець, холодильник і дві машини.",Output: 13
7,"I have a plum, two strawberries, two oranges, a blackberry, two grapes, three nectarines, a banana, an apple, and a peach.",14,13~18,"У мене є слива, дві полуниці, два апельсини, ожина, два винограду, три нектарини, банан, яблуко та персик.",Output: 15
8,"I have a trombone, three clarinets, three rabbits, a trumpet, a flute, a piano, an accordion, a violin, and a drum.",13,13~18,"У мене є тромбон, три кларнети, три зайці, труба, флейта, піаніно, акордеон, скрипка і барабан.",Output: 13
9,"I have four apples, a banana, a nectarine, four peaches, an orange, a raspberry, a drum, and four flutes.",17,13~18,"У мене є чотири яблука, банан, нектарин, чотири персики, апельсин, малина, барабан і чотири флейти.",Output: 14
10,"I have three pianos, a flute, a trumpet, a trombone, a violin, a clarinet, four drums, and two accordions.",14,13~18,"У мене є три фортепіано, флейта, труба, тромбон, скрипка, кларнет, чотири барабани і два акордеони.",Output: 13
11,"I have four dogs, a rabbit, two bears, a fish, a cat, a frog, a duck, a donkey, a cow, and a goat.",14,13~18,"У мене є чотири собаки, кролик, два ведмеді, риба, кішка, жаба, качка, осел, корова і коза.",Output: 13
12,"I have a garlic, a cabbage, a cauliflower, a donkey, four potatoes, a stalk of celery, two mice, a snail, and three onions.",15,13~18,"У мене є часник, капуста, цвітна капуста, ослик, чотири картоплини, стебло селери, дві миші, равлик і три цибулини.",Output: 14
13,"I have two stoves, a couch, a toaster, a chair, a fridge, two microwaves, an oven, two lamps, a table, and a bed.",13,13~18,"У мене є дві плити, диван, тостер, стілець, холодильник, дві мікрохвильовки, духовка, дві лампи, стіл і ліжко.",Output: 12
14,"I have a dog, a cow, a snake, a mouse, a rabbit, three cats, a bear, four goats, and two chickens.",15,13~18,"У мене є собака, корова, змія, мишка, кролик, три коти, ведмідь, чотири кози і дві курки.",Output: 14
15,"I have a nectarine, a banana, a blackberry, two raspberries, an apple, five grapes, a peach, and a strawberry.",13,13~18,"У мене є нектарин, банан, ожина, дві малини, яблуко, п’ять виноградин, персик і полуниця.",Output: 13
16,"I have a frog, a dog, four goats, two fish, a duck, a cow, a chicken, a cat, and a mouse.",13,13~18,"У мене є жаба, собака, чотири кози, дві рибки, качка, корова, курка, кішка і мишка.",Output: 13
17,"I have a nectarine, five blackberries, a plum, a peach, a strawberry, a raspberry, an apple, four bananas, an orange, and a grape.",17,13~18,"У мене є нектарин, п’ять ягід ожини, слива, персик, полуниця, малина, яблуко, чотири банани, апельсин і виноград.",Output: 16
18,"I have a raspberry, a blackberry, a plum, two peaches, two strawberries, an apple, a grape, five bananas, an orange, and a nectarine.",16,13~18,"У мене є малина, ожина, слива, два персики, дві полуниці, яблуко, виноград, п’ять бананів, апельсин і нектарин.",Output: 15
19,"I have four cars, a lamp, a table, three fridges, a chair, two stoves, a couch, a microwave, and a toaster.",15,13~18,"У мене чотири машини, лампа, стіл, три холодильники, стілець, дві плити, диван, мікрохвильова піч і тостер.",Output: 14
