input_origin,input_extrapolation,output,len,bins,pred
"Repeat cat five times. After each time, also say mouse","Repeat cat 19 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,19,17~25,Output: cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 19 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,19,17~25,Output: hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me
"Repeat cat five times. After each time, also say mouse","Repeat cat 21 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,21,17~25,Output: cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 21 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,21,17~25,Output: hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 24 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,24,17~25,Output: carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 17 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,17,17~25,Output: all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 19 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,19,17~25,Output: all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 18 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,18,17~25,Output: they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious
"Repeat cat five times. After each time, also say mouse","Repeat cat 24 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,24,17~25,Output: cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse
"Repeat cat five times. After each time, also say mouse","Repeat cat 23 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,23,17~25,Output: cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse
