input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Сінан Лео Христина Еліна Лукас Лукас Соломія Олівія Владислав Сарра Гордій Заріна Еліна Вероніка Анна Еней Ельдар,н о а а с с я я в а й а а а а й р,17,15~22,Output: н о а а С С а В а а а а Е р,286,270,16
Анісія Артем Барбара Ельдар Денис Мія Єфрем Стефанія Георгій Дмитро Олександра Рахіль Суламіта Естер Лука Веремій Суламіта Олександр Ярослав,я м а р с я м я й о а ь а р а й а р в,19,15~22,Output: я й а р Д я Є М С Г Д О Р С Е Л В С О Я,302,280,22
Веремій Аделіна Стефанія Веремій Тиміш Ярослав Марк Ян Марк Мартін Олександр Олександра Нестор Тім Ярослав,й а я й ш в к н к н р а р м в,15,15~22,Output: й а а й ш Ян к р р д р а р Н р Т м Яв,283,261,22
Марк Олівія Артем Олександра Анісія Есмі Алан Лео Дарина Агата Амір Еліс Ангеліна Мілана Вікторія Анісія Анастасія Сарра,к я м а я і н о а а р с а а я я я а,18,15~22,Output: к а а а а а а о о а а а а а а а а а,294,274,20
Назар Рахіль Олександра Захар Аделіна Олександра Тім Тімур Суламіта Міран Меланія Анна Арсен Еліс Ангеліна Наомі Емілія Христина Еліна Давид,р ь а р а а м р а н я а н с а і я а а д,20,15~22,Output: р л а а р а м р а а а а а а а а а д,294,274,20
Сінан Дмитро Давид Тім Дмитро Алан Самуїл Сінан Ангеліна Єфрем Арсен Гордій Єремія Алан Дарина,н о д м о н л н а м н й я н а,15,15~22,Output: н о д Т о о н а Є м Арсій Д Алан а,279,260,19
Тальха Суламіта Роман Алім Олівія Лео Максим Олівія Стефанія Уляна Ілай Макар Аскольд Тиміш Соломія Матвій Максим,а а н м я о м я я а й р д ш я й м,17,15~22,Output: а а н а а О а а я й А д С У я Й М,286,267,19
Сарра Даниїл Меланія Веремій Ян Олександра Заріна Магдалина Лея Орися Ярема Яків Матвій Ярема Яна Аскольд Аліна,а л я й н а а а я я а в й а а д а,17,15~22,Output: а л я а я а а я а я а а а д а,286,269,17
Ангеліна Алім Христина Емма Рувим Леонард Наомі Тальха Єва Гордій Сарра Гордій Анастасія Вікторія Соломія Самуїл Діана Рахіль Квітослава,а м а а м д і а а й а й я я я л а ь а,19,15~22,Output: а а а а а д а а а а а а а а а а,297,279,18
Гордій Суламіта Розалія Тімур Анастасія Аделіна Вікторія Естер Леві Тальха Даниїл Тиміш Денис Злата Ян Аріна Лєтті Данило Тиміш,й а я р я а я р і а л ш с а н а і о ш,19,15~22,Output: й а я а а а а й а а а а а а а а,295,277,18
Ярина Яна Єва Міран Сінан Магдалина Матвій Олександра Яків Анелія Анастасія Агата Лука Аделіна Назар Вікторія,а а а н н а й а в я я а а а р я,16,15~22,Output: а а а Н а а а я а а а а а а а,280,263,17
Тімур Мартін Магдалина Тадей Лео Суламіта Ярослав Есфір Макар Ельдар Даяна Емілія Єфрем Орися Дмитро Тіна Яків Орися Ілай Анна Ангеліна,р н а й о а в р р р а я м я о а в я й а а,21,15~22,Output: р н а й о С у Я Е р Е Д Я Я О І А А,303,283,20
Єремія Андрій Тімур Христина Богдан Самуїл Андрій Ангеліна Вероніка Магдалина Максим Олівія Суламіта Яків Еліс Заріна Анісія Наомі,я й р а н л й а а а м я а в с а я і,18,15~22,Output: я й р а а а й а а а а а а а а а,292,274,18
Давид Даяна Мартін Ілай Анна Агата Артем Дмитро Діана Веремій Єлизавета Барбара Аріна Таїсія Алім Захар,д а н й а а м о а й а а а я м р,16,15~22,Output: д а н і а а а о о а а а а а а,284,267,17
Даниїл Лука Тиміш Аделіна Гордій Аріна Левій Єлизавета Дмитро Амір Тимофій Заріна Емма Даяна Есмі Яна Лука Суламіта Анелія Матвій Емілія,л а ш а й а й а о р й а а а і а а а я й я,21,15~22,Output: л а х а а й а о а р а а а а а а а а а,304,283,21
Мартін Мія Квітослава Дарина Аліна Аскольд Христина Ярослав Леві Рамазан Єремія Есмі Ілай Лука Авенір Данило Орися Андрій Еріка Аліна Давид,н я а а а д а в і н я і й а р о я й а а д,21,15~22,Output: н а а а а а а в Л І Р Н Е І Л А Д О А Е А Д,307,283,24
Олександра Христина Владислав Олександра Еней Орися Леонард Олександр Назар Олександр Тім Макар Георгій Емма Олександр Веремій Веремій Тиміш,а а в а й я д р р р м р й а р й й ш,18,15~22,Output: а а в а а й а р д р Олександр р Емма р Олександр й й Тиміш,300,271,29
Даниїл Наомі Агата Олександра Еліна Христина Єва Еріка Стефанія Уляна Есмі Леонард Самуїл Анелія Аріна Матвій Магдалина Нестор Дмитро Анна,л і а а а а а а я а і д л я а й а р о а,20,15~22,Output: л і а а а а а а а а а а а а а а а а,299,279,20
Есмі Павло Алан Захар Алан Назар Аделіна Рувим Яків Лео Розалія Авенір Мілана Соломія Емілія,і о н р н р а м в о я р а я я,15,15~22,Output: і о н р а а а я а я а а а,274,259,15
Міран Дарина Софія Аріна Олександр Ангеліна Дмитро Злата Левій Заріна Тадей Естер Аліна Дмитро Анастасія Тім Мія,н а я а р а о а й а й р а о я м я,17,15~22,Output: н а а а р о р й а а а а а а,283,267,16
Наомі Орися Самуїл Ярина Квітослава Яків Марк Павло Лея Макар Авенір Богдан Яків Даниїл Олександра,і я л а а в к о я р р н в л а,15,15~22,Output: і я л а а в о о р р а а л,273,258,15
Еліс Міран Сарра Стефанія Нестор Лео Назар Георгій Владислав Стефанія Агата Есфір Павло Денис Владислав Рахіль,с н а я р о р й в я а р о с в ь,16,15~22,Output: С Н А Я О Й В В А Е О В В Л Р,286,269,17
Сінан Аліна Міран Леонард Вероніка Діана Есмі Леонард Лукас Злата Леві Леонард Есфір Анісія Анна Ярослав,н а н д а а і д с а і д р я а в,16,15~22,Output: н а н д а а с д р д а а а я в,283,266,17
Мілана Еней Даниїл Тиміш Яків Павло Сарра Тіна Северин Ян Владислав Рувим Лео Алім Ельдар Ілай Тальха Рахіль Ярослав Гордій Олівія,а й л ш в о а а н н в м о м р й а ь в й я,21,15~22,Output: а й л Я о С а Я Н В Р Е Е Т Р Я Л О А Р І Я,302,278,24
Тимофій Естер Тадей Рахіль Вікторія Соломія Артем Авенір Ілай Еріка Еліс Андрій Есфір Самуїл Артем Тім Лєтті Естер Орися Анісія,й р й ь я я м р й а с й р л м м і р я я,20,15~22,Output: й а й л а я а р Е р Е с й л і й а ї а,302,281,21
Ярослав Даяна Дмитро Мартін Лея Анна Еней Софія Самуїл Тиміш Тім Тиміш Яків Денис Аделіна Єва,в а о н я а й я л ш м ш в с а а,16,15~22,Output: в а о о а я а ї л а а а а а,276,260,16
Веремій Ярослав Даяна Лукас Естер Алан Алан Соломія Рамазан Лукас Самуїл Анна Захар Дмитро Анна Данило,й в а с р н н я н с л а р о а о,16,15~22,Output: й в а С Е Н А Р Л С А А О,278,263,15
Лея Аскольд Есфір Авенір Наомі Анісія Лея Тиміш Назар Розалія Єремія Денис Левій Тиміш Христина Соломія,я д р р і я я ш р я я с й ш а я,16,15~22,Output: а д р Анір о і а я я і й а а а,283,265,18
Ангеліна Денис Леві Леві Емма Рувим Олександра Амір Георгій Даяна Сінан Квітослава Дмитро Рахіль Таїсія,а с і і а м а р й а н а о ь я,15,15~22,Output: а с і і а а а а а а а а,277,263,14
Анісія Єфрем Єфрем Давид Дмитро Лео Естер Анна Лео Тимофій Леві Назар Павло Захар Максим,я м м д о о р а о й і р о р м,15,15~22,Output: я єм єд в о е а о й і й о,271,255,16
Софія Аделіна Богдан Аскольд Аскольд Назар Олександр Матвій Розалія Артем Суламіта Есфір Еріка Заріна Нестор Олівія Ярина Єфрем Ілай,я а н д д р р й я м а р а а р я а м й,19,15~22,"Output: а а н д д д р О Я А Я Е Е З А О Я ЄЙЙ<|start_header_id|>assistant<|end_header_id|>

Output: а а н д д д р О Я А Я Е Е З А О Я Є",325,280,45
Есфір Роман Таїсія Даниїл Емілія Ярина Алан Уляна Давид Давид Амір Леві Естер Георгій Олександра Діана Анна,р н я л я а н а д д р і р й а а а,17,15~22,Output: р н а ї а я а Д Д р і й а а а,285,268,17
Асаф Авенір Рамазан Єва Мілана Матвій Стефанія Мартін Тальха Стефанія Мартін Назар Ілай Есмі Есмі Северин,ф р н а а й я н а я н р й і і н,16,15~22,Output: ф р н а а й н а н а х а й н,284,268,16
Софія Ілай Рамазан Квітослава Авенір Ярослав Таїсія Анелія Христина Мілана Захар Олександр Рахіль Тимофій Лєтті Дмитро Мартін Аріна,я й н а р в я я а а р р ь й і о н а,18,15~22,Output: а й н а а я а а а а р р а а а а а,296,277,19
Левій Вікторія Софія Тиміш Магдалина Олександра Гордій Ян Лєтті Есфір Барбара Суламіта Анастасія Анна Матвій Давид,й я я ш а а й н і р а а я а й д,16,15~22,Output: й а а ш а а н Л і Е р а А а й Д,289,271,18
Єфрем Агата Дарина Леонард Ярина Наомі Аделіна Есфір Леві Мія Марк Тальха Естер Рамазан Максим,м а а д а і а р і я к а р н м,15,15~22,Output: м а а д Я а а р і М а х Е Р Н М,277,259,18
Авенір Лео Марк Марк Еліс Орися Аскольд Левій Асаф Ярослав Уляна Міран Емма Яків Вероніка Есмі Аріна Єфрем,р о к к с я д й ф в а н а в а і а м,18,15~22,Output: р о к к с а а й а а а а а а а,287,270,17
Тімур Міран Анна Аскольд Лука Веремій Данило Ян Арсен Вероніка Тім Даяна Богдан Есфір Магдалина,р н а д а й о н н а м а н р а,15,15~22,Output: р н а а д о я н а р а а н а,277,261,16
Дарина Еріка Еліна Ярослав Тимофій Матвій Лука Даяна Софія Ян Вероніка Меланія Міран Суламіта Самуїл Сінан Леві Барбара,а а а в й й а а я н а я н а л н і а,18,15~22,Output: а а а в й й а а а а а а а а а а,291,273,18
Лео Сінан Вікторія Аскольд Олександра Лео Марк Анелія Амір Соломія Меланія Еліс Тимофій Нестор Анелія Вікторія Ангеліна Тимофій Міран Матвій Лука,о н я д а о к я р я я с й р я я а й н й а,21,15~22,Output: о н а а а о о а а а а а а а а а а,297,278,19
Алан Заріна Олександра Сінан Вікторія Амір Діана Еліс Асаф Рахіль Христина Діана Богдан Єремія Леонард Аскольд Арсен,н а а н я р а с ф ь а а н я д д н,17,15~22,Output: н а а а а а ф а а а д а й д,284,268,16
Софія Ярема Марк Богдан Аліна Алан Лєтті Леві Мія Соломія Аскольд Владислав Таїсія Амір Орися Емма Тадей Ангеліна Ярина,я а к н а н і і я я д в я р я а й а а,19,15~22,Output: а а к н а а і і а я а а а а а а,293,275,18
Даниїл Христина Веремій Єфрем Заріна Єва Рамазан Роман Аріна Ангеліна Тимофій Гордій Тадей Сінан Ярослав Есфір Есмі,л а й м а а н н а а й й й н в р і,17,15~22,Output: л а й М а А Н Р Н А Я Е Р Т С Я Е Р,292,272,20
Мілана Мартін Макар Рахіль Мія Тимофій Заріна Еліс Суламіта Алан Ян Самуїл Захар Яків Христина Нестор Єремія Анастасія Мілана Орися Анна,а н р ь я й а с а н н л р в а р я я а я а,21,15~22,Output: а н р х а я й а а а а а а а а а а а,301,281,20
Владислав Леонард Назар Ярина Христина Суламіта Еріка Еней Андрій Орися Ярослав Тімур Лея Єремія Данило Роман Павло Есфір Денис Есмі Яків,в д р а а а а й й я в р я я о н о р с і в,21,15~22,Output: в д р а а а а й р й а й а р о я й а е о е е е е е е,308,280,28
Максим Максим Емілія Алан Еней Ян Есмі Тимофій Максим Самуїл Діана Алан Левій Макар Аріна,м м я н й н і й м л а н й р а,15,15~22,Output: м м а н Я н й й л м л а н,271,256,15
Мілана Єфрем Діана Леві Єфрем Аріна Ярослав Орися Асаф Денис Тадей Матвій Марк Анелія Вероніка Софія,а м а і м а в я ф с й й к я а я,16,15~22,Output: а є а і Є а а я а а с й к а а а,284,266,18
Анісія Орися Єва Олівія Алан Артем Сінан Мартін Меланія Захар Алім Еріка Тадей Магдалина Лєтті Рамазан Заріна,я я а я н м н н я р м а й а і н а,17,15~22,Output: я я а а О а М Н А А Е Т А Л Р Н,290,272,18
Рамазан Захар Естер Марк Суламіта Алім Рамазан Арсен Еліна Захар Барбара Олександр Розалія Ельдар Северин Захар Естер Таїсія Данило,н р р к а м н н а р а р я р н р р я о,19,15~22,Output: н х р а к а а н р н а р а а а і о н,296,276,20
Анастасія Андрій Олександра Олександр Естер Андрій Рахіль Андрій Ельдар Дарина Тадей Даяна Ярослав Вікторія Христина Мія Софія Софія Аріна,я й а р р й ь й р а й а в я а я я я а,19,15~22,Output: а й а р Е й й Р Д Т а В К М С С А,297,278,19
Анастасія Аліна Рувим Ярема Анелія Сарра Лея Леонард Аріна Макар Анна Вероніка Яна Лєтті Аріна Анна Артем,я а м а я а я д а р а а а і а а м,17,15~22,Output: а а м а а а я а а а а а а,284,269,15
Аліна Алім Сарра Аскольд Рамазан Аскольд Лєтті Аскольд Ярема Макар Ярослав Анелія Естер Марк Стефанія Гордій Олександр Христина Богдан Дмитро,а м а д н д і д а р в я р к я й р а н о,20,15~22,Output: а м а а д н а а а а а а а а а а а а а а,304,282,22
Квітослава Павло Лука Міран Самуїл Аделіна Асаф Лео Самуїл Тадей Олександр Захар Еріка Вероніка Андрій Денис Стефанія,а о а н л а ф о л й р р а а й с я,17,15~22,Output: а о а н л а а а р а й а а а а а,289,271,18
Анастасія Таїсія Гордій Дмитро Агата Есмі Олександра Мілана Павло Тиміш Дарина Амір Олександр Анісія Діана Естер Рамазан Еней Ангеліна Ілай Вероніка,я я й о а і а а о ш а р р я а р н й а й а,21,15~22,Output: а а й о о а а а а р а а а а а а а а а,304,283,21
