Unnamed: 0,input,target,bins,input_ru,pred
0,"I have a cauliflower, a potato, a cabbage, a garlic, a yam, a lettuce head, a carrot, two stalks of celery, four heads of broccoli, and an onion.",14,13~18,"Tenho uma couve-flor, uma batata, um repolho, um alho, um inhame, uma cabeça de alface, uma cenoura, dois talos de aipo, quatro cabeças de brócolis e uma cebola.",Output: 14
1,"I have a cabbage, a clarinet, a carrot, an onion, a lettuce head, a garlic, a yam, four cauliflowers, a potato, and a head of broccoli.",13,13~18,"Tenho um repolho, um clarinete, uma cenoura, uma cebola, uma cabeça de alface, um alho, um inhame, quatro couves-flores, uma batata e uma cabeça de brócolis.",Output: 13
2,"I have a lamp, two cars, a table, a chair, a fridge, two couches, an oven, a toaster, a microwave, and four stoves.",15,13~18,"Tenho um abajur, dois carros, uma mesa, uma cadeira, uma geladeira, dois sofás, um forno, uma torradeira, um micro-ondas e quatro fogões.",Output: 15
3,"I have two plums, a raspberry, a blackberry, four peaches, an orange, four strawberries, a grape, two nectarines, and an apple.",17,13~18,"Tenho duas ameixas, uma framboesa, uma amora, quatro pêssegos, uma laranja, quatro morangos, uma uva, duas nectarinas e uma maçã.",Output: 17
4,"I have three lettuce heads, four stalks of celery, a yam, a garlic, a flute, two carrots, and a cabbage.",13,13~18,"Tenho três cabeças de alface, quatro talos de aipo, um inhame, um alho, uma flauta, duas cenouras e um repolho.",Output: 12
5,"I have a toaster, a lamp, a fridge, two microwaves, a car, a table, five couches, a chair, and an oven.",14,13~18,"Tenho uma torradeira, um abajur, uma geladeira, dois micro-ondas, um carro, uma mesa, cinco sofás, uma cadeira e um forno.",Output: 13
6,"I have a lamp, two toasters, four beds, an oven, a stove, a table, a chair, a fridge, and two cars.",14,13~18,"Tenho um abajur, duas torradeiras, quatro camas, um forno, um fogão, uma mesa, uma cadeira, uma geladeira e dois carros.",Output: 13
7,"I have a plum, two strawberries, two oranges, a blackberry, two grapes, three nectarines, a banana, an apple, and a peach.",14,13~18,"Tenho uma ameixa, dois morangos, duas laranjas, uma amora, duas uvas, três nectarinas, uma banana, uma maçã e um pêssego.",Output: 14
8,"I have a trombone, three clarinets, three rabbits, a trumpet, a flute, a piano, an accordion, a violin, and a drum.",13,13~18,"Tenho um trombone, três clarinetes, três coelhos, um trompete, uma flauta, um piano, um acordeão, um violino e um tambor.",Output: 14
9,"I have four apples, a banana, a nectarine, four peaches, an orange, a raspberry, a drum, and four flutes.",17,13~18,"Tenho quatro maçãs, uma banana, uma nectarina, quatro pêssegos, uma laranja, uma framboesa, um tambor e quatro taças.",Output: 17
10,"I have three pianos, a flute, a trumpet, a trombone, a violin, a clarinet, four drums, and two accordions.",14,13~18,"Tenho três pianos, uma flauta, um trompete, um trombone, um violino, um clarinete, quatro tambores e dois acordeões.",Output: 13
