input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Paula Fernando Alejandro Alvaro Isabel Antonio Angel Carmen Alvaro Antonia Jorge Carmen Fernando Josefa Jose Alberto Javier Antonio Lucia,a o o o l o l n o a e n o a e o r o a,19,15~22,Output: a o o o l o l n o a e n o a e o a,193,174,19
Francisco Miguel Sergio Jesus Javier Alberto Carmen Javier Fernando Manuel Alejandro Jose Fernando Josefa Angel Lucia Jose Sergio Jose,o l o s r o n r o l o e o a l a e o e,19,15~22,Output: o l o s r o n r o l o e e a l a e o e,190,169,21
Maria Angel Fernando Josefa Fernando Alberto Francisco Fernando Miguel Dolores Jose Carlos Manuel Isabel Carlos Manuel Alberto,a l o a o o o o l s e s l l s l o,17,15~22,Output: a l o a o o o o l s e s l l s o,186,168,18
Alejandro Alvaro Isabel Isabel Lucia Alvaro Dolores Juan Josefa Jose Alvaro Miguel Javier Josefa Josefa Angel Lucia Alvaro,o o l l a o s n a e o l r a a l a o,18,15~22,Output: o o l l a o s n a e l r a a l a o,198,179,19
Alvaro Manuel Manuel Manuel Carmen Jesus Josefa Jose Carlos Pablo Francisco Jose Javier Manuel Javier Antonio Javier Carmen Antonia Marta,o l l l n s a e s o o e r l r o r n a a,20,15~22,Output: o l l l n s a e s o o e r l r o r n a a,196,174,22
Jorge Manuel Javier Miguel Miguel Lucia Fernando Alvaro Manuel Pablo Miguel Dolores Alvaro Miguel Jorge,e l r l l a o o l o l s o l e,15,15~22,Output: e l r l l a o o l o l o o e,185,169,16
Jorge Fernando Antonia Josefa Miguel Jesus Alejandro Jesus Alvaro Juan Carlos Isabel Fernando Alberto Antonio Antonio Javier Carlos,e o a a l s o s o n s l o o o o r s,18,15~22,Output: e o a a l s o s o n s l o o o o r s,191,171,20
Dolores Jesus Alvaro Lucia Miguel Francisco Javier Fernando Alvaro Marta Marta Pablo Javier Alvaro Carmen Sergio Alvaro,s s o a l o r o o a a o r o n o o,17,15~22,Output: s s o a l o r o o a a o r o n o o,196,177,19
Fernando Pablo Carlos Jorge Pablo Juan Lucia Josefa Carmen Lucia Dolores Fernando Jose Fernando Pablo Antonia Marta Alejandro,o o s e o n a a n a s o e o o a a o,18,15~22,Output: o o s e o n a a n a s o e o o a a o,191,171,20
Manuel Jose Jose Isabel Jorge Pablo Manuel Lucia Jesus Jorge Carmen Maria Jose Isabel Carlos Miguel Miguel Alvaro,l e e l e o l a s e n a e l s l l o,18,15~22,Output: l e e l e o l a s e n a e l s l o,188,169,19
Josefa Jose Jose Alejandro Lucia Sergio Jose Jose Dolores Antonia Jesus Sergio Miguel Fernando Francisco Maria Isabel Francisco Antonio Paula Juan,a e e o a o e e s a s o l o o a l o o a n,21,15~22,Output: a e e o a o e e s a s o l o o a a l o o a n,197,173,24
Josefa Sergio Miguel Alvaro Jorge Jose Alejandro Miguel Jose Juan Miguel Jesus Carlos Pablo Maria Jesus Antonio Angel Alvaro Alejandro,a o l o e e o l e n l s s o a s o l o o,20,15~22,Output: a o l o e e o l e s s o a a s o l o o,195,174,21
Alejandro Carlos Manuel Alberto Carmen Dolores Carlos Alvaro Paula Alejandro Dolores Fernando Alejandro Jorge Juan Fernando,o s l o n s s o a o s o o e n o,16,15~22,Output: o s l o s s s o a o s o o e n o,187,169,18
Angel Juan Miguel Jose Francisco Manuel Jose Antonio Manuel Miguel Jesus Marta Dolores Jesus Fernando Miguel,l n l e o l e o l l s a s s o l,16,15~22,Output: l n l e o l e o l l s a s s o l,185,167,18
Jose Jose Jesus Antonio Carmen Josefa Jesus Francisco Juan Alvaro Jesus Javier Marta Jose Pablo Marta,e e s o n a s o n o s r a e o a,16,15~22,Output: e e s o n a s o n o s r a e o a,188,170,18
Alberto Josefa Fernando Paula Alvaro Maria Manuel Javier Carmen Carmen Maria Carmen Angel Javier Juan Carmen Francisco Jose,o a o a o a l r n n a n l r n n o e,18,15~22,Output: o a o a o a l r n n a n l r n n o e,190,170,20
Jose Jesus Maria Carlos Javier Pablo Isabel Jose Dolores Sergio Miguel Miguel Carlos Jose Jose Fernando Jose Josefa,e s a s r o l e s o l l s e e o e a,18,15~22,Output: e s a s r o l e s o l l s e e o e a,189,169,20
Marta Alvaro Dolores Isabel Jorge Carmen Josefa Alejandro Miguel Isabel Manuel Fernando Miguel Jesus Lucia Antonia Juan Paula,a o s l e n a o l l l o l s a a n a,18,15~22,Output: a o s l e n a o l l l o l s a a n a,193,173,20
Jose Javier Jose Alberto Fernando Juan Alejandro Jose Alvaro Angel Antonia Isabel Juan Carlos Carlos Antonio Manuel Alvaro Antonia Alejandro,e r e o o n o e o l a l n s s o l o a o,20,15~22,Output: e r e o o n o e o l a l n s s o l o a o,197,175,22
Juan Marta Manuel Angel Dolores Dolores Angel Carmen Alejandro Javier Isabel Lucia Antonio Pablo Miguel Isabel Juan Alvaro Jose Sergio,n a l l s s l n o r l a o o l l n o e o,20,15~22,Output: n a l l s s l n o r l a o o l l n o e o,196,174,22
Carmen Marta Antonio Jorge Francisco Jose Dolores Dolores Alberto Dolores Jose Jesus Francisco Josefa Dolores,n a o e o e s s o s e s o a s,15,15~22,Output: n a o e o e s s o s e s o a s,187,170,17
Alvaro Alejandro Paula Fernando Javier Jorge Jose Juan Alvaro Alejandro Maria Dolores Alejandro Fernando Antonia Carmen Francisco Maria Fernando,o o a o r e e n o o a s o o a n o a o,19,15~22,Output: o o a o r e e n o o a s o o a n o a a o,196,174,22
Fernando Isabel Jorge Fernando Jorge Antonia Fernando Fernando Juan Jose Antonia Josefa Alejandro Angel Paula Angel Miguel Jose Angel Alberto Maria,o l e o e a o o n e a a o l a l l e l o a,21,15~22,Output: o l e o e a o o n e a a o l a l l e l o a,196,173,23
Alberto Jose Antonia Jose Carmen Josefa Dolores Jesus Isabel Antonia Juan Miguel Lucia Alberto Sergio Jorge,o e a e n a s s l a n l a o o e,16,15~22,Output: o e a e n a s s l a n l a o o e,187,169,18
Paula Jorge Maria Miguel Jesus Javier Jorge Josefa Josefa Fernando Lucia Isabel Carmen Angel Dolores Marta Sergio Fernando Jose Fernando,a e a l s r e a a o a l n l s a o o e o,20,15~22,Output: a e a l s r e a a o a l n l s a o o e o,195,173,22
Fernando Paula Lucia Carmen Alejandro Marta Angel Jose Alberto Angel Carlos Angel Josefa Francisco Angel Jose,o a a n o a l e o l s l a o l e,16,15~22,Output: o a a n o a l e o l s l a o e,184,167,17
Pablo Fernando Miguel Manuel Miguel Alberto Javier Javier Antonio Jorge Carmen Manuel Alberto Marta Carmen Alejandro Alvaro,o o l l l o r r o e n l o a n o o,17,15~22,Output: o o l l l o r r o e n l o a n o o,188,169,19
Paula Sergio Manuel Juan Miguel Jesus Paula Jesus Jesus Angel Miguel Paula Miguel Alejandro Carmen Carlos Antonia Jose Lucia Marta,a o l n l s a s s l l a l o n s a e a a,20,15~22,Output: a o l n l s a s s l l a l o n s a e a,192,171,21
Jorge Manuel Maria Francisco Isabel Alejandro Jose Jose Paula Alvaro Maria Carlos Alejandro Alejandro Jose Pablo,e l a o l o e e a o a s o o e o,16,15~22,Output: e l a o l o e e a o a s o o e o,185,167,18
Fernando Juan Maria Jose Marta Carmen Carmen Javier Francisco Alvaro Manuel Paula Alejandro Miguel Antonia Alvaro,o n a e a n n r o o l a o l a o,16,15~22,Output: o n a e a n n r o o l a o l a o,189,171,18
Manuel Jesus Alberto Sergio Marta Josefa Francisco Antonio Antonio Dolores Angel Marta Jorge Jorge Jesus Carlos Carmen Jorge Paula Miguel,l s o o a a o o o s l a e e s s n e a l,20,15~22,Output: l s o o a a o o o s l a e e s s n e a l,195,173,22
Antonio Maria Josefa Dolores Carmen Miguel Alejandro Isabel Alvaro Javier Fernando Pablo Alvaro Carlos Jesus Jesus Manuel Fernando Josefa Carmen,o a a s n l o l o r o o o s s s l o a n,20,15~22,Output: o a a s n l o l o r o o s s l o a n,196,176,20
Carmen Carmen Jose Jorge Antonio Maria Maria Francisco Javier Angel Juan Josefa Carlos Lucia Jesus Javier Sergio Antonia,n n e e o a a o r l n a s a s r o a,18,15~22,Output: n n e e o a a o r l n a s a s r o a,189,169,20
Isabel Jesus Carlos Francisco Fernando Carlos Carmen Francisco Paula Francisco Miguel Jose Jesus Carmen Carmen Dolores Manuel Francisco,l s s o o s n o a o l e s n n s l o,18,15~22,Output: l s s o o s n o a o l e s s n n s l o,189,168,21
Sergio Jorge Josefa Paula Maria Angel Carmen Jesus Maria Paula Isabel Lucia Antonio Jesus Jesus Maria Fernando,o e a a a l n s a a l a o s s a o,17,15~22,Output: o e a a a l n s a a l a o s s a o,186,167,19
Antonia Dolores Paula Carlos Jesus Angel Dolores Jose Antonia Sergio Jose Sergio Alejandro Paula Francisco Jose Isabel Miguel Fernando Javier,a s a s s l s e a o e o o a o e l l o r,20,15~22,Output: a s a s s l s e a o e o e a o o e l l o r,196,173,23
Paula Jose Francisco Manuel Manuel Manuel Fernando Carlos Marta Carlos Francisco Paula Angel Alejandro Carlos Lucia,a e o l l l o s a s o a l o s a,16,15~22,Output: a e o l l l o s a s o a l o s a,184,166,18
Sergio Juan Jose Josefa Marta Angel Miguel Josefa Jose Jesus Fernando Lucia Alejandro Jose Jesus Manuel Paula Angel Manuel Isabel,o n e a a l l a e s o a o e s l a l l l,20,15~22,Output: o n e a a l l a e s o a o e s l a l l l,194,172,22
Jose Pablo Miguel Carmen Francisco Sergio Alvaro Antonio Dolores Jose Francisco Alvaro Marta Angel Lucia Antonio Alberto Jesus,e o l n o o o o s e o o a l a o o s,18,15~22,Output: e o l n o o o o s e o o a l a o o s,193,173,20
Jesus Antonia Jorge Josefa Sergio Manuel Manuel Francisco Isabel Juan Javier Miguel Lucia Javier Juan Jose Francisco Pablo,s a e a o l l o l n r l a r n e o o,18,15~22,Output: s a e a o l l o l n r l a r n e o o,189,169,20
Angel Isabel Angel Antonio Alberto Antonia Jose Fernando Marta Jose Jorge Alvaro Manuel Miguel Alejandro Sergio,l l l o o a e o a e e o l l o o,16,15~22,Output: l l l o o a e o a e e o l l o o,187,169,18
