input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Ethan Amelia Alexander Layla Samuel Amelia Elias Isabella Joseph Mia Naomi Isabella Ellie Zoe Ethan,n a r a l a s a h a i a e e n,15,15~22,Output: n a r a l a s a h a i a e e n,212,195,17
Noah Michael Hazel Evelyn Scarlett Ivy John Aria Samuel David Ella Alexander Harper Emilia Ezra Michael Theodore Owen Isaac Amelia,h l l n t y n a l d a r r a a l e n c a,20,15~22,Output: h l l n t y n a l d a r r a a l e e n c a,222,199,23
Thomas Santiago Mia Hazel Elijah Thomas Eleanor Grayson Aurora Santiago Luna Matthew Isaac Ella Elias Daniel,s o a l h s r n a o a w c a s l,16,15~22,Output: s o a l h s r n a o a w c a s l,212,194,18
Isaac Riley Liam Thomas Hudson Mila Joseph Matthew Aria Mateo Harper Ellie Jack John Nora Grayson Sebastian,c y m s n a h w a o r e k n a n n,17,15~22,Output: c y m s n a h w a o r e k n a n n,217,198,19
Alexander Lucy Grayson Ellie Ezra Levi Ellie Nora Isla Grayson Thomas Owen Aria Avery Elias,r y n e a i e a a n s n a y s,15,15~22,Output: r y n e a i e a a n s n a y s,213,196,17
Avery Abigail Grayson James Jack Willow Ava David Emma Penelope Jacob Ava Julian Charlotte Grayson,y l n s k w a d a e b a n e n,15,15~22,Output: y l n s k w a d a e b a n e n,213,196,17
Eliana Zoe Sophia William Aria Logan Evelyn Layla John Penelope Isaac Grayson Abigail Naomi Julian Matthew Hazel Joseph Riley,a e a m a n n a n e c n l i n w l h y,19,15~22,Output: a e a m a n n a n e c n l i n w l h h y,224,202,22
Michael Asher Emily Luca David Evelyn Lucy Santiago Benjamin Thomas Lucy Chloe Liam Sofia Lucy Lily,l r y a d n y o n s y e m a y y,16,15~22,Output: l r y a d n y o n s y e m a y y,212,194,18
Henry Benjamin Avery Benjamin Daniel Nova Harper Hudson Asher Theodore Chloe Elizabeth Daniel Elizabeth Gabriel Riley Sofia,y n y n l a r n r e e h l h l y a,17,15~22,Output: y n y n l a r n r e e h l h l y a,214,195,19
Emily Ellie Luca Henry Willow Owen Charlotte Aurora Logan Willow Eleanor Levi Santiago Abigail Jack Hazel Sophia Charlotte,y e a y w n e a n w r i o l k l a e,18,15~22,Output: y e a y w n e a n w r i o l k l a e,216,196,20
Mateo Grace Alexander Isla Avery Eliana Owen William Isaac Abigail Lucas Luca Ethan John Zoe Levi Lucy Gianna,o e r a y a n m c l s a n n e i y a,18,15~22,Output: o e r a y a n m c l s a n n e i y a,220,200,20
Camila Ava Mason Ezra Olivia Victoria Abigail Amelia Willow Leo Jackson Sophia Maverick Maverick Alexander Benjamin Charlotte Noah Mateo Julian,a a n a a a l a w o n a k k r n e h o n,20,15~22,Output: a a n a a a l a w o n a k k r n e o h n,224,202,22
Madison William Miles Camila Henry Penelope Alexander Ivy Emily Jackson Madison Evelyn Grace Oliver Violet Jacob,n m s a y e r y y n n n e r t b,16,15~22,Output: n m s a y e r y y n n n e r t b,213,195,18
Levi Emily Hazel Samuel Benjamin Naomi Aurora Lucy Daniel Samuel David Levi Nora Leo Luna,i y l l n i a y l l d i a o a,15,15~22,Output: i y l l n i a y l l d i a o a,209,192,17
Michael Willow Charlotte Benjamin Thomas Asher Ivy Charlotte Jackson Victoria Gabriel Lucy Abigail Jackson Henry,l w e n s r y e n a l y l n y,15,15~22,Output: l w e n s r y e n a l y n y,210,194,16
Grayson Violet Evelyn Matthew Chloe Sofia Santiago Benjamin Isla Willow Camila Ezra William Victoria Emily,n t n w e a o n a w a a m a y,15,15~22,Output: n t n w e a o n a w a a m a y,212,195,17
Aurora Henry Maverick Grayson Lily Sebastian Nova Grace James Camila John Chloe Chloe Maverick Gianna Gianna Lucas Elias Elizabeth,a y k n y n a e s a n e e k a a s s h,19,15~22,Output: a y k n y n a e s a n e e k a a s s h,223,202,21
Layla Alexander Emily Evelyn Ella Logan Gabriel William Zoe Hazel Elijah Oliver David Riley Sophia Lucy Olivia Zoe Lily Victoria Nova,a r y n a n l m e l h r d y a y a e y a a,21,15~22,Output: a r y n a n l m e l h r d y a y a e y a a,222,199,23
Harper James Sophia Nora Samuel Lily Gianna Gianna Thomas Charlotte Ivy Eleanor Emily Abigail Logan Mia Ezra Lily,r s a a l y a a s e y r y l n a a y,18,15~22,Output: r s a a l y a a s e y r y l n a a y,218,198,20
