input,out,len_list,total_inter,A,B,bins,pred,total-tokens,prompt-tokens,completion-tokens
"A: боль/чему/одну/кого/ушла/стало/ужин/убить/начала/против/сначала/ага/джон/твоего/милая/таким/слишком/занят/делаем/благодарю/скажи/первым/около/своими/дочери/сможет/знали/пройти/парни/поздравляю/идея/сказал/никого/послушай/ребенок/помоги/могла/которые/имеет/согласен/наверняка/вами/пыталась/сложно/слушайте/представить/скорее/здорово/благодаря/связь/способ/своё/команда/таком/общем/моему/чувствую/могут/семью/верно/люди/делали/оставаться/недели/года/помощью/обо/шанс/это/боюсь/делай/хорошее/знать/нечто/свидания/осторожно/девушку/хочется/точно/помню/твоя/работал/заниматься/взяли/решила/должно/идиот/самый/уверены/весело/дела/слова/четыре/вон/вечер/звучит/убил/услышать/смешно/вместо/шесть/чувствуешь/полагаю/будь/пять/здравствуйте/своего/всей/думать/час/настоящий/вполне/шоу/забыл/отличная/мысли/поможет/делал/послушайте/получается/имеешь/играть/постоянно/умереть/макс/старый/нём/оба/иди/фильм/улице/пришло/уходи/кажется/моим/чувак/дэнни/сторону
B: вон/умерла/поехать/семью/смешно/год/всей/сторону/переводчики/течение/против/нечто/готова/руках/убить/перестань/дэнни/шесть/своими/свидания/можете/ужин/этими/здравствуйте/таком/имеешь/словно/чувствую/девушки/поверить/прекрати/идиот/думать/боюсь/помощью/макс/вернусь/делал/ребенка/иди/скорее/мальчик/клянусь/твоего/ребенок/заниматься/мило/которое/моим/твоя/убил/шоу/агент/стало/хорошее/играть/это/постоянно/оставаться/дамы/идея/поздравляю/двое/делала/новые/черт/послушай/звучит/мысли/сначала/послушайте/боль/будущее/недели/полагаю/жизнь/спокойной/работал/около/команда/настоящий/должно/позвонить/взяли/верно/хорошая/будь/поможет/чувствуешь/делали/вполне/вроде/которые/слушайте/секс/девочка/старый/шанс/ого/утро/вечер/имеет/помоги/своего/говори/вами/пришло/слишком/одну/оба/ужасно/приехал/обо/пять/давайте/нём/пойти/первым/благодарю/могут/новую/весело/скажешь/делай/черта/пройти/свое/тело/благодаря/кажется/дочери/глаза/скажи/сих/точно/люди/получил/знали",твоего которые идея думать помощью звучит помоги команда моим здравствуйте скажи благодаря должно иди своего твоя хорошее ребенок ужин против боль делал обо дэнни всей это будь послушайте вечер точно могут свидания вон первым поможет шанс сторону идиот нечто оставаться скорее послушай оба делали нём весело постоянно макс люди слушайте работал дочери недели шесть стало убить чувствую пришло имеет мысли вполне благодарю слишком таком знали взяли чувствуешь семью поздравляю около боюсь одну своими имеешь делай пять сначала кажется настоящий полагаю шоу старый заниматься смешно играть пройти верно вами убил,138,89,боль/чему/одну/кого/ушла/стало/ужин/убить/начала/против/сначала/ага/джон/твоего/милая/таким/слишком/занят/делаем/благодарю/скажи/первым/около/своими/дочери/сможет/знали/пройти/парни/поздравляю/идея/сказал/никого/послушай/ребенок/помоги/могла/которые/имеет/согласен/наверняка/вами/пыталась/сложно/слушайте/представить/скорее/здорово/благодаря/связь/способ/своё/команда/таком/общем/моему/чувствую/могут/семью/верно/люди/делали/оставаться/недели/года/помощью/обо/шанс/это/боюсь/делай/хорошее/знать/нечто/свидания/осторожно/девушку/хочется/точно/помню/твоя/работал/заниматься/взяли/решила/должно/идиот/самый/уверены/весело/дела/слова/четыре/вон/вечер/звучит/убил/услышать/смешно/вместо/шесть/чувствуешь/полагаю/будь/пять/здравствуйте/своего/всей/думать/час/настоящий/вполне/шоу/забыл/отличная/мысли/поможет/делал/послушайте/получается/имеешь/играть/постоянно/умереть/макс/старый/нём/оба/иди/фильм/улице/пришло/уходи/кажется/моим/чувак/дэнни/сторону,вон/умерла/поехать/семью/смешно/год/всей/сторону/переводчики/течение/против/нечто/готова/руках/убить/перестань/дэнни/шесть/своими/свидания/можете/ужин/этими/здравствуйте/таком/имеешь/словно/чувствую/девушки/поверить/прекрати/идиот/думать/боюсь/помощью/макс/вернусь/делал/ребенка/иди/скорее/мальчик/клянусь/твоего/ребенок/заниматься/мило/которое/моим/твоя/убил/шоу/агент/стало/хорошее/играть/это/постоянно/оставаться/дамы/идея/поздравляю/двое/делала/новые/черт/послушай/звучит/мысли/сначала/послушайте/боль/будущее/недели/полагаю/жизнь/спокойной/работал/около/команда/настоящий/должно/позвонить/взяли/верно/хорошая/будь/поможет/чувствуешь/делали/вполне/вроде/которые/слушайте/секс/девочка/старый/шанс/ого/утро/вечер/имеет/помоги/своего/говори/вами/пришло/слишком/одну/оба/ужасно/приехал/обо/пять/давайте/нём/пойти/первым/благодарю/могут/новую/весело/скажешь/делай/черта/пройти/свое/тело/благодаря/кажется/дочери/глаза/скажи/сих/точно/люди/получил/знали,136~182,"Output: моим, свидания, ужин, шесть, смешно, дэнни, твоя, убить, чувствую, идёт, оставаться, сказать, благодарю, скажи, помоги, знаю, люди, делать, оставаться, неделя, года, помощь, это, бояться, делать, хорошо, знать, нечто, свидание, осторожно, девушка, хочется, точно, помню, твоя, работал, взяли, решила, должен, идиот, самый, уверены, весело, дела, слова, четыре, вон, вечер, звучит, убил, услышать, смешно, вместо, шесть, чувствуешь, полагаю, будь, пять, здравствуйте, своего, всей, думать, час, настоящий, вполне, шоу, забыл, отличная, мысли, поможет, делал, послушайте, получается, имеешь, играть, постоянно, умереть, макс, старый, нём, оба, иди, фильм, улице, пришло, уходи, кажется",1449,1194,255
"A: другу/пожаловать/секунду/совет/милый/боль/держись/никак/шеф/приятно/попробовать/ребенка/двое/откуда/говорил/свидание/сказала/тяжело/которых/месяц/тела/ваше/взять/которого/вовсе/народ/хочу/понравится/моим/плевать/ужин/должны/чёрт/минутку/станет/сможешь/оставил/садись/брат/сделать/последний/самом/держать/доктор/вероятно/покое/пришла/сделает/такую/денег/пришло/придет/уходи/любом/поверить/моих/ваши/именно/часа/сообщение/недавно/жив/словно/последнее/позвонить/сказали/женой/мистера/найти/кажется/наверняка/найду/прошло/любовь/говоря/дамы/час/переводчики/помните/идет/верю/игра/тихо/мужик/неважно/хотели/работает/хотел/места/этими/ужасно/благодаря/твои/важно/единственная/какого/наш/папа/улице/готова/поговорим/прости/собирается/давайте/преступления/необходимо/людьми/нашего/мере/знают/готовы/абсолютно/ребёнка/you/нечего/ясно/поможет/возможность/такие/своего/момент/путь/этому/ввиду/говоришь/жена/сказал/честь/будут/работа/сделаю/выглядит/выход/сначала/помню/такое/следует/делаю/понимаешь/нем/дам/хотите/жизни/слышал/ответ/письмо/простите/вон/говорила/честно/неделю/следующий/дорогая/знает/дайте/история
B: честь/дам/боль/милый/говорила/места/людьми/ваше/момент/тело/двое/работа/ваши/кажется/взял/мистера/дорогая/дамы/последнее/нашего/сможешь/собирается/минутку/жизни/пришло/сначала/деньги/хотели/неважно/переводчики/самом/своего/имею/простите/последний/путь/верю/понравится/наверняка/возможность/денег/знает/хочу/помните/приятно/другу/выход/женой/знают/нем/тихо/будут/you/сделать/придет/доктор/именно/благодаря/хотел/ввиду/плевать/которого/пожаловать/сделает/свидание/давайте/этими/вид/недавно/сказала/можем/нечего/поможет/следует/забыла/идет/хотите/мужик/письмо/месяц/фбр/уходи/твои/полагаю/улице/найти/ужин/неделю/пришла/которых/народ/могут/сообщение/второй/игра/дайте/взять/прошло/рано/мере/наш/пришел/помню/ребенка/такие/часа/необходимо/следующий/прости/такую/важно/готова/моему/держись/невероятно/годы/делаю/совет/говорил/выглядит/сказали/преступления/ясно/ужасно/позвонить/садись/единственная/словно/тяжело/любовь/никак/покое/чёрт/честно/такое/шеф/вовсе/вероятно/оставил/найду/ответ/серьезно/брат/новые/ребёнка/любом/какого/жив/час/работает/моих/моим/этому/история/жена/готовы",последнее дамы пожаловать вероятно твои моим народ позвонить следует выглядит неважно you тихо часа хотел такие хотели людьми жена ужасно ужин пришло жизни знают именно момент работает письмо милый пришла своего необходимо сказала такую идет верю выход нечего мужик неделю покое переводчики сделать поможет ввиду давайте оставил дам приятно шеф такое говорила нашего тяжело моих мере хочу следующий которого самом история минутку любовь ребёнка преступления уходи простите сказали жив говорил наверняка этому помните никак боль недавно держись денег собирается места понравится час улице сможешь ребенка прошло придет благодаря готовы сделает совет знает готова нем свидание единственная вовсе будут этими ваше игра дорогая делаю найду наш которых двое сначала хотите прости важно ваши какого женой честь другу ответ последний честно мистера взять возможность дайте найти работа помню любом месяц словно доктор брат путь плевать сообщение ясно садись кажется чёрт,156,138,другу/пожаловать/секунду/совет/милый/боль/держись/никак/шеф/приятно/попробовать/ребенка/двое/откуда/говорил/свидание/сказала/тяжело/которых/месяц/тела/ваше/взять/которого/вовсе/народ/хочу/понравится/моим/плевать/ужин/должны/чёрт/минутку/станет/сможешь/оставил/садись/брат/сделать/последний/самом/держать/доктор/вероятно/покое/пришла/сделает/такую/денег/пришло/придет/уходи/любом/поверить/моих/ваши/именно/часа/сообщение/недавно/жив/словно/последнее/позвонить/сказали/женой/мистера/найти/кажется/наверняка/найду/прошло/любовь/говоря/дамы/час/переводчики/помните/идет/верю/игра/тихо/мужик/неважно/хотели/работает/хотел/места/этими/ужасно/благодаря/твои/важно/единственная/какого/наш/папа/улице/готова/поговорим/прости/собирается/давайте/преступления/необходимо/людьми/нашего/мере/знают/готовы/абсолютно/ребёнка/you/нечего/ясно/поможет/возможность/такие/своего/момент/путь/этому/ввиду/говоришь/жена/сказал/честь/будут/работа/сделаю/выглядит/выход/сначала/помню/такое/следует/делаю/понимаешь/нем/дам/хотите/жизни/слышал/ответ/письмо/простите/вон/говорила/честно/неделю/следующий/дорогая/знает/дайте/история,честь/дам/боль/милый/говорила/места/людьми/ваше/момент/тело/двое/работа/ваши/кажется/взял/мистера/дорогая/дамы/последнее/нашего/сможешь/собирается/минутку/жизни/пришло/сначала/деньги/хотели/неважно/переводчики/самом/своего/имею/простите/последний/путь/верю/понравится/наверняка/возможность/денег/знает/хочу/помните/приятно/другу/выход/женой/знают/нем/тихо/будут/you/сделать/придет/доктор/именно/благодаря/хотел/ввиду/плевать/которого/пожаловать/сделает/свидание/давайте/этими/вид/недавно/сказала/можем/нечего/поможет/следует/забыла/идет/хотите/мужик/письмо/месяц/фбр/уходи/твои/полагаю/улице/найти/ужин/неделю/пришла/которых/народ/могут/сообщение/второй/игра/дайте/взять/прошло/рано/мере/наш/пришел/помню/ребенка/такие/часа/необходимо/следующий/прости/такую/важно/готова/моему/держись/невероятно/годы/делаю/совет/говорил/выглядит/сказали/преступления/ясно/ужасно/позвонить/садись/единственная/словно/тяжело/любовь/никак/покое/чёрт/честно/такое/шеф/вовсе/вероятно/оставил/найду/ответ/серьезно/брат/новые/ребёнка/любом/какого/жив/час/работает/моих/моим/этому/история/жена/готовы,136~182,Output: честь/боль/милый/двое/ваши/момент/тело/места/людьми/ваше/сможешь/собирается/минутку/жизни/пришло/сначала/деньги/хотели/неважно/переводчики/самом/своего/имею/простите/последний/путь/верю/понравится/наверняка/возможность/денег/знает/хочу/помните/приятно/другу/выход/женой/знают/нем/тихо/будут/you/сделать/придет/доктор/именно/благодаря/хотел/ввиду/плевать/которого/пожаловать/сделает/свидание/давайте/этими/вид/недавно/сказала/можем/нечего/поможет/следует/забыла/идет/хотите/мужик/письмо/месяц/фбр/уходи/твои/полагаю/улице/найти/ужин/неделю/пришла/которых/народ/могут/сообщение/второй/игра/дайте/взять/прошло/рано/мере/наш/пришел/помню/ребенка/такие/часа/необходимо/следующий/прости/такую/важно/готова/моему/держись/невероятно/годы/делаю/совет/говорил/выглядит/сказали/преступления/ясно/ужасно/позвонить/садись/единственная/словно/тяжело/любовь/никак/покое/чёрт/честно/такое/шеф/вовсе/вероятно/оставил/найду/ответ/серьезно/брат/новые/ребёнка/любом/какого/жив/час/работает/моих/моим/этому/история/жена,1801,1293,508
"A: прошлой/ждать/жену/конец/всему/больно/тебе/самом/парней/руках/девочки/улице/показать/подумала/сына/стану/забыла/вижу/полицию/будь/туда/скажи/комнату/искать/господи/минутку/вернуться/городе/приехал/изменить/своего/гарри/нём/вопросов/говорите/общем/говоришь/забрать/вещь/стоять/отношения/людей/ними/хорошего/звучит/занят/ребёнка/уверен/котором/недель/проблемы/идёт/полиция/ради/образом/который/думаете/иди/насчёт/могу/господин/многие/игра/курсе/рождения/немного/будут/ушла/некоторые/прийти/связь/ага/возьму/пора/остановить/мама/близко/какого/шесть/детектив/настолько/понимаешь/готов/информацию/честь/словно/джимми/месье/сказала/самое/последнее/правда/забыл/работать/неплохо/боюсь/пожаловать/нашу/прекрасно/думаешь/держись/женщин/происходит/комнате/выпить/должна/месте/думаю/пришел/иметь/мистер/пожалуйста/папа/смысл/дать/части/ваших/агент/делать/следует/алекс/вполне/лучшее/сделаешь/дерьмо/нужно/сможете/месяц/мое/войны/года/позволить/одним/ночи/джейн/оставь/стороне/игру/называется/никто/слышала/дорогой/доброе/чувство/пару/среди/настоящий/снова/вашим/представить/имею/тяжело
B: работал/час/вашу/пути/родители/дядя/милый/никого/сделаю/замечательно/году/хотите/идея/хотел/сказали/прошло/ночью/нему/вернуться/пытается/несколько/которого/джордж/давайте/сначала/думала/слышала/осталось/остаться/спокойной/вон/никому/пошёл/город/идём/дала/спасти/своему/вечеринку/прошу/делал/хотели/нужны/мам/майк/ключ/уйти/пошли/пойду/вперед/эта/одно/отличная/ними/вечером/доктор/возможно/гораздо/боже/недели/нашла/помощи/ваша/извините/человека/проверить/одним/комнату/стороны/твоя/знаете/быстро/смерти/работаю/четыре/брата/большая/вчера/сделали/знаю/абсолютно/потерял/хотя/просил/поможет/второй/других/другое/говорю/вопрос/найти/ненавижу/такие/прямо/менее/сделал/оставить/пришло/голос/слушайте/умереть/видели/получила/помните/часа/миссис/знали/нашего/старый/девушку/джо/твой/никаких/могло/будут/трудно/которой/могут/буду/неделю/ребенка/места/ноги/обратно/друга/твою/улице/сложно/девушка/спросить/привет/семья/мисс/таких/имел/тело/сама/поехать/звонок/против/время/имя/понимаю/хочу/волнуйся/свой/вовсе/маленькая/народ/никакой/наша/слышу",улице вернуться комнату будут одним слышала ними,152,7,прошлой/ждать/жену/конец/всему/больно/тебе/самом/парней/руках/девочки/улице/показать/подумала/сына/стану/забыла/вижу/полицию/будь/туда/скажи/комнату/искать/господи/минутку/вернуться/городе/приехал/изменить/своего/гарри/нём/вопросов/говорите/общем/говоришь/забрать/вещь/стоять/отношения/людей/ними/хорошего/звучит/занят/ребёнка/уверен/котором/недель/проблемы/идёт/полиция/ради/образом/который/думаете/иди/насчёт/могу/господин/многие/игра/курсе/рождения/немного/будут/ушла/некоторые/прийти/связь/ага/возьму/пора/остановить/мама/близко/какого/шесть/детектив/настолько/понимаешь/готов/информацию/честь/словно/джимми/месье/сказала/самое/последнее/правда/забыл/работать/неплохо/боюсь/пожаловать/нашу/прекрасно/думаешь/держись/женщин/происходит/комнате/выпить/должна/месте/думаю/пришел/иметь/мистер/пожалуйста/папа/смысл/дать/части/ваших/агент/делать/следует/алекс/вполне/лучшее/сделаешь/дерьмо/нужно/сможете/месяц/мое/войны/года/позволить/одним/ночи/джейн/оставь/стороне/игру/называется/никто/слышала/дорогой/доброе/чувство/пару/среди/настоящий/снова/вашим/представить/имею/тяжело,работал/час/вашу/пути/родители/дядя/милый/никого/сделаю/замечательно/году/хотите/идея/хотел/сказали/прошло/ночью/нему/вернуться/пытается/несколько/которого/джордж/давайте/сначала/думала/слышала/осталось/остаться/спокойной/вон/никому/пошёл/город/идём/дала/спасти/своему/вечеринку/прошу/делал/хотели/нужны/мам/майк/ключ/уйти/пошли/пойду/вперед/эта/одно/отличная/ними/вечером/доктор/возможно/гораздо/боже/недели/нашла/помощи/ваша/извините/человека/проверить/одним/комнату/стороны/твоя/знаете/быстро/смерти/работаю/четыре/брата/большая/вчера/сделали/знаю/абсолютно/потерял/хотя/просил/поможет/второй/других/другое/говорю/вопрос/найти/ненавижу/такие/прямо/менее/сделал/оставить/пришло/голос/слушайте/умереть/видели/получила/помните/часа/миссис/знали/нашего/старый/девушку/джо/твой/никаких/могло/будут/трудно/которой/могут/буду/неделю/ребенка/места/ноги/обратно/друга/твою/улице/сложно/девушка/спросить/привет/семья/мисс/таких/имел/тело/сама/поехать/звонок/против/время/имя/понимаю/хочу/волнуйся/свой/вовсе/маленькая/народ/никакой/наша/слышу,136~182,"Output: улице, будут",1292,1285,7
"A: пожаловать/фото/дал/бывает/равно/всему/настоящий/пришел/плевать/the/свой/делал/заткнись/любит/ваш/подумал/твоего/волнуйся/отцом/умереть/первый/джек/счет/абсолютно/маленький/шесть/оставаться/получается/гарри/слова/пару/убил/должны/ужин/пошла/жена/смешно/любил/настолько/очередь/спокойной/ушла/вижу/сможет/похоже/дело/внутри/либо/право/добро/иду/суд/дорогой/пойдем/думали/будешь/эми/убийства/стоит/твоих/домой/людей/женщина/делаете/повезло/рада/вернуть/сидеть/кому/город/главное/собой/питер/оружие/понимаете/течение/туда/недель/дерьмо/пришли/встретиться/важно/узнал/словно/твоем/собирался/женой/осторожно/оставил/помнишь/извините/остановить/никакой/также/новый/вашего/среди/конец/джордж/двух/вон/такую/лично/иначе/прийти/станет/хватает/утро/стой/пришла/нашего/комнату/цель/смотрите/твоя/знаем/поговорим/понимаешь/такие/менее/джейн/ваше/будете/страшно/слово/которых/каждого/благодарю/сколько/сама/сэр/окей/котором/нечего/семья/просто/знают/нему/начать/уверены/помощи
B: вина/майкл/следует/фильм/подожди/чувствуешь/верно/способ/прежде/является/новые/сказать/принять/девушку/ушел/сожалению/пол/можешь/слово/вроде/пришёл/могут/генри/произошло/мужчины/согласен/босс/гораздо/внимание/речь/руку/смог/скажи/парней/обо/пап/чарли/игры/адвокат/пойдём/свет/полиции/слышу/жив/вашим/слов/тяжело/господа/чём/никого/видите/бога/могло/своего/парень/бог/поздно/любовь/войны/прекрасно/поможет/скорее/земле/увидимся/необходимо/дети/правила/знали/страшно/платье/этих/машину/жену/этому/возьму/затем/добрый/наши/честь/найти/видела/моему/второй/кстати/женщин/последние/пожалуйста/дэнни/убить/успокойся/хотя/пути/фрэнк/ник/слышал/руки/сможешь/делать/милая/чувак/какие/неплохо/телефон/стало/знаю/получается/попасть/самая/говорила/сделай/пытается/которые/правильно/леди/неужели/шанс/спросить/доме/чему/никакого/конец/самого/слышать/спокойно/серьёзно/почему/забыла/вместе/ребенок/надеюсь/немного/пожаловать/новую/против/думаю/возможно/понять/богу/ужасно/вместо/звонок",слово страшно конец пожаловать получается,141,5,пожаловать/фото/дал/бывает/равно/всему/настоящий/пришел/плевать/the/свой/делал/заткнись/любит/ваш/подумал/твоего/волнуйся/отцом/умереть/первый/джек/счет/абсолютно/маленький/шесть/оставаться/получается/гарри/слова/пару/убил/должны/ужин/пошла/жена/смешно/любил/настолько/очередь/спокойной/ушла/вижу/сможет/похоже/дело/внутри/либо/право/добро/иду/суд/дорогой/пойдем/думали/будешь/эми/убийства/стоит/твоих/домой/людей/женщина/делаете/повезло/рада/вернуть/сидеть/кому/город/главное/собой/питер/оружие/понимаете/течение/туда/недель/дерьмо/пришли/встретиться/важно/узнал/словно/твоем/собирался/женой/осторожно/оставил/помнишь/извините/остановить/никакой/также/новый/вашего/среди/конец/джордж/двух/вон/такую/лично/иначе/прийти/станет/хватает/утро/стой/пришла/нашего/комнату/цель/смотрите/твоя/знаем/поговорим/понимаешь/такие/менее/джейн/ваше/будете/страшно/слово/которых/каждого/благодарю/сколько/сама/сэр/окей/котором/нечего/семья/просто/знают/нему/начать/уверены/помощи,вина/майкл/следует/фильм/подожди/чувствуешь/верно/способ/прежде/является/новые/сказать/принять/девушку/ушел/сожалению/пол/можешь/слово/вроде/пришёл/могут/генри/произошло/мужчины/согласен/босс/гораздо/внимание/речь/руку/смог/скажи/парней/обо/пап/чарли/игры/адвокат/пойдём/свет/полиции/слышу/жив/вашим/слов/тяжело/господа/чём/никого/видите/бога/могло/своего/парень/бог/поздно/любовь/войны/прекрасно/поможет/скорее/земле/увидимся/необходимо/дети/правила/знали/страшно/платье/этих/машину/жену/этому/возьму/затем/добрый/наши/честь/найти/видела/моему/второй/кстати/женщин/последние/пожалуйста/дэнни/убить/успокойся/хотя/пути/фрэнк/ник/слышал/руки/сможешь/делать/милая/чувак/какие/неплохо/телефон/стало/знаю/получается/попасть/самая/говорила/сделай/пытается/которые/правильно/леди/неужели/шанс/спросить/доме/чему/никакого/конец/самого/слышать/спокойно/серьёзно/почему/забыла/вместе/ребенок/надеюсь/немного/пожаловать/новую/против/думаю/возможно/понять/богу/ужасно/вместо/звонок,136~182,"Output: плевать,<|begin_of_text|>2019",1221,1212,9
"A: первое/делаем/умерла/никакой/школы/месяцев/поможет/платье/поздно/пытаюсь/крайней/кровь/типа/боже/видите/дни/пришли/думаю/первая/дайте/дать/говорить/смог/привет/жену/девушка/понимаешь/чувство/дом/детка/историю/хочу/скажешь/маленькая/убить/внимание/доктора/you/слушай/постоянно/новый/моей/приятно/девочки/другие/нём/честь/господи/такие/посмотреть/невероятно/моего/четыре/перестань/жизнью/бывает/минут/сможешь/принять/показать/хотите/возьми/послушайте/скажу/маме/свой/отличная/дня/дам/вернуть/провести/лично/которая/связь/причина/получается/абсолютно/жду/девочка/ввиду/дамы/ребенок/парня/офис/защитить/сказать/прав/фильм/позвольте/спокойной/нравятся/благодарю/ехать/первой/вернусь/кого/своем/наша/следующий/года/отца/ваша/здорово/дочери/собирался/денег/решил/сделать/суд/легко/вовсе/город/встретиться/которого/таким/моим/генри/вашей/самое/ноги/работы/смешно/сообщение/странно/рассказать/раза/джейн/поговорить/делала/достаточно/слов/похоже/одном/думать/против/милая/искать/страшно/молодец/шоу/решили/итак/секс
B: послушайте/стороны/смотрите/школы/пришли/году/итак/серьёзно/страшно/первой/благодарю/назад/эми/которого/новый/позвольте/мою/трудно/раза/дети/решили/парня/крайней/оно/моего/здорово/уверен/собирается/года/легко/лично/рада/первое/список/увидел/офис/вернусь/пить/поехали/одном/против/знал/одно/воды/моей/девочка/прости/смог/должен/боже/касается/секс/верить/сделает/связь/безопасности/суд/работать/отличная/лучший/вернулась/рот/купить/правильно/нем/довольно/постоянно/провести/мира/честь/мало/сможешь/бог/дала/убить/девочки/странно/сэр/клянусь/джейн/прекрати/хотел/переводчики/могла/защитить/смотреть/вопросы/фрэнк/голове/полагаю/милая/собирался/фбр/показать/занят/которое/дом/шоу/скажешь/сказать/боль/ваша/парнем/смешно/сих/помогите/которая/чувство/буду/первая/хочу/решил/искать/говорить/случилось/девушка/майк/думать/использовать/нём/месяцев/слов/маме/ребенок/говорили/спокойной/денег/твоя/выйти/таким/работы/знаешь/ввиду/стороне/маленькая/моим/понимаешь/сделать/словно/вместе/жизнью/пришёл/внимание",моего первая честь послушайте школы вернусь крайней убить против отличная ввиду искать работы итак новый боже года здорово жизнью секс ребенок милая моим защитить ваша суд первое позвольте хочу сказать провести джейн скажешь одном слов решили моей благодарю показать девочка девушка спокойной которая смешно пришли думать маме постоянно понимаешь таким чувство смог собирался маленькая сможешь которого связь девочки офис странно говорить сделать нём страшно раза шоу парня внимание денег легко дом первой лично решил месяцев,143,75,первое/делаем/умерла/никакой/школы/месяцев/поможет/платье/поздно/пытаюсь/крайней/кровь/типа/боже/видите/дни/пришли/думаю/первая/дайте/дать/говорить/смог/привет/жену/девушка/понимаешь/чувство/дом/детка/историю/хочу/скажешь/маленькая/убить/внимание/доктора/you/слушай/постоянно/новый/моей/приятно/девочки/другие/нём/честь/господи/такие/посмотреть/невероятно/моего/четыре/перестань/жизнью/бывает/минут/сможешь/принять/показать/хотите/возьми/послушайте/скажу/маме/свой/отличная/дня/дам/вернуть/провести/лично/которая/связь/причина/получается/абсолютно/жду/девочка/ввиду/дамы/ребенок/парня/офис/защитить/сказать/прав/фильм/позвольте/спокойной/нравятся/благодарю/ехать/первой/вернусь/кого/своем/наша/следующий/года/отца/ваша/здорово/дочери/собирался/денег/решил/сделать/суд/легко/вовсе/город/встретиться/которого/таким/моим/генри/вашей/самое/ноги/работы/смешно/сообщение/странно/рассказать/раза/джейн/поговорить/делала/достаточно/слов/похоже/одном/думать/против/милая/искать/страшно/молодец/шоу/решили/итак/секс,послушайте/стороны/смотрите/школы/пришли/году/итак/серьёзно/страшно/первой/благодарю/назад/эми/которого/новый/позвольте/мою/трудно/раза/дети/решили/парня/крайней/оно/моего/здорово/уверен/собирается/года/легко/лично/рада/первое/список/увидел/офис/вернусь/пить/поехали/одном/против/знал/одно/воды/моей/девочка/прости/смог/должен/боже/касается/секс/верить/сделает/связь/безопасности/суд/работать/отличная/лучший/вернулась/рот/купить/правильно/нем/довольно/постоянно/провести/мира/честь/мало/сможешь/бог/дала/убить/девочки/странно/сэр/клянусь/джейн/прекрати/хотел/переводчики/могла/защитить/смотреть/вопросы/фрэнк/голове/полагаю/милая/собирался/фбр/показать/занят/которое/дом/шоу/скажешь/сказать/боль/ваша/парнем/смешно/сих/помогите/которая/чувство/буду/первая/хочу/решил/искать/говорить/случилось/девушка/майк/думать/использовать/нём/месяцев/слов/маме/ребенок/говорили/спокойной/денег/твоя/выйти/таким/работы/знаешь/ввиду/стороне/маленькая/моим/понимаешь/сделать/словно/вместе/жизнью/пришёл/внимание,136~182,"Output: моим, пришли, страшно, первый, благодарю, новый, девочка, послушайте",1262,1237,25
